idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.7241
1,C,C,C,1,1,0,9.5677,9.5484
2,D,D,A,1,0,1,0.5781,0.3589
3,B,D,D,0,0,0,9.4112,9.2055
4,B,B,B,1,1,0,7.6258,8.3984
5,B,B,B,1,1,0,10.4831,10.7014
6,C,C,C,1,1,0,8.7005,9.4093
7,A,A,A,1,1,0,10.9132,11.374
8,C,C,C,1,1,0,11.2412,11.1689
9,C,C,C,1,1,0,11.1856,10.6992
10,C,C,C,1,1,0,10.9987,11.2855
11,B,B,B,1,1,0,11.0146,11.0045
12,C,C,C,1,1,0,9.458,8.7143
13,C,C,C,1,1,0,10.011,10.254
14,A,A,A,1,1,0,1.4219,1.1094
15,A,A,A,1,1,0,10.0665,10.7256
16,C,C,C,1,1,0,8.8568,8.9423
17,B,B,B,1,1,0,9.6831,9.108
18,B,B,B,1,1,0,10.1542,10.0736
19,C,C,C,1,1,0,10.0058,10.2867
20,A,A,A,1,1,0,10.9052,11.2254
21,B,B,B,1,1,0,11.1704,10.9792
22,A,A,A,1,1,0,10.5286,11.4268
23,D,D,D,1,1,0,10.95,11.2267
24,D,D,D,1,1,0,10.006,10.9092
25,A,A,A,1,1,0,10.2395,11.0348
26,C,C,C,1,1,0,9.5289,9.3309
27,B,B,B,1,1,0,9.6793,10.0171
28,B,B,B,1,1,0,4.923,4.641
29,C,C,C,1,1,0,11.2957,11.1433
30,C,C,C,1,1,0,10.0489,9.4136
31,A,A,A,1,1,0,11.3117,11.7402
32,D,D,D,1,1,0,9.7414,9.4752
33,B,B,B,1,1,0,5.2964,5.3735
34,C,C,C,1,1,0,10.839,10.7257
35,B,C,C,0,0,0,0.9065,1.3434
36,D,D,D,1,1,0,10.5911,10.7916
37,B,B,B,1,1,0,9.6846,9.8358
38,D,D,D,1,1,0,10.9557,10.7763
39,C,B,B,0,0,0,4.1111,4.9381
40,D,C,C,0,0,0,6.3577,6.6544
41,C,C,C,1,1,0,10.5299,10.6388
42,C,C,C,1,1,0,10.0059,10.1839
43,C,C,C,1,1,0,11.3041,11.3978
44,B,B,B,1,1,0,10.4291,10.2096
45,A,A,A,1,1,0,7.4374,8.7573
46,C,C,C,1,1,0,11.0137,10.7854
47,A,A,A,1,1,0,10.2393,10.5793
48,D,D,D,1,1,0,9.0916,8.4266
49,D,D,D,1,1,0,8.2102,7.9616
50,B,A,A,0,0,0,4.2494,4.3135
51,D,D,D,1,1,0,8.1351,7.976
52,A,A,A,1,1,0,9.5456,10.4983
53,A,A,A,1,1,0,9.919,10.823
54,A,A,A,1,1,0,6.532,7.4534
55,B,B,B,1,1,0,9.7798,9.3385
56,C,C,C,1,1,0,8.9756,9.3425
57,B,B,B,1,1,0,11.2291,10.9374
58,B,B,B,1,1,0,10.2875,10.1835
59,D,D,D,1,1,0,5.4078,6.17
60,B,B,B,1,1,0,8.189,8.8813
61,B,B,B,1,1,0,5.001,4.7965
62,C,C,C,1,1,0,9.9107,10.0145
63,C,C,C,1,1,0,8.8461,8.4772
64,B,B,B,1,1,0,10.074,9.8637
65,C,C,C,1,1,0,9.0455,9.4503
66,B,B,B,1,1,0,10.1288,9.8435
67,C,C,C,1,1,0,8.2228,7.7181
68,A,A,A,1,1,0,10.8664,11.007
69,D,D,D,1,1,0,11.7322,11.8547
70,C,C,C,1,1,0,11.576,11.5636
71,C,C,C,1,1,0,7.3344,7.3377
72,A,A,A,1,1,0,9.4993,10.1868
73,D,D,D,1,1,0,10.4994,10.1477
74,A,B,B,0,0,0,2.1558,0.6406
75,C,C,C,1,1,0,10.46,10.5532
76,D,D,D,1,1,0,10.0455,9.5639
77,A,A,A,1,1,0,8.4581,8.6133
78,B,B,B,1,1,0,10.1232,10.1519
79,D,D,D,1,1,0,9.8879,9.2011
80,B,B,B,1,1,0,5.7028,5.9673
81,A,A,A,1,1,0,11.7101,11.8734
82,A,A,A,1,1,0,10.9757,11.0918
83,B,B,B,1,1,0,7.6732,7.3437
84,C,C,C,1,1,0,8.0733,7.9458
85,C,C,C,1,1,0,10.1073,10.2425
86,A,A,A,1,1,0,11.0457,11.5112
87,C,C,C,1,1,0,11.4353,11.5566
88,D,D,D,1,1,0,9.6432,9.7095
89,C,C,C,1,1,0,9.4511,9.4343
90,D,D,D,1,1,0,11.0776,11.2248
91,A,A,A,1,1,0,10.444,10.7855
92,D,D,D,1,1,0,1.2031,2.1567
93,A,C,C,0,0,0,5.5794,7.562
94,A,B,B,0,0,0,2.2347,0.437
95,D,D,D,1,1,0,10.6472,10.8254
96,A,A,A,1,1,0,10.8584,11.3035
97,A,A,A,1,1,0,11.9127,12.1858
98,B,A,A,0,0,0,8.6001,9.2988
99,C,B,B,0,0,0,5.8765,5.3915
100,A,A,A,1,1,0,8.2326,9.069
101,D,D,D,1,1,0,8.5218,8.7545
102,B,B,B,1,1,0,10.9506,10.6259
103,D,D,D,1,1,0,10.9638,10.3905
104,B,B,B,1,1,0,10.0918,9.7816
105,C,C,C,1,1,0,11.2361,10.9343
106,B,B,B,1,1,0,10.1062,9.6395
107,A,A,A,1,1,0,6.8887,7.3053
108,B,D,D,0,0,0,6.8752,6.623
109,C,C,C,1,1,0,11.0773,10.9031
110,D,D,D,1,1,0,10.0046,10.1393
111,A,A,A,1,1,0,9.8506,10.2547
112,B,A,A,0,0,0,0.5,1.6877
113,D,D,D,1,1,0,11.3894,11.3494
114,D,D,D,1,1,0,10.6013,10.6947
115,D,D,D,1,1,0,9.072,9.0668
116,B,B,B,1,1,0,11.5527,11.2186
117,A,A,A,1,1,0,11.4988,11.7865
118,C,C,C,1,1,0,10.2558,10.8394
119,A,A,A,1,1,0,10.1453,11.3613
120,A,A,A,1,1,0,5.547,4.908
121,B,A,A,0,0,0,8.4117,8.6603
122,C,C,C,1,1,0,10.2679,10.3073
123,A,A,A,1,1,0,11.2565,11.6854
124,B,B,B,1,1,0,3.0308,2.9375
125,C,C,C,1,1,0,11.7488,11.5212
126,A,A,A,1,1,0,11.1762,11.6483
127,C,C,C,1,1,0,10.5129,10.2593
128,B,B,B,1,1,0,11.0382,10.849
129,D,C,C,0,0,0,8.33,8.3396
130,D,D,D,1,1,0,11.5531,11.0914
131,A,A,A,1,1,0,7.9751,8.8769
132,D,D,D,1,1,0,10.9369,11.2181
133,C,C,C,1,1,0,10.0105,10.4548
134,C,C,C,1,1,0,11.1007,11.3418
135,C,C,C,1,1,0,11.1705,11.4113
136,C,C,C,1,1,0,11.459,11.6134
137,D,D,D,1,1,0,10.9797,10.9539
138,A,A,A,1,1,0,11.7079,12.1354
139,C,C,C,1,1,0,6.1075,5.0468
140,A,A,A,1,1,0,11.6399,12.1705
141,A,A,A,1,1,0,10.1886,10.9475
142,D,D,D,1,1,0,10.035,9.9231
143,D,D,D,1,1,0,12.0377,12.1851
144,A,A,A,1,1,0,11.034,11.3118
145,D,D,D,1,1,0,11.0507,11.0089
146,D,D,D,1,1,0,9.6163,9.81
147,D,D,D,1,1,0,10.0595,9.5523
148,B,B,B,1,1,0,10.3009,10.5967
149,A,A,A,1,1,0,8.3367,8.2368
150,A,A,A,1,1,0,10.9751,11.5197
151,A,A,A,1,1,0,9.7336,9.6316
152,D,D,D,1,1,0,9.8807,9.8308
153,B,B,B,1,1,0,3.7978,1.7192
154,B,B,B,1,1,0,10.7145,10.419
155,B,B,B,1,1,0,4.8301,4.9209
156,D,D,D,1,1,0,4.905,5.3613
157,D,C,C,0,0,0,7.1489,7.2569
158,B,B,B,1,1,0,11.3121,11.4838
159,A,A,A,1,1,0,8.9429,9.4741
160,A,A,A,1,1,0,10.5536,10.9755
161,B,B,B,1,1,0,6.7667,8.0358
162,D,D,D,1,1,0,8.3243,8.3894
163,C,C,C,1,1,0,10.5835,10.684
164,B,B,B,1,1,0,9.5605,9.2931
165,C,C,C,1,1,0,7.3515,6.9467
166,A,A,A,1,1,0,6.1423,6.6107
167,D,D,D,1,1,0,11.8579,11.5603
168,C,C,C,1,1,0,7.2571,8.0141
169,A,A,A,1,1,0,10.6934,11.2756
170,C,C,C,1,1,0,10.5673,11.0498
171,B,B,B,1,1,0,9.4359,9.4742
172,A,D,D,0,0,0,3.9225,4.7484
173,B,B,B,1,1,0,7.1573,7.6624
174,B,B,B,1,1,0,10.5773,10.3124
175,B,B,B,1,1,0,9.1477,8.9978
176,C,C,C,1,1,0,9.7476,9.8719
177,C,C,C,1,1,0,10.4973,10.5637
178,B,B,B,1,1,0,10.5844,10.3716
179,B,C,C,0,0,0,10.1576,10.3022
180,B,B,B,1,1,0,9.1789,8.9689
181,B,B,B,1,1,0,6.3609,5.811
182,B,B,B,1,1,0,9.0274,8.7352
183,C,C,C,1,1,0,4.6886,5.8596
184,D,D,D,1,1,0,11.5028,11.412
185,B,B,B,1,1,0,9.6779,9.8409
186,C,A,A,0,0,0,10.1578,10.902
187,D,D,D,1,1,0,10.7105,10.8644
188,D,D,D,1,1,0,7.7033,8.1787
189,D,D,D,1,1,0,9.4871,9.7124
190,D,D,D,1,1,0,9.6865,9.8878
191,B,B,B,1,1,0,10.8433,10.7639
192,B,B,B,1,1,0,10.9049,10.9447
193,C,C,C,1,1,0,10.5318,10.7242
194,D,A,A,0,0,0,4.094,4.22
195,C,C,C,1,1,0,8.4903,8.832
196,A,A,A,1,1,0,11.0221,11.5885
197,A,A,A,1,1,0,11.3886,11.7385
198,B,B,B,1,1,0,9.1864,8.9901
199,B,B,B,1,1,0,10.7767,10.4747
200,C,C,C,1,1,0,10.1507,10.0595
201,C,C,C,1,1,0,6.1404,6.6255
202,C,C,C,1,1,0,9.5997,9.4414
203,A,A,A,1,1,0,10.7488,10.6783
204,C,C,C,1,1,0,7.9754,7.6884
205,A,A,A,1,1,0,9.5845,10.0125
206,D,D,D,1,1,0,11.0926,11.3179
207,B,B,B,1,1,0,7.1482,6.9912
208,D,D,D,1,1,0,11.1266,11.0441
209,D,D,D,1,1,0,11.4775,11.4392
210,B,B,C,1,0,1,0.0312,0.3442
211,D,D,D,1,1,0,8.2895,8.8022
212,B,B,B,1,1,0,8.6132,9.9256
213,C,C,C,1,1,0,6.5952,7.5789
214,C,C,C,1,1,0,11.1554,11.2097
215,D,D,D,1,1,0,9.7964,8.7446
216,D,C,C,0,0,0,0.5474,0.25
217,D,D,D,1,1,0,10.6472,11.0137
218,C,C,C,1,1,0,10.3423,10.453
219,D,D,D,1,1,0,12.2092,12.2952
220,A,A,A,1,1,0,9.2472,9.8707
221,A,A,A,1,1,0,9.582,9.9689
222,D,D,D,1,1,0,10.9113,10.6957
223,A,A,A,1,1,0,11.0925,11.2162
224,A,A,A,1,1,0,12.1937,12.2628
225,A,A,A,1,1,0,11.2394,11.5423
226,A,A,A,1,1,0,11.1518,11.4681
227,D,D,D,1,1,0,11.0687,11.3403
228,B,B,B,1,1,0,10.1454,9.817
229,B,B,B,1,1,0,3.562,3.6401
230,C,C,C,1,1,0,9.7112,9.7156
231,C,C,C,1,1,0,9.9009,10.3338
232,A,A,A,1,1,0,10.4595,11.278
233,C,A,A,0,0,0,4.4206,5.3754
234,B,B,B,1,1,0,7.3745,7.6557
235,B,B,B,1,1,0,11.1745,11.0304
236,B,B,B,1,1,0,10.6364,10.692
237,B,B,B,1,1,0,10.7096,10.5192
238,A,A,A,1,1,0,10.2839,10.5791
239,C,C,C,1,1,0,10.4289,10.3657
240,D,D,D,1,1,0,11.6112,11.3908
241,B,D,D,0,0,0,7.845,8.2042
242,A,A,A,1,1,0,11.0991,11.7603
243,A,A,A,1,1,0,11.9292,12.0299
244,C,C,C,1,1,0,10.2317,9.6633
245,B,B,B,1,1,0,6.7568,7.0452
246,D,D,D,1,1,0,8.98,9.3541
247,D,D,D,1,1,0,9.4205,8.7085
248,C,C,C,1,1,0,11.2565,11.7558
249,B,B,B,1,1,0,9.8254,9.4935
250,B,B,B,1,1,0,9.9515,9.2519
251,C,C,C,1,1,0,10.1863,10.1371
252,C,C,C,1,1,0,9.6537,9.8241
253,D,D,D,1,1,0,7.2332,6.3968
254,A,A,A,1,1,0,10.7098,11.0295
255,A,A,A,1,1,0,11.2636,11.6934
256,D,D,D,1,1,0,10.6854,10.9096
257,D,D,D,1,1,0,10.3481,10.5751
258,B,C,C,0,0,0,5.7196,5.5639
259,D,D,D,1,1,0,6.5699,7.8675
260,B,B,B,1,1,0,9.6517,9.1101
261,D,D,D,1,1,0,9.6373,10.1451
262,B,B,B,1,1,0,9.584,9.2501
263,C,C,C,1,1,0,11.7805,11.1607
264,B,C,B,0,1,1,0.3906,1.5615
265,A,A,A,1,1,0,9.9965,10.2762
266,C,C,C,1,1,0,10.2411,10.756
267,B,B,B,1,1,0,10.1473,9.8403
268,A,A,A,1,1,0,10.7729,10.8898
269,A,A,A,1,1,0,9.8888,10.4336
270,A,A,A,1,1,0,9.8508,10.1241
271,B,A,A,0,0,0,2.6558,3.9989
272,C,C,C,1,1,0,5.0003,4.4365
273,C,C,C,1,1,0,6.0166,5.9549
274,C,B,B,0,0,0,2.375,2.7812
275,A,A,A,1,1,0,9.5459,10.0215
276,A,A,A,1,1,0,7.6806,7.8272
277,A,A,A,1,1,0,10.1552,10.764
278,D,D,D,1,1,0,10.7645,10.5908
279,D,D,D,1,1,0,11.357,11.5176
280,B,B,B,1,1,0,10.5929,10.6466
281,D,D,D,1,1,0,9.7093,9.2792
282,C,C,C,1,1,0,10.9444,10.6228
283,C,C,C,1,1,0,10.9252,11.1634
284,A,A,A,1,1,0,11.64,12.2021
285,D,D,D,1,1,0,11.1602,10.8143
286,C,C,B,1,0,1,1.6716,1.8279
287,D,D,D,1,1,0,7.5383,8.2
288,B,B,B,1,1,0,11.2963,11.3501
289,B,C,C,0,0,0,4.1239,4.1564
290,D,D,D,1,1,0,6.9688,7.7823
291,D,D,D,1,1,0,7.4394,7.7957
292,D,D,D,1,1,0,8.2368,7.9295
293,A,A,A,1,1,0,11.8015,12.0643
294,B,B,B,1,1,0,9.5298,9.8364
295,A,A,A,1,1,0,9.5445,9.7366
296,B,A,A,0,0,0,7.305,6.9986
297,A,A,A,1,1,0,8.2543,9.9744
298,B,B,B,1,1,0,11.0614,10.9352
299,D,D,D,1,1,0,9.4897,9.3371
