idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,4.9199
1,A,A,A,1,1,0,1.0303,0.875
2,B,A,A,0,0,0,0.6719,1.2207
3,E,E,E,1,1,0,0.5312,0.8125
4,B,B,B,1,1,0,0.937,0.0
5,B,A,A,0,0,0,1.9688,0.6719
6,A,A,D,1,0,1,0.4375,0.1738
7,B,C,C,0,0,0,2.9685,1.5938
8,D,D,D,1,1,0,4.186,2.7344
9,B,A,A,0,0,0,0.2656,0.4844
10,C,A,A,0,0,0,0.4844,2.0488
11,B,D,D,0,0,0,0.1094,0.2188
12,E,A,A,0,0,0,0.1562,0.25
13,B,C,C,0,0,0,1.6553,0.2188
14,B,B,F,1,0,1,0.4219,0.0469
15,D,D,D,1,1,0,3.0488,2.1543
16,E,E,E,1,1,0,1.5464,2.5322
17,A,E,E,0,0,0,1.2969,1.8896
18,C,A,A,0,0,0,0.1562,0.4062
19,E,E,E,1,1,0,1.6406,2.2188
20,B,B,B,1,1,0,2.2949,0.25
21,B,A,A,0,0,0,3.6709,1.7969
22,D,D,A,1,0,1,0.0625,0.0156
23,C,C,C,1,1,0,3.2817,0.0781
24,A,F,F,0,0,0,3.0938,3.3105
25,D,A,A,0,0,0,1.5933,1.8281
26,F,F,F,1,1,0,2.3604,3.5332
27,B,E,D,0,0,1,0.3896,1.2031
28,F,C,C,0,0,0,1.1562,0.3906
29,D,D,D,1,1,0,0.2344,0.0781
30,E,F,F,0,0,0,6.7656,3.4688
31,C,A,A,0,0,0,1.0938,0.4082
32,B,C,C,0,0,0,0.9062,0.2969
33,F,A,F,0,1,1,0.8584,0.9844
34,D,D,D,1,1,0,4.1099,1.873
35,D,A,A,0,0,0,1.4375,0.8906
36,B,D,D,0,0,0,0.2344,0.9688
37,B,A,A,0,0,0,1.1562,0.3594
38,B,A,A,0,0,0,0.0781,0.7656
39,A,A,A,1,1,0,3.3906,2.5166
40,B,A,A,0,0,0,1.2959,0.5469
41,E,B,F,0,0,1,0.1406,1.3594
42,E,E,E,1,1,0,1.0479,2.1104
43,A,E,E,0,0,0,0.7979,0.7969
44,D,D,D,1,1,0,2.5161,2.3896
45,F,B,E,0,0,1,0.25,0.0625
46,C,A,F,0,0,1,0.9219,0.2188
47,E,D,E,0,1,1,0.0156,0.1875
48,F,F,F,1,1,0,0.0312,0.7979
49,B,D,D,0,0,0,0.9229,0.2188
50,E,E,E,1,1,0,1.2349,2.3125
51,D,D,D,1,1,0,3.2649,2.063
52,D,D,D,1,1,0,1.0146,1.1699
53,B,A,A,0,0,0,0.8594,0.873
54,A,A,A,1,1,0,10.8398,11.0645
55,C,D,D,0,0,0,0.2812,1.0625
56,A,A,A,1,1,0,5.8115,4.2188
57,A,A,C,1,0,1,0.249,0.7656
58,F,A,F,0,1,1,0.3594,0.6719
59,D,D,D,1,1,0,2.0791,1.5469
60,E,E,E,1,1,0,8.5923,8.8774
61,B,B,B,1,1,0,0.7031,1.0938
62,D,D,F,1,0,1,0.1875,0.1094
63,E,C,C,0,0,0,12.5927,11.8774
64,D,D,D,1,1,0,0.3438,2.4229
65,B,C,C,0,0,0,1.0938,0.5312
66,A,F,F,0,0,0,2.2031,2.3271
67,C,A,A,0,0,0,1.6895,2.8125
68,E,E,E,1,1,0,0.75,0.9082
69,F,F,F,1,1,0,1.2188,2.7656
70,A,A,A,1,1,0,7.3882,4.9551
71,F,F,F,1,1,0,1.7344,2.2803
72,F,A,A,0,0,0,2.0,2.4365
73,D,D,D,1,1,0,0.7021,0.3594
74,C,C,C,1,1,0,1.5632,0.5
75,E,E,E,1,1,0,2.9238,4.3301
76,A,C,C,0,0,0,0.0625,0.2031
77,E,E,E,1,1,0,0.0625,0.6558
78,F,F,F,1,1,0,1.751,4.0781
79,A,B,B,0,0,0,0.3594,0.25
80,E,E,E,1,1,0,2.0479,1.9209
81,E,E,E,1,1,0,5.9858,7.0166
