idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,2.8125
1,A,A,A,1,1,0,1.0303,0.7656
2,B,A,A,0,0,0,0.6719,0.4678
3,E,E,E,1,1,0,0.5312,0.8281
4,B,B,B,1,1,0,0.937,1.0
5,B,A,A,0,0,0,1.9688,1.9688
6,A,A,A,1,1,0,0.4375,0.4375
7,B,C,C,0,0,0,2.9685,2.6865
8,D,D,D,1,1,0,4.186,4.127
9,B,A,A,0,0,0,0.2656,0.3428
10,C,A,A,0,0,0,0.4844,0.625
11,B,D,D,0,0,0,0.1094,0.2656
12,E,A,E,0,1,1,0.1562,0.2656
13,B,C,C,0,0,0,1.6553,1.5938
14,B,B,F,1,0,1,0.4219,0.5
15,D,D,D,1,1,0,3.0488,2.8115
16,E,E,E,1,1,0,1.5464,1.7334
17,A,E,E,0,0,0,1.2969,0.9219
18,C,A,A,0,0,0,0.1562,0.9375
19,E,E,E,1,1,0,1.6406,2.0308
20,B,B,B,1,1,0,2.2949,1.75
21,B,A,A,0,0,0,3.6709,3.7959
22,D,D,A,1,0,1,0.0625,0.2969
23,C,C,C,1,1,0,3.2817,2.3745
24,A,F,F,0,0,0,3.0938,3.1895
25,D,A,A,0,0,0,1.5933,1.8438
26,F,F,F,1,1,0,2.3604,2.6709
27,B,E,E,0,0,0,0.3896,0.374
28,F,C,C,0,0,0,1.1562,0.9531
29,D,D,D,1,1,0,0.2344,0.0156
30,E,F,F,0,0,0,6.7656,6.1875
31,C,A,A,0,0,0,1.0938,1.5947
32,B,C,C,0,0,0,0.9062,0.7188
33,F,A,A,0,0,0,0.8584,1.249
34,D,D,D,1,1,0,4.1099,3.3601
35,D,A,A,0,0,0,1.4375,1.7031
36,B,D,D,0,0,0,0.2344,0.5938
37,B,A,A,0,0,0,1.1562,1.1875
38,B,A,A,0,0,0,0.0781,0.25
39,A,A,A,1,1,0,3.3906,3.3579
40,B,A,A,0,0,0,1.2959,1.6104
41,E,B,F,0,0,1,0.1406,0.2812
42,E,E,E,1,1,0,1.0479,1.3916
43,A,E,E,0,0,0,0.7979,1.376
44,D,D,D,1,1,0,2.5161,2.25
45,F,B,A,0,0,1,0.25,0.7646
46,C,A,A,0,0,0,0.9219,1.0928
47,E,D,E,0,1,1,0.0156,0.6094
48,F,F,F,1,1,0,0.0312,0.6562
49,B,D,D,0,0,0,0.9229,0.4688
50,E,E,E,1,1,0,1.2349,1.9839
51,D,D,D,1,1,0,3.2649,2.9991
52,D,D,D,1,1,0,1.0146,1.2031
53,B,A,A,0,0,0,0.8594,0.8438
54,A,A,A,1,1,0,10.8398,10.9189
55,C,D,B,0,0,1,0.2812,0.25
56,A,A,A,1,1,0,5.8115,5.8105
57,A,A,A,1,1,0,0.249,0.1562
58,F,A,A,0,0,0,0.3594,0.3906
59,D,D,D,1,1,0,2.0791,0.9531
60,E,E,E,1,1,0,8.5923,8.8936
61,B,B,B,1,1,0,0.7031,0.5156
62,D,D,D,1,1,0,0.1875,0.0312
63,E,C,C,0,0,0,12.5927,11.8783
64,D,D,D,1,1,0,0.3438,0.4219
65,B,C,C,0,0,0,1.0938,0.5469
66,A,F,F,0,0,0,2.2031,1.0938
67,C,A,A,0,0,0,1.6895,2.2832
68,E,E,E,1,1,0,0.75,1.2344
69,F,F,F,1,1,0,1.2188,1.126
70,A,A,A,1,1,0,7.3882,8.1714
71,F,F,F,1,1,0,1.7344,1.8447
72,F,A,A,0,0,0,2.0,2.0938
73,D,D,D,1,1,0,0.7021,0.875
74,C,C,C,1,1,0,1.5632,1.469
75,E,E,E,1,1,0,2.9238,3.4824
76,A,C,A,0,1,1,0.0625,0.0
77,E,E,E,1,1,0,0.0625,0.0469
78,F,F,F,1,1,0,1.751,2.9688
79,A,B,B,0,0,0,0.3594,1.0625
80,E,E,E,1,1,0,2.0479,2.4844
81,E,E,E,1,1,0,5.9858,6.0452
82,B,B,B,1,1,0,6.7021,5.689
83,B,E,E,0,0,0,1.3438,0.8438
84,A,A,A,1,1,0,3.937,4.0468
85,C,A,A,0,0,0,1.9219,2.6562
86,E,E,E,1,1,0,2.2334,1.874
87,A,A,A,1,1,0,11.5173,10.7635
88,B,C,C,0,0,0,0.5156,0.375
89,A,A,A,1,1,0,1.624,2.2822
90,C,D,D,0,0,0,0.1094,0.7188
91,D,D,D,1,1,0,0.812,1.2188
92,E,F,F,0,0,0,6.7031,6.0918
93,C,B,B,0,0,0,0.6875,0.7344
94,F,A,A,0,0,0,3.9861,3.4211
95,E,F,F,0,0,0,0.2812,0.2656
96,E,C,C,0,0,0,0.7495,1.063
97,E,F,E,0,1,1,0.4688,0.125
98,B,A,A,0,0,0,0.4062,0.125
99,F,A,A,0,0,0,1.8438,1.3438
100,C,A,A,0,0,0,0.0312,0.1094
101,D,D,A,1,0,1,0.1875,0.2969
102,C,C,C,1,1,0,3.4216,2.8433
103,A,A,A,1,1,0,0.5312,0.2188
104,F,B,B,0,0,0,2.1875,1.8438
105,C,F,F,0,0,0,0.0938,0.1094
106,D,D,D,1,1,0,0.9062,0.6094
107,B,B,B,1,1,0,5.8433,3.7646
108,F,C,C,0,0,0,0.2031,0.3438
109,C,B,B,0,0,0,2.8596,3.0774
110,B,C,C,0,0,0,0.375,0.1709
111,D,E,E,0,0,0,0.5938,0.5322
112,D,D,D,1,1,0,2.5305,2.0308
113,F,B,B,0,0,0,0.5781,0.0938
114,E,F,F,0,0,0,1.625,1.5938
115,B,B,D,1,0,1,0.0781,0.5459
116,C,E,E,0,0,0,0.125,0.1255
117,C,C,C,1,1,0,1.0938,1.3281
118,F,E,E,0,0,0,0.9072,0.3281
119,E,E,E,1,1,0,9.0039,9.2019
120,A,C,C,0,0,0,1.4219,1.0156
121,B,C,C,0,0,0,1.125,1.0
122,E,C,C,0,0,0,0.2031,0.3281
123,E,A,A,0,0,0,0.5156,0.0938
124,B,B,B,1,1,0,8.0903,7.5156
125,B,A,A,0,0,0,0.2344,0.0469
126,C,C,C,1,1,0,1.375,1.2815
127,C,A,A,0,0,0,0.9375,0.5938
128,C,E,E,0,0,0,1.8594,1.9683
129,F,B,B,0,0,0,3.249,3.374
130,B,F,F,0,0,0,0.25,0.5
131,E,D,D,0,0,0,2.3896,2.0146
132,B,B,B,1,1,0,0.1094,0.4062
133,F,F,F,1,1,0,0.7812,1.3125
134,C,C,C,1,1,0,0.3906,0.6406
135,B,F,F,0,0,0,0.1719,0.4375
136,F,F,F,1,1,0,2.187,1.7964
137,A,A,A,1,1,0,0.5781,1.4219
138,F,B,E,0,0,1,0.125,0.0312
139,E,E,E,1,1,0,0.3262,0.5781
140,D,A,A,0,0,0,0.3125,0.8281
141,A,A,A,1,1,0,0.9224,0.3906
142,E,E,D,1,0,1,0.0312,0.125
143,B,D,D,0,0,0,0.9375,1.8125
144,F,D,D,0,0,0,0.9697,0.625
145,B,B,F,1,0,1,0.2656,0.25
146,E,D,D,0,0,0,0.2031,0.1094
147,D,D,D,1,1,0,0.6104,0.1875
148,D,D,D,1,1,0,0.7969,0.875
149,D,D,D,1,1,0,1.1416,0.9521
150,A,A,A,1,1,0,0.5469,0.625
151,B,E,C,0,0,1,0.3594,0.3281
152,A,A,A,1,1,0,3.7202,5.2673
153,A,C,C,0,0,0,0.3281,0.1875
154,C,B,B,0,0,0,1.3438,1.7188
155,D,E,E,0,0,0,3.2661,3.0317
156,A,A,A,1,1,0,0.6406,0.7188
157,D,F,F,0,0,0,1.3125,1.2969
158,B,B,B,1,1,0,8.3101,7.4233
159,A,E,E,0,0,0,1.25,1.3135
160,D,D,D,1,1,0,3.6875,3.748
161,A,A,A,1,1,0,0.2656,0.7188
162,A,A,A,1,1,0,3.4697,2.9531
163,C,F,D,0,0,1,0.8281,0.0156
164,C,F,F,0,0,0,0.4844,0.9844
165,A,A,A,1,1,0,3.1094,2.8594
166,F,F,F,1,1,0,0.6074,0.7637
167,D,A,A,0,0,0,0.2812,0.4688
168,E,A,A,0,0,0,2.6567,2.562
169,A,D,D,0,0,0,0.8281,0.7979
170,C,E,E,0,0,0,4.0933,4.2048
171,A,C,A,0,1,1,0.5625,0.0625
172,C,B,B,0,0,0,0.9521,0.0938
173,A,A,A,1,1,0,0.0,0.25
174,A,A,A,1,1,0,11.3887,12.2983
175,B,D,F,0,0,1,0.0312,0.3125
176,B,A,A,0,0,0,2.7974,2.2812
177,A,F,F,0,0,0,3.0615,2.375
178,E,E,E,1,1,0,6.8291,5.9526
179,A,A,A,1,1,0,0.2656,0.4531
180,D,C,C,0,0,0,0.0781,0.2812
181,B,A,D,0,0,1,0.0312,0.0156
182,F,F,F,1,1,0,5.7812,4.9219
183,F,A,A,0,0,0,4.2671,3.8301
184,D,A,A,0,0,0,1.0791,1.1562
185,D,D,D,1,1,0,1.1094,0.9688
186,D,E,E,0,0,0,0.9375,1.25
187,E,C,C,0,0,0,0.1875,0.0938
188,F,B,B,0,0,0,0.8418,0.3125
189,E,A,E,0,1,1,0.2188,0.0938
190,B,B,B,1,1,0,0.7656,1.2656
191,C,E,E,0,0,0,0.4531,0.3281
192,B,F,F,0,0,0,0.7656,1.0156
193,C,D,D,0,0,0,4.4521,3.9209
194,C,D,D,0,0,0,1.1729,0.9385
195,D,F,F,0,0,0,2.3574,1.8594
196,F,F,F,1,1,0,0.0781,0.1094
197,B,B,B,1,1,0,0.9375,0.3594
198,A,D,D,0,0,0,0.8447,0.4062
199,D,D,D,1,1,0,6.311,7.1078
200,E,E,E,1,1,0,1.1562,2.624
201,A,A,A,1,1,0,9.124,9.3247
202,A,A,A,1,1,0,0.5469,0.5
203,C,A,A,0,0,0,0.4375,0.5938
204,A,A,A,1,1,0,8.1426,10.3296
205,A,A,A,1,1,0,0.5156,0.0469
206,C,C,C,1,1,0,0.6562,0.9688
207,E,E,E,1,1,0,3.3442,4.5139
208,A,A,A,1,1,0,1.6562,2.2656
209,D,B,B,0,0,0,2.5801,2.3418
210,B,E,E,0,0,0,0.2656,0.4219
211,E,E,E,1,1,0,1.2349,1.1562
212,F,A,A,0,0,0,0.2031,0.25
213,C,A,A,0,0,0,3.4526,4.4236
214,B,F,B,0,1,1,0.1562,0.1406
215,F,F,F,1,1,0,2.2339,2.3281
216,D,D,D,1,1,0,0.5938,0.7812
217,D,B,B,0,0,0,0.2031,0.0469
218,D,D,D,1,1,0,1.2354,1.1396
219,D,F,F,0,0,0,1.0781,0.6562
220,E,C,C,0,0,0,0.7188,0.6406
221,A,A,A,1,1,0,1.25,1.624
222,A,A,A,1,1,0,0.3594,0.1406
223,F,F,F,1,1,0,1.1562,1.375
224,F,D,D,0,0,0,0.5,0.1094
225,E,F,F,0,0,0,0.875,0.3906
226,B,D,D,0,0,0,4.7041,3.3901
227,F,F,F,1,1,0,0.6875,1.5166
228,D,D,D,1,1,0,3.25,2.6875
229,A,A,A,1,1,0,0.25,0.1094
230,D,E,E,0,0,0,1.9688,2.0938
231,A,F,F,0,0,0,3.5176,2.6562
232,B,C,C,0,0,0,0.9365,0.2188
233,F,D,D,0,0,0,1.0,0.9541
234,E,E,E,1,1,0,2.187,1.999
235,C,F,F,0,0,0,0.562,1.3125
236,E,E,A,1,0,1,0.1094,0.3281
237,A,A,A,1,1,0,1.0459,0.7812
238,C,E,E,0,0,0,1.0464,0.6875
239,A,D,D,0,0,0,0.5,0.5312
