idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,1.7891
1,C,A,A,0,0,0,1.4375,2.0859
2,D,A,A,0,0,0,2.3047,2.9062
3,B,A,A,0,0,0,2.0234,1.8672
4,B,A,A,0,0,0,1.9297,1.9531
5,B,A,A,0,0,0,1.0234,2.1641
6,C,A,A,0,0,0,1.1797,1.8516
7,A,A,A,1,1,0,1.877,2.3047
8,C,A,A,0,0,0,1.5078,1.9141
9,C,A,A,0,0,0,0.0391,2.3281
10,C,A,A,0,0,0,0.7031,1.6797
11,B,A,A,0,0,0,1.8047,2.1328
12,C,A,A,0,0,0,1.5781,2.2188
13,C,A,A,0,0,0,1.5,2.3047
14,A,A,A,1,1,0,2.2969,1.7969
15,A,A,A,1,1,0,1.6016,1.6484
16,C,A,A,0,0,0,3.0312,2.9297
17,B,A,A,0,0,0,1.3828,2.2344
18,B,A,A,0,0,0,2.2324,2.5078
19,C,A,A,0,0,0,0.9609,2.0156
20,A,A,A,1,1,0,2.8281,2.3594
21,B,A,A,0,0,0,1.0234,1.9238
22,A,A,A,1,1,0,1.7422,2.6387
23,D,A,A,0,0,0,1.0156,1.7188
24,D,A,A,0,0,0,1.2266,2.1953
25,A,A,A,1,1,0,2.8906,2.0781
26,C,A,A,0,0,0,1.2031,2.5
27,B,A,A,0,0,0,0.5625,2.1953
28,B,A,A,0,0,0,1.2422,2.25
29,C,A,A,0,0,0,2.2422,1.9375
30,C,A,A,0,0,0,0.9766,2.3672
31,A,A,A,1,1,0,2.0547,1.9688
32,D,A,A,0,0,0,2.5781,2.4297
33,B,A,A,0,0,0,1.0234,1.6094
34,C,A,A,0,0,0,0.8438,1.9609
35,B,A,A,0,0,0,1.9609,2.5156
36,D,A,A,0,0,0,0.5,1.9609
37,B,A,A,0,0,0,2.3906,2.3672
38,D,A,A,0,0,0,1.375,1.7344
39,C,A,A,0,0,0,1.2656,2.1016
40,D,A,A,0,0,0,1.1094,2.0547
41,C,A,A,0,0,0,2.8984,2.6953
42,C,A,A,0,0,0,1.1562,2.4375
43,C,A,A,0,0,0,0.6328,2.3828
44,B,A,A,0,0,0,1.2109,2.2188
45,A,A,A,1,1,0,2.0234,1.5781
46,C,A,A,0,0,0,1.7891,2.3281
47,A,A,A,1,1,0,1.4609,1.9922
48,D,A,A,0,0,0,1.5547,1.6875
49,D,A,A,0,0,0,1.0,1.5625
50,B,A,A,0,0,0,1.4922,2.3281
51,D,A,A,0,0,0,1.5859,1.9219
52,A,A,A,1,1,0,2.5781,2.625
53,A,A,A,1,1,0,1.7578,2.0391
54,A,A,A,1,1,0,1.7324,2.25
55,B,A,A,0,0,0,2.1172,2.2422
56,C,A,A,0,0,0,1.9688,2.6094
57,B,A,A,0,0,0,1.9453,2.4844
58,B,A,A,0,0,0,1.6094,1.9922
59,D,A,A,0,0,0,1.3516,1.2891
60,B,A,A,0,0,0,0.7578,2.4688
61,B,A,A,0,0,0,2.0391,2.5625
62,C,A,A,0,0,0,0.8281,1.8281
63,C,A,A,0,0,0,1.1953,1.7891
64,B,A,A,0,0,0,1.0469,2.1641
65,C,A,A,0,0,0,1.4922,1.9297
66,B,A,A,0,0,0,1.1172,2.3828
67,C,A,A,0,0,0,0.7344,1.5547
68,A,A,A,1,1,0,1.4688,1.7812
69,D,A,A,0,0,0,1.0859,1.8828
70,C,A,A,0,0,0,0.8594,2.0781
71,C,A,A,0,0,0,1.3359,1.8906
72,A,A,A,1,1,0,2.5312,2.6094
73,D,A,A,0,0,0,2.0938,2.6328
74,A,A,A,1,1,0,3.1562,2.5859
75,C,A,A,0,0,0,2.0703,2.5078
76,D,A,A,0,0,0,0.7188,1.7266
77,A,A,A,1,1,0,2.375,2.2656
78,B,A,A,0,0,0,0.9766,2.125
79,D,A,A,0,0,0,1.375,1.9844
80,B,A,A,0,0,0,1.375,2.1016
81,A,A,A,1,1,0,1.9688,1.7109
82,A,A,A,1,1,0,1.5234,2.2422
83,B,A,A,0,0,0,3.3438,2.4297
84,C,A,A,0,0,0,1.4141,2.5859
85,C,A,A,0,0,0,1.4531,2.1328
86,A,A,A,1,1,0,1.7188,1.8594
87,C,A,A,0,0,0,1.0156,1.7344
88,D,A,A,0,0,0,2.2578,2.2266
89,C,A,A,0,0,0,2.0859,2.0938
90,D,A,A,0,0,0,1.6016,1.5938
91,A,A,A,1,1,0,1.6641,2.0625
92,D,A,A,0,0,0,0.8281,1.6562
93,A,A,A,1,1,0,2.125,2.9141
94,A,A,A,1,1,0,2.8828,2.875
95,D,A,A,0,0,0,1.5,1.8184
96,A,A,A,1,1,0,2.25,2.5078
97,A,A,A,1,1,0,1.3223,2.4121
98,B,A,A,0,0,0,2.2891,2.3984
99,C,A,A,0,0,0,1.4766,2.2344
100,A,A,A,1,1,0,1.7344,2.5547
101,D,A,A,0,0,0,0.5078,1.6875
102,B,A,A,0,0,0,1.375,2.4062
103,D,A,A,0,0,0,1.4219,1.7422
104,B,A,A,0,0,0,0.8516,2.2734
105,C,A,A,0,0,0,1.6328,1.9453
106,B,A,A,0,0,0,1.1016,1.5234
107,A,A,A,1,1,0,1.7266,2.2656
108,B,A,A,0,0,0,1.9219,2.3281
109,C,A,A,0,0,0,1.7266,2.0234
110,D,A,A,0,0,0,0.4531,1.6406
111,A,A,A,1,1,0,1.7578,2.1875
112,B,A,A,0,0,0,1.3047,2.2051
113,D,A,A,0,0,0,1.5312,2.1035
114,D,A,A,0,0,0,1.875,1.5391
115,D,A,A,0,0,0,1.4609,2.0547
116,B,A,A,0,0,0,0.9766,2.0
117,A,A,A,1,1,0,1.8906,2.3203
118,C,A,A,0,0,0,0.7578,2.3125
119,A,A,A,1,1,0,1.5312,1.2812
120,A,A,A,1,1,0,1.7578,1.9766
121,B,A,A,0,0,0,2.5156,3.2422
122,C,A,A,0,0,0,1.3828,2.0391
123,A,A,A,1,1,0,1.5859,1.7734
124,B,A,A,0,0,0,1.1641,2.2109
125,C,A,A,0,0,0,1.4766,2.3359
126,A,A,A,1,1,0,2.0078,1.6016
127,C,A,A,0,0,0,1.4141,1.8516
128,B,A,A,0,0,0,1.4609,2.5547
129,D,A,A,0,0,0,1.3516,2.2578
130,D,A,A,0,0,0,0.9531,1.7109
131,A,A,A,1,1,0,2.6094,2.4531
132,D,A,A,0,0,0,2.9922,2.6543
133,C,A,A,0,0,0,1.1641,2.1719
134,C,A,A,0,0,0,0.7578,1.7891
135,C,A,A,0,0,0,1.2344,2.1406
136,C,A,A,0,0,0,1.0391,2.7812
137,D,A,A,0,0,0,1.2734,2.0234
138,A,A,A,1,1,0,1.9531,2.3359
139,C,A,A,0,0,0,1.5703,2.2109
140,A,A,A,1,1,0,1.9844,1.7324
141,A,A,A,1,1,0,1.5938,2.7812
142,D,A,A,0,0,0,1.8672,2.2031
143,D,A,A,0,0,0,2.2266,1.9609
144,A,A,A,1,1,0,2.4922,2.3984
145,D,A,A,0,0,0,1.6172,2.1094
146,D,A,A,0,0,0,1.2734,2.0469
