idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,9.8749
1,A,A,A,1,1,0,7.2493,13.3437
2,B,B,B,1,1,0,11.0,13.4687
3,C,C,C,1,1,0,19.3281,17.1094
4,C,C,C,1,1,0,17.8906,16.4375
5,C,C,C,1,1,0,17.4062,18.6719
6,A,B,B,0,0,0,14.4062,3.437
7,B,B,B,1,1,0,4.8122,9.3749
8,C,C,B,1,0,1,3.2186,2.8128
9,B,C,B,0,1,1,2.5309,6.7801
10,B,B,B,1,1,0,14.0,17.6562
11,C,C,C,1,1,0,8.5623,7.6558
12,C,C,C,1,1,0,6.8427,5.6253
13,B,B,B,1,1,0,12.4062,14.4062
14,B,B,B,1,1,0,9.1561,13.6875
15,C,C,C,1,1,0,14.6875,9.1874
16,B,B,B,1,1,0,13.6094,14.8125
17,C,C,B,1,0,1,1.9689,1.4058
18,A,A,A,1,1,0,9.8124,10.5937
19,A,A,B,1,0,1,5.3114,3.7806
20,C,C,C,1,1,0,14.4687,14.5312
21,B,B,B,1,1,0,7.687,9.6874
22,C,C,C,1,1,0,18.125,15.0625
23,C,A,A,0,0,0,17.9531,17.1406
24,C,C,C,1,1,0,20.1562,20.5
25,B,B,B,1,1,0,11.5312,13.2031
26,C,C,B,1,0,1,15.5312,1.7809
27,C,C,C,1,1,0,17.4531,17.3281
28,C,B,B,0,0,0,6.1894,12.2344
29,B,C,B,0,1,1,2.4059,10.875
30,B,B,B,1,1,0,11.375,11.4687
31,B,B,B,1,1,0,3.9059,12.2812
32,B,B,B,1,1,0,15.0469,16.8281
33,B,B,B,1,1,0,10.0625,8.7811
34,A,A,A,1,1,0,4.2831,10.75
35,C,C,B,1,0,1,5.9074,5.3115
36,A,A,A,1,1,0,16.7812,15.7031
37,B,C,B,0,1,1,4.5323,2.8438
38,C,C,C,1,1,0,18.25,14.375
39,C,C,C,1,1,0,15.8906,8.4685
40,A,A,B,1,0,1,1.9061,0.125
41,B,B,B,1,1,0,8.7497,3.9375
42,B,B,B,1,1,0,11.2812,15.5937
43,A,A,A,1,1,0,7.1867,10.7812
44,A,A,A,1,1,0,14.3437,15.25
45,A,B,A,0,1,1,0.5002,8.531
46,C,B,B,0,0,0,1.156,2.5624
47,B,C,B,0,1,1,1.5934,0.0938
48,C,C,C,1,1,0,6.158,4.9696
49,C,C,C,1,1,0,17.5469,9.5312
50,C,C,C,1,1,0,19.375,19.7812
51,A,A,B,1,0,1,9.8749,6.2206
52,C,C,C,1,1,0,4.1246,0.6562
53,A,A,A,1,1,0,1.9064,8.3748
54,A,B,B,0,0,0,12.2812,4.7177
55,C,C,C,1,1,0,14.75,12.5312
56,A,B,B,0,0,0,3.6241,9.6249
57,C,C,C,1,1,0,18.5625,19.4062
58,C,C,C,1,1,0,20.5312,17.625
59,A,B,A,0,1,1,5.3113,4.8761
60,A,A,A,1,1,0,11.8437,15.9844
61,C,C,C,1,1,0,12.0625,14.5937
62,A,B,A,0,1,1,6.0328,11.4062
63,B,B,B,1,1,0,14.4844,15.9844
64,A,A,A,1,1,0,14.5937,17.7188
65,C,C,C,1,1,0,17.7969,13.8437
66,A,B,B,0,0,0,8.4685,0.5312
67,C,C,C,1,1,0,15.1094,12.1562
68,B,B,B,1,1,0,8.7811,12.625
69,A,A,A,1,1,0,10.8437,15.8281
70,B,B,B,1,1,0,11.4062,14.3594
71,B,B,B,1,1,0,2.7505,11.5625
72,C,C,B,1,0,1,17.1562,4.7492
73,A,A,A,1,1,0,12.6875,16.25
74,B,B,A,1,0,1,1.2192,5.1894
75,C,C,C,1,1,0,20.0625,17.7031
76,A,A,A,1,1,0,16.0312,14.4375
77,A,B,A,0,1,1,1.6254,0.9062
78,B,B,B,1,1,0,11.0312,15.0
79,A,A,A,1,1,0,14.75,10.3437
80,C,C,C,1,1,0,17.625,15.4062
81,B,B,B,1,1,0,8.6248,12.9687
82,B,C,B,0,1,1,5.7507,9.7499
83,A,A,A,1,1,0,15.0937,10.8437
84,A,A,A,1,1,0,16.4375,16.6406
85,A,B,A,0,1,1,7.1555,9.8437
86,C,C,C,1,1,0,19.7656,14.3437
87,C,C,C,1,1,0,20.4375,17.5938
88,C,C,C,1,1,0,16.1406,11.0937
89,A,A,A,1,1,0,8.4373,12.8594
90,C,C,C,1,1,0,0.5627,6.4985
91,C,C,C,1,1,0,15.6562,5.7194
92,A,B,A,0,1,1,7.8121,0.5315
93,A,B,A,0,1,1,3.9695,7.1867
94,A,A,A,1,1,0,12.8125,18.9062
95,A,A,A,1,1,0,12.1875,11.75
96,A,A,B,1,0,1,2.5003,6.5954
97,B,B,B,1,1,0,14.9219,17.4219
98,C,C,C,1,1,0,20.3438,20.4531
99,A,A,A,1,1,0,15.9375,14.4062
100,C,C,C,1,1,0,17.9375,13.7812
101,A,A,A,1,1,0,4.8437,9.3749
102,A,A,A,1,1,0,10.9687,10.3749
103,C,C,C,1,1,0,21.7188,21.2969
104,C,C,C,1,1,0,19.3125,17.7656
105,B,C,B,0,1,1,3.1555,8.6873
106,B,B,B,1,1,0,12.6562,15.0781
107,B,B,B,1,1,0,1.8744,6.9991
108,C,C,C,1,1,0,19.2031,19.8281
109,B,B,B,1,1,0,3.125,5.6562
110,A,A,A,1,1,0,17.0469,21.2969
111,B,B,B,1,1,0,11.5625,12.375
112,A,B,A,0,1,1,3.6882,13.6875
113,B,B,B,1,1,0,6.5924,13.1875
114,B,B,B,1,1,0,12.9375,17.3438
115,A,A,B,1,0,1,4.3109,0.8752
116,C,C,C,1,1,0,16.3594,15.875
117,A,B,A,0,1,1,0.7498,5.5312
118,A,C,C,0,0,0,5.6867,3.9375
119,A,C,C,0,0,0,0.8752,4.1563
120,B,B,B,1,1,0,10.0312,12.5937
121,C,B,C,0,1,1,0.2188,9.4374
122,B,B,A,1,0,1,10.9062,6.2826
123,C,B,B,0,0,0,2.2191,4.5007
124,B,C,C,0,0,0,19.5156,17.2656
125,A,A,A,1,1,0,5.9701,3.188
126,B,B,B,1,1,0,10.7812,13.5156
127,C,C,C,1,1,0,17.6406,16.6562
128,A,B,B,0,0,0,7.9997,9.1874
129,B,B,B,1,1,0,10.8437,7.5932
