idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,1.3125
1,C,A,A,0,0,0,2.3203,0.7656
2,D,A,A,0,0,0,2.5469,1.2812
3,B,A,A,0,0,0,2.3984,1.0742
4,B,A,A,0,0,0,2.1641,1.7227
5,B,A,A,0,0,0,1.6016,1.3633
6,C,A,A,0,0,0,1.9414,1.1406
7,A,A,A,1,1,0,2.6289,1.5469
8,C,A,A,0,0,0,2.2109,1.0352
9,C,A,A,0,0,0,2.1445,1.3945
10,C,A,A,0,0,0,2.2188,1.5078
11,B,A,A,0,0,0,2.332,1.3125
12,C,A,A,0,0,0,2.4844,1.7852
13,C,A,A,0,0,0,1.6836,1.793
14,A,A,A,1,1,0,2.1836,1.0977
15,A,A,A,1,1,0,2.6016,1.8555
16,C,A,A,0,0,0,2.8203,1.6953
17,B,A,A,0,0,0,2.1094,1.8047
18,B,A,A,0,0,0,2.5195,1.5664
19,C,A,A,0,0,0,2.0117,1.3281
20,A,A,A,1,1,0,2.7695,1.7422
21,B,A,A,0,0,0,2.3828,1.8047
22,A,A,A,1,1,0,2.5156,1.6328
23,D,A,A,0,0,0,1.2852,1.0742
24,D,A,A,0,0,0,1.6445,1.2812
25,A,A,A,1,1,0,2.2031,1.9082
26,C,A,A,0,0,0,2.3359,1.4492
27,B,A,A,0,0,0,1.582,1.2383
28,B,A,A,0,0,0,2.2109,1.5234
29,C,A,A,0,0,0,1.9375,1.3398
30,C,A,A,0,0,0,1.6992,1.9023
31,A,A,A,1,1,0,2.2383,1.4531
32,D,A,A,0,0,0,3.2578,1.9492
33,B,A,A,0,0,0,2.0469,0.8398
34,C,A,A,0,0,0,2.6406,2.0977
35,B,A,A,0,0,0,2.7305,1.3398
36,D,A,A,0,0,0,0.7422,0.8906
37,B,A,A,0,0,0,2.5078,1.4805
38,D,A,A,0,0,0,1.2383,0.4766
39,C,A,A,0,0,0,2.332,2.1328
40,D,A,A,0,0,0,2.2578,1.7969
41,C,A,A,0,0,0,2.5234,1.6055
42,C,A,A,0,0,0,2.4375,1.9453
43,C,A,A,0,0,0,1.8203,0.7734
44,B,A,A,0,0,0,2.3984,1.9766
45,A,A,A,1,1,0,1.7461,1.125
46,C,A,A,0,0,0,2.0977,1.4805
47,A,A,A,1,1,0,2.3516,1.293
48,D,A,A,0,0,0,1.8828,1.2773
49,D,A,A,0,0,0,1.7383,1.5625
50,B,A,A,0,0,0,1.7891,1.6816
51,D,A,A,0,0,0,1.0859,1.0273
52,A,A,A,1,1,0,2.3008,1.4805
53,A,A,A,1,1,0,2.6641,2.0391
54,A,A,A,1,1,0,2.2305,1.6367
55,B,A,A,0,0,0,2.1445,0.7578
56,C,A,A,0,0,0,2.1328,1.1797
57,B,A,A,0,0,0,1.8633,1.6836
58,B,A,A,0,0,0,2.4844,1.4531
59,D,A,A,0,0,0,1.7852,1.0156
60,B,A,A,0,0,0,2.7969,2.1836
61,B,A,A,0,0,0,1.9766,1.3008
62,C,A,A,0,0,0,2.2383,1.0469
63,C,A,A,0,0,0,2.125,1.5469
64,B,A,A,0,0,0,1.9375,0.207
65,C,A,A,0,0,0,2.1562,2.3359
66,B,A,A,0,0,0,1.7812,0.3594
67,C,A,A,0,0,0,2.2227,0.9453
68,A,A,A,1,1,0,3.0117,2.625
69,D,A,A,0,0,0,2.2266,0.6445
70,C,A,A,0,0,0,2.9727,1.707
71,C,A,A,0,0,0,2.2109,1.2539
72,A,A,A,1,1,0,2.9766,1.6445
73,D,A,A,0,0,0,2.1094,1.5703
74,A,A,A,1,1,0,2.668,1.7734
75,C,A,A,0,0,0,3.0586,1.8008
76,D,A,A,0,0,0,1.4609,0.9883
77,A,A,A,1,1,0,1.8281,1.3945
78,B,A,A,0,0,0,2.0586,1.3633
79,D,A,A,0,0,0,1.7656,1.4922
80,B,A,A,0,0,0,2.0977,1.6328
81,A,A,A,1,1,0,2.4453,1.3125
82,A,A,A,1,1,0,2.0156,1.584
83,B,A,A,0,0,0,2.4258,1.5039
84,C,A,A,0,0,0,2.4023,1.7148
85,C,A,A,0,0,0,2.4805,1.6289
86,A,A,A,1,1,0,2.4141,1.4844
87,C,A,A,0,0,0,1.793,0.293
88,D,A,A,0,0,0,1.8594,1.5039
89,C,A,A,0,0,0,2.4609,1.8164
90,D,A,A,0,0,0,1.3125,0.9336
91,A,A,A,1,1,0,1.3164,0.5352
92,D,A,A,0,0,0,2.2383,1.4609
93,A,A,A,1,1,0,2.5664,1.2578
94,A,A,A,1,1,0,3.0703,1.8711
95,D,A,A,0,0,0,0.9141,1.0625
96,A,A,A,1,1,0,2.5039,1.7227
97,A,A,A,1,1,0,3.168,2.6484
98,B,A,A,0,0,0,2.1836,0.9844
99,C,A,A,0,0,0,1.8438,1.2344
100,A,A,A,1,1,0,2.0664,1.4648
101,D,A,A,0,0,0,1.5547,0.6992
102,B,A,A,0,0,0,1.8789,0.5039
103,D,A,A,0,0,0,1.6445,1.75
104,B,A,A,0,0,0,1.6562,0.9219
105,C,A,A,0,0,0,2.0508,1.1602
106,B,A,A,0,0,0,1.6953,1.3086
107,A,A,A,1,1,0,2.0703,1.5352
108,B,A,A,0,0,0,1.9648,0.8828
109,C,A,A,0,0,0,2.4688,1.2617
110,D,A,A,0,0,0,1.1172,0.832
111,A,A,A,1,1,0,2.2578,1.5664
112,B,A,A,0,0,0,1.9219,1.625
113,D,A,A,0,0,0,0.6992,0.3516
114,D,A,A,0,0,0,0.6484,0.207
115,D,A,A,0,0,0,1.7969,1.0703
116,B,A,A,0,0,0,2.0859,0.2344
117,A,A,A,1,1,0,2.7227,1.6328
118,C,A,A,0,0,0,1.9258,1.6133
119,A,A,A,1,1,0,2.6484,1.8203
120,A,A,A,1,1,0,2.4219,1.2188
121,B,A,A,0,0,0,3.3867,1.8164
122,C,A,A,0,0,0,2.1953,1.5273
123,A,A,A,1,1,0,2.6602,1.543
124,B,A,A,0,0,0,2.1328,1.5664
125,C,A,A,0,0,0,2.4414,1.9219
126,A,A,A,1,1,0,1.7344,1.5312
127,C,A,A,0,0,0,1.1914,1.0195
128,B,A,A,0,0,0,2.3125,1.2344
129,D,A,A,0,0,0,1.9375,0.5703
130,D,A,A,0,0,0,1.043,0.8828
131,A,A,A,1,1,0,2.9258,1.5391
132,D,A,A,0,0,0,1.4023,0.3906
133,C,A,A,0,0,0,1.918,1.3008
134,C,A,A,0,0,0,2.0625,1.832
135,C,A,A,0,0,0,1.5273,0.5938
136,C,A,A,0,0,0,2.5078,1.7266
137,D,A,A,0,0,0,1.4414,0.9336
138,A,A,A,1,1,0,2.4102,2.1992
139,C,A,A,0,0,0,2.4414,1.5938
140,A,A,A,1,1,0,2.5078,1.5547
141,A,A,A,1,1,0,2.1562,1.0938
142,D,A,A,0,0,0,1.9531,1.707
143,D,A,A,0,0,0,1.6289,1.2656
144,A,A,A,1,1,0,2.3672,1.1328
145,D,A,A,0,0,0,1.0195,0.2461
146,D,A,A,0,0,0,1.5312,0.7031
147,D,A,A,0,0,0,1.957,0.8477
148,B,A,B,0,1,1,2.3203,0.3125
149,A,A,A,1,1,0,2.4336,1.3906
150,A,A,A,1,1,0,1.8828,1.1914
151,A,A,A,1,1,0,2.4141,1.6543
152,D,A,A,0,0,0,1.7461,1.1406
153,B,A,A,0,0,0,2.2266,1.1602
154,B,A,A,0,0,0,1.832,1.3672
155,B,A,A,0,0,0,2.3242,0.7969
156,D,A,A,0,0,0,2.375,1.5742
157,D,A,A,0,0,0,2.5547,2.0039
158,B,A,A,0,0,0,2.4961,1.6875
159,A,A,A,1,1,0,2.4883,1.8945
160,A,A,A,1,1,0,2.5703,1.3203
161,B,A,A,0,0,0,1.8867,1.5703
162,D,A,A,0,0,0,2.2266,1.3516
163,C,A,A,0,0,0,1.9375,1.3906
164,B,A,A,0,0,0,2.0508,0.8945
165,C,A,A,0,0,0,1.8359,1.0977
166,A,A,A,1,1,0,2.8086,2.3223
167,D,A,A,0,0,0,2.2891,1.1484
168,C,A,A,0,0,0,1.9102,1.4141
169,A,A,A,1,1,0,2.6797,1.582
170,C,A,A,0,0,0,2.3281,1.375
171,B,A,A,0,0,0,2.3047,1.1484
172,A,A,A,1,1,0,2.2969,1.7148
173,B,A,A,0,0,0,2.2109,1.9844
174,B,A,A,0,0,0,2.0977,1.2383
175,B,A,A,0,0,0,2.1406,1.832
176,C,A,A,0,0,0,1.8906,2.0469
177,C,A,A,0,0,0,1.9727,1.293
178,B,A,A,0,0,0,2.2109,1.5078
179,B,A,A,0,0,0,2.6172,1.4922
180,B,A,A,0,0,0,1.9648,1.1406
181,B,A,A,0,0,0,2.2578,1.6836
182,B,A,A,0,0,0,2.2188,1.3984
183,C,A,A,0,0,0,2.2266,1.1172
184,D,A,A,0,0,0,0.9844,0.707
185,B,A,A,0,0,0,2.1875,1.2266
186,C,A,A,0,0,0,2.6602,1.625
187,D,A,A,0,0,0,1.6719,0.6172
188,D,A,A,0,0,0,2.6328,1.4883
189,D,A,A,0,0,0,1.7969,0.5312
190,D,A,A,0,0,0,1.625,0.9375
191,B,A,A,0,0,0,2.0781,0.7617
192,B,A,A,0,0,0,2.1172,0.8359
193,C,A,A,0,0,0,2.0547,1.3633
194,D,A,A,0,0,0,2.1562,1.0664
195,C,A,A,0,0,0,2.3125,1.4961
196,A,A,A,1,1,0,2.1016,2.1973
197,A,A,A,1,1,0,2.5977,1.9922
198,B,A,A,0,0,0,2.3633,1.4375
199,B,A,A,0,0,0,2.2031,0.6758
200,C,A,A,0,0,0,2.0742,1.4297
201,C,A,A,0,0,0,1.7617,1.1641
202,C,A,A,0,0,0,2.1602,0.9727
203,A,A,A,1,1,0,2.6758,1.709
204,C,A,A,0,0,0,2.2578,1.6055
205,A,A,A,1,1,0,1.9727,1.5391
206,D,A,A,0,0,0,0.7617,0.2891
207,B,A,A,0,0,0,2.1602,1.5195
208,D,A,A,0,0,0,1.4766,0.1152
209,D,A,A,0,0,0,1.8008,1.1602
210,B,A,A,0,0,0,3.25,0.8008
211,D,A,A,0,0,0,1.625,1.0391
212,B,A,A,0,0,0,2.1719,1.668
213,C,A,A,0,0,0,2.6016,2.0273
214,C,A,A,0,0,0,2.1641,1.1992
215,D,A,A,0,0,0,1.6758,1.1602
216,D,A,A,0,0,0,2.6953,1.4531
217,D,A,A,0,0,0,1.4492,0.7969
218,C,A,A,0,0,0,1.9297,0.5391
219,D,A,A,0,0,0,1.4805,1.3281
220,A,A,A,1,1,0,1.9375,1.5469
221,A,A,A,1,1,0,2.7266,2.2051
222,D,A,A,0,0,0,1.0,0.4961
223,A,A,A,1,1,0,2.9922,1.918
224,A,A,A,1,1,0,2.7539,1.918
