idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,3.0156
1,C,A,A,0,0,0,1.4375,3.7129
2,D,A,A,0,0,0,2.3047,3.4922
3,B,A,A,0,0,0,2.0234,2.5859
4,B,A,A,0,0,0,1.9297,3.291
5,B,A,A,0,0,0,1.0234,2.7051
6,C,A,A,0,0,0,1.1797,2.8125
7,A,A,A,1,1,0,1.877,3.2734
8,C,A,A,0,0,0,1.5078,2.748
9,C,A,A,0,0,0,0.0391,2.8281
10,C,A,A,0,0,0,0.7031,2.9531
11,B,A,A,0,0,0,1.8047,3.1797
12,C,A,A,0,0,0,1.5781,3.7988
13,C,A,A,0,0,0,1.5,3.5059
14,A,A,A,1,1,0,2.2969,3.4316
15,A,A,A,1,1,0,1.6016,2.4629
16,C,A,A,0,0,0,3.0312,3.5957
17,B,A,A,0,0,0,1.3828,3.3105
18,B,A,A,0,0,0,2.2324,3.5449
19,C,A,A,0,0,0,0.9609,2.4004
20,A,A,A,1,1,0,2.8281,3.5703
21,B,A,A,0,0,0,1.0234,2.5234
22,A,A,A,1,1,0,1.7422,2.9844
23,D,A,A,0,0,0,1.0156,2.3203
24,D,A,A,0,0,0,1.2266,3.0254
25,A,A,A,1,1,0,2.8906,3.9902
26,C,A,A,0,0,0,1.2031,3.4941
27,B,A,A,0,0,0,0.5625,2.1973
28,B,A,A,0,0,0,1.2422,3.3125
29,C,A,A,0,0,0,2.2422,3.252
30,C,A,A,0,0,0,0.9766,2.9355
31,A,A,A,1,1,0,2.0547,3.8105
32,D,A,A,0,0,0,2.5781,3.8809
33,B,A,A,0,0,0,1.0234,3.1797
34,C,A,A,0,0,0,0.8438,2.9531
35,B,A,A,0,0,0,1.9609,3.1777
36,D,A,A,0,0,0,0.5,3.1934
37,B,A,A,0,0,0,2.3906,3.5371
38,D,A,A,0,0,0,1.375,2.6895
39,C,A,A,0,0,0,1.2656,3.8672
40,D,A,A,0,0,0,1.1094,3.5098
41,C,A,A,0,0,0,2.8984,3.2109
42,C,A,A,0,0,0,1.1562,3.2344
43,C,A,A,0,0,0,0.6328,2.5176
44,B,A,A,0,0,0,1.2109,3.4629
45,A,A,A,1,1,0,2.0234,3.4004
46,C,A,A,0,0,0,1.7891,3.7812
47,A,A,A,1,1,0,1.4609,2.582
48,D,A,A,0,0,0,1.5547,2.4531
49,D,A,A,0,0,0,1.0,3.1484
50,B,A,A,0,0,0,1.4922,3.1875
51,D,A,A,0,0,0,1.5859,2.5957
52,A,A,A,1,1,0,2.5781,3.666
53,A,A,A,1,1,0,1.7578,3.8516
54,A,A,A,1,1,0,1.7324,3.6328
55,B,A,A,0,0,0,2.1172,3.25
