idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,2.7656
1,A,A,A,1,1,0,1.0303,0.5303
2,B,A,A,0,0,0,0.6719,0.2031
3,E,E,E,1,1,0,0.5312,0.6094
4,B,B,B,1,1,0,0.937,1.2495
5,B,A,A,0,0,0,1.9688,1.6104
6,A,A,A,1,1,0,0.4375,0.375
7,B,C,C,0,0,0,2.9685,2.75
8,D,D,D,1,1,0,4.186,4.4541
9,B,A,A,0,0,0,0.2656,0.0938
10,C,A,A,0,0,0,0.4844,0.6406
11,B,D,B,0,1,1,0.1094,0.6562
12,E,A,E,0,1,1,0.1562,0.2656
13,B,C,C,0,0,0,1.6553,1.4995
14,B,B,F,1,0,1,0.4219,0.75
15,D,D,D,1,1,0,3.0488,2.7334
16,E,E,E,1,1,0,1.5464,1.0317
17,A,E,E,0,0,0,1.2969,1.2178
18,C,A,A,0,0,0,0.1562,0.125
19,E,E,E,1,1,0,1.6406,1.687
20,B,B,B,1,1,0,2.2949,2.5791
21,B,A,A,0,0,0,3.6709,3.5476
22,D,D,D,1,1,0,0.0625,0.0156
23,C,C,C,1,1,0,3.2817,2.2026
24,A,F,F,0,0,0,3.0938,3.0332
25,D,A,A,0,0,0,1.5933,1.125
26,F,F,F,1,1,0,2.3604,2.6709
27,B,E,E,0,0,0,0.3896,0.749
28,F,C,C,0,0,0,1.1562,0.5938
29,D,D,D,1,1,0,0.2344,0.5781
30,E,F,F,0,0,0,6.7656,5.7324
31,C,A,A,0,0,0,1.0938,1.5947
32,B,C,C,0,0,0,0.9062,1.001
33,F,A,A,0,0,0,0.8584,0.8447
34,D,D,D,1,1,0,4.1099,3.2959
35,D,A,A,0,0,0,1.4375,1.1406
36,B,D,D,0,0,0,0.2344,0.2812
37,B,A,A,0,0,0,1.1562,1.1719
38,B,A,A,0,0,0,0.0781,0.1562
39,A,A,A,1,1,0,3.3906,3.5312
40,B,A,A,0,0,0,1.2959,1.2021
41,E,B,F,0,0,1,0.1406,0.0469
42,E,E,E,1,1,0,1.0479,1.3916
43,A,E,E,0,0,0,0.7979,1.3901
44,D,D,D,1,1,0,2.5161,1.9219
45,F,B,B,0,0,0,0.25,0.4844
46,C,A,A,0,0,0,0.9219,0.5791
47,E,D,D,0,0,0,0.0156,0.0
48,F,F,F,1,1,0,0.0312,1.0474
49,B,D,D,0,0,0,0.9229,0.8438
50,E,E,E,1,1,0,1.2349,1.0151
51,D,D,D,1,1,0,3.2649,2.6721
52,D,D,D,1,1,0,1.0146,1.25
53,B,A,A,0,0,0,0.8594,0.5
54,A,A,A,1,1,0,10.8398,9.4658
55,C,D,B,0,0,1,0.2812,0.6406
56,A,A,A,1,1,0,5.8115,5.0791
57,A,A,C,1,0,1,0.249,0.0625
58,F,A,A,0,0,0,0.3594,0.0
59,D,D,D,1,1,0,2.0791,1.3604
60,E,E,E,1,1,0,8.5923,8.0171
61,B,B,B,1,1,0,0.7031,1.0
62,D,D,D,1,1,0,0.1875,0.2969
63,E,C,C,0,0,0,12.5927,11.3599
64,D,D,D,1,1,0,0.3438,1.0625
65,B,C,C,0,0,0,1.0938,0.6094
66,A,F,F,0,0,0,2.2031,0.8433
67,C,A,A,0,0,0,1.6895,1.8438
68,E,E,E,1,1,0,0.75,1.3281
69,F,F,F,1,1,0,1.2188,1.0
70,A,A,A,1,1,0,7.3882,7.1411
71,F,F,F,1,1,0,1.7344,2.25
72,F,A,A,0,0,0,2.0,1.5308
73,D,D,D,1,1,0,0.7021,0.9521
74,C,C,C,1,1,0,1.5632,1.5784
75,E,E,E,1,1,0,2.9238,3.0625
76,A,C,C,0,0,0,0.0625,0.375
77,E,E,E,1,1,0,0.0625,0.1094
78,F,F,F,1,1,0,1.751,2.8594
