idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,12.6875
1,A,A,A,1,1,0,7.2493,14.625
2,B,B,B,1,1,0,11.0,7.4682
3,C,C,C,1,1,0,19.3281,20.2812
4,C,C,C,1,1,0,17.8906,22.2344
5,C,C,C,1,1,0,17.4062,20.6719
6,A,B,B,0,0,0,14.4062,11.4062
7,B,B,B,1,1,0,4.8122,3.4371
8,C,C,C,1,1,0,3.2186,6.6237
9,B,C,C,0,0,0,2.5309,10.1875
10,B,B,B,1,1,0,14.0,13.0937
11,C,C,C,1,1,0,8.5623,11.75
12,C,C,C,1,1,0,6.8427,11.6562
13,B,B,B,1,1,0,12.4062,12.2187
14,B,B,B,1,1,0,9.1561,8.3748
15,C,C,C,1,1,0,14.6875,19.5938
16,B,B,B,1,1,0,13.6094,10.3125
17,C,C,C,1,1,0,1.9689,10.875
18,A,A,A,1,1,0,9.8124,14.8125
19,A,A,A,1,1,0,5.3114,13.5312
20,C,C,C,1,1,0,14.4687,19.4375
21,B,B,B,1,1,0,7.687,6.4046
22,C,C,C,1,1,0,18.125,20.7969
23,C,A,A,0,0,0,17.9531,19.2031
24,C,C,C,1,1,0,20.1562,23.0156
25,B,B,B,1,1,0,11.5312,10.8125
26,C,C,C,1,1,0,15.5312,20.4844
27,C,C,C,1,1,0,17.4531,22.1719
28,C,B,B,0,0,0,6.1894,2.4695
29,B,C,C,0,0,0,2.4059,7.6558
30,B,B,B,1,1,0,11.375,10.2812
31,B,B,B,1,1,0,3.9059,0.0625
32,B,B,B,1,1,0,15.0469,14.1562
33,B,B,B,1,1,0,10.0625,6.0327
34,A,A,A,1,1,0,4.2831,6.9991
35,C,C,C,1,1,0,5.9074,2.0928
36,A,A,A,1,1,0,16.7812,19.6094
37,B,C,C,0,0,0,4.5323,4.5323
38,C,C,C,1,1,0,18.25,18.5312
39,C,C,C,1,1,0,15.8906,20.7344
40,A,A,A,1,1,0,1.9061,6.5611
41,B,B,B,1,1,0,8.7497,9.7187
42,B,B,B,1,1,0,11.2812,12.6875
43,A,A,A,1,1,0,7.1867,13.0312
44,A,A,A,1,1,0,14.3437,16.2656
45,A,B,A,0,1,1,0.5002,4.8437
46,C,B,B,0,0,0,1.156,0.7498
47,B,C,B,0,1,1,1.5934,2.7817
