idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,1.3984
1,A,A,A,1,1,0,0.0391,0.6484
2,B,A,A,0,0,0,0.3281,1.0312
3,E,A,A,0,0,0,0.3438,0.8281
4,B,A,A,0,0,0,0.7344,1.5391
5,B,A,A,0,0,0,0.2656,0.9219
6,A,E,A,0,1,1,0.0391,0.5391
7,B,A,A,0,0,0,0.0703,0.9922
8,D,A,A,0,0,0,0.4688,0.7578
9,B,A,A,0,0,0,0.2734,1.4688
10,C,A,A,0,0,0,0.4766,1.375
11,B,A,A,0,0,0,0.3125,1.2969
12,E,A,A,0,0,0,0.1172,1.5879
13,B,A,A,0,0,0,0.4922,1.6016
14,B,A,A,0,0,0,0.3438,1.3125
15,D,A,A,0,0,0,0.2344,0.3203
16,E,A,A,0,0,0,0.4844,1.75
17,A,E,A,0,1,1,0.0312,1.8125
18,C,A,A,0,0,0,0.6172,1.8672
19,E,A,A,0,0,0,0.9004,1.8125
20,B,A,A,0,0,0,0.3984,0.8438
21,B,A,A,0,0,0,0.2266,0.9219
22,D,A,A,0,0,0,0.2734,1.1172
23,C,A,A,0,0,0,0.5625,1.4375
24,A,E,A,0,1,1,0.0156,0.6016
25,D,A,A,0,0,0,0.3125,0.6016
26,F,A,A,0,0,0,0.2734,1.5918
27,B,A,A,0,0,0,0.1797,2.0879
28,F,A,A,0,0,0,0.1562,1.6875
29,D,A,A,0,0,0,0.3438,0.6719
30,E,A,A,0,0,0,0.2109,0.7188
31,C,A,A,0,0,0,0.2969,0.5938
32,B,E,A,0,0,1,0.1797,0.5625
33,F,A,A,0,0,0,0.5312,1.6953
34,D,A,A,0,0,0,0.3281,1.3984
35,D,A,A,0,0,0,0.5156,1.8047
36,B,A,A,0,0,0,0.2969,1.7188
37,B,A,A,0,0,0,0.0078,0.5625
38,B,A,A,0,0,0,0.5781,1.4297
39,A,A,A,1,1,0,0.6016,1.8203
40,B,A,A,0,0,0,0.2734,1.0547
41,E,A,A,0,0,0,0.5234,1.0469
42,E,A,A,0,0,0,0.7969,1.75
43,A,A,A,1,1,0,0.2031,1.7031
44,D,A,A,0,0,0,0.7031,1.8047
45,F,A,A,0,0,0,0.2891,1.3594
46,C,A,A,0,0,0,0.4062,1.2734
47,E,A,A,0,0,0,0.2656,1.0703
48,F,A,A,0,0,0,0.4922,1.5938
49,B,A,A,0,0,0,0.1016,1.0156
50,E,A,A,0,0,0,0.4297,0.6484
