idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,E,0,0,1,0.8711,0.0742
1,A,A,A,1,1,0,0.793,0.0078
2,B,A,E,0,0,1,0.875,0.2773
3,E,A,E,0,1,1,0.7617,0.2578
4,B,A,A,0,0,0,1.0586,0.2109
5,B,A,E,0,0,1,0.4336,0.6055
6,A,A,E,1,0,1,0.6523,0.2891
7,B,A,E,0,0,1,0.8555,0.1055
8,D,A,E,0,0,1,0.9961,0.0391
9,B,A,A,0,0,0,0.9805,0.1172
10,C,A,E,0,0,1,0.7461,0.1641
11,B,A,E,0,0,1,0.6055,0.293
12,E,A,E,0,1,1,0.6953,0.2031
13,B,A,E,0,0,1,1.0742,0.0078
14,B,A,A,0,0,0,1.1992,0.2617
15,D,A,E,0,0,1,0.7617,0.543
16,E,A,A,0,0,0,1.3242,0.4141
17,A,A,E,1,0,1,0.5586,0.293
18,C,A,E,0,0,1,0.6523,0.2734
19,E,A,E,0,1,1,1.0898,0.1875
20,B,A,E,0,0,1,0.6719,0.4023
21,B,A,E,0,0,1,0.543,0.3828
22,D,A,E,0,0,1,0.5742,0.6523
23,C,A,E,0,0,1,0.9492,0.0234
24,A,A,A,1,1,0,0.7773,0.1328
25,D,A,E,0,0,1,0.5742,0.2148
26,F,A,A,0,0,0,0.8867,0.2109
27,B,A,E,0,0,1,0.6016,0.2461
28,F,A,A,0,0,0,0.7773,0.1211
29,D,A,E,0,0,1,0.5273,0.7461
30,E,A,E,0,1,1,0.8555,0.1172
31,C,A,E,0,0,1,0.8398,0.2734
32,B,A,E,0,0,1,0.6211,0.1992
33,F,A,A,0,0,0,1.043,0.2266
34,D,A,A,0,0,0,1.2617,0.2578
35,D,A,E,0,0,1,0.9805,0.1055
36,B,A,E,0,0,1,0.5117,0.2773
37,B,A,E,0,0,1,0.8242,0.0391
38,B,A,A,0,0,0,0.8867,0.0078
39,A,A,E,1,0,1,1.0625,0.0234
40,B,A,E,0,0,1,0.9961,0.2734
41,E,A,E,0,1,1,0.9805,0.0391
42,E,A,A,0,0,0,1.3125,0.3672
43,A,A,E,1,0,1,0.6211,0.4336
44,D,A,A,0,0,0,1.043,0.3867
45,F,A,E,0,0,1,0.5117,0.3516
46,C,A,E,0,0,1,1.0625,0.1758
47,E,A,E,0,1,1,0.6836,0.3711
48,F,A,E,0,0,1,0.9648,0.1953
49,B,A,E,0,0,1,0.6367,0.5273
50,E,A,E,0,1,1,0.9375,0.2266
51,D,A,E,0,0,1,0.6211,0.3672
52,D,A,E,0,0,1,0.543,0.6328
53,B,A,A,0,0,0,0.9648,0.0391
54,A,A,E,1,0,1,0.8398,0.0703
55,C,A,E,0,0,1,0.8242,0.0234
56,A,A,E,1,0,1,1.0117,0.1523
57,A,A,E,1,0,1,0.8086,0.1797
58,F,A,E,0,0,1,0.3555,0.6211
59,D,A,A,0,0,0,0.9023,0.0234
60,E,A,E,0,1,1,1.1406,0.0391
61,B,A,E,0,0,1,0.9648,0.0859
62,D,A,E,0,0,1,0.8867,0.1641
63,E,A,E,0,1,1,0.543,0.3047
64,D,A,E,0,0,1,1.0586,0.3672
65,B,A,A,0,0,0,1.0781,0.0703
66,A,A,A,1,1,0,1.1875,0.1172
67,C,A,A,0,0,0,1.2969,0.4492
68,E,A,E,0,1,1,0.5273,0.1484
69,F,A,E,0,0,1,0.8086,0.3203
70,A,A,A,1,1,0,1.2773,0.6523
71,F,A,A,0,0,0,1.125,0.3359
72,F,A,E,0,0,1,0.6992,0.3359
73,D,A,E,0,0,1,0.418,0.5234
74,C,A,E,0,0,1,0.6211,0.2773
75,E,A,E,0,1,1,0.7461,0.1172
76,A,A,E,1,0,1,0.668,0.3516
77,E,A,E,0,1,1,0.5117,0.1797
78,F,A,E,0,0,1,0.418,0.6016
79,A,A,E,1,0,1,0.6211,0.2266
80,E,A,E,0,1,1,0.4805,0.7773
81,E,A,E,0,1,1,0.543,0.3711
82,B,A,E,0,0,1,0.6523,0.3398
83,B,A,E,0,0,1,0.7773,0.1172
84,A,A,E,1,0,1,1.1523,0.0234
85,C,A,E,0,0,1,0.6719,0.5117
86,E,A,E,0,1,1,0.543,0.3203
87,A,A,A,1,1,0,1.4492,0.0859
88,B,A,E,0,0,1,0.6836,0.3359
89,A,A,E,1,0,1,0.5586,0.4922
90,C,A,E,0,0,1,0.6719,0.168
91,D,A,E,0,0,1,0.6016,0.2891
92,E,A,E,0,1,1,0.793,0.1211
93,C,A,A,0,0,0,1.1523,0.5703
94,F,A,A,0,0,0,1.2148,0.2422
95,E,A,A,0,0,0,1.4688,0.3398
96,E,A,E,0,1,1,0.5586,0.2578
97,E,A,E,0,1,1,0.8867,0.0586
98,B,A,E,0,0,1,0.6211,0.3359
99,F,A,E,0,0,1,0.6836,0.0547
100,C,A,E,0,0,1,1.1875,0.0547
101,D,A,E,0,0,1,0.3867,0.7773
102,C,A,E,0,0,1,0.2773,0.7305
103,A,A,E,1,0,1,0.6367,0.3047
104,F,A,E,0,0,1,0.5586,0.2734
105,C,A,E,0,0,1,0.7305,0.1484
106,D,A,A,0,0,0,0.9492,0.1328
107,B,A,E,0,0,1,0.8555,0.1953
108,F,A,E,0,0,1,0.7656,0.0859
109,C,A,E,0,0,1,1.0742,0.1094
110,B,A,A,0,0,0,1.2305,0.1797
111,D,A,A,0,0,0,0.9492,0.0352
112,D,A,E,0,0,1,0.9492,0.2461
113,F,A,A,0,0,0,1.1211,0.3359
114,E,A,A,0,0,0,0.7773,0.0391
115,B,A,E,0,0,1,1.2773,0.1055
116,C,A,E,0,0,1,0.5273,0.2773
117,C,A,E,0,0,1,0.3398,0.7305
118,F,A,E,0,0,1,0.4023,0.5742
119,E,A,E,0,1,1,1.1562,0.0703
120,A,A,E,1,0,1,0.6523,0.0859
121,B,A,E,0,0,1,0.4492,0.7305
122,E,A,E,0,1,1,0.4805,0.5586
123,E,A,E,0,1,1,0.9492,0.1641
124,B,A,E,0,0,1,0.9062,0.1055
125,B,A,A,0,0,0,0.9961,0.4141
126,C,A,E,0,0,1,0.4453,0.4297
127,C,A,A,0,0,0,1.1055,0.1445
128,C,A,A,0,0,0,1.1367,0.0391
129,F,A,E,0,0,1,0.7812,0.0078
130,B,A,A,0,0,0,1.1367,0.5117
131,E,A,A,0,0,0,1.0742,0.0547
132,B,A,A,0,0,0,1.1523,0.2734
133,F,A,E,0,0,1,0.9805,0.0391
134,C,A,E,0,0,1,0.8867,0.1797
135,B,A,E,0,0,1,0.8398,0.3047
136,F,A,E,0,0,1,0.5586,0.5078
137,A,A,E,1,0,1,0.8242,0.0078
138,F,A,E,0,0,1,0.8867,0.1797
139,E,A,E,0,1,1,0.4648,0.0859
140,D,A,E,0,0,1,0.5586,0.4766
141,A,A,E,1,0,1,0.2305,0.793
142,E,A,A,0,0,0,0.918,0.1172
143,B,A,A,0,0,0,0.8867,0.1016
144,F,A,E,0,0,1,0.7617,0.2422
145,B,A,E,0,0,1,0.6367,0.5117
