idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,9.4978
1,C,C,C,1,1,0,5.2357,3.5147
2,D,D,D,1,1,0,0.75,0.6562
3,B,B,B,1,1,0,2.6416,1.3752
4,B,C,C,0,0,0,2.7188,1.5776
5,B,B,B,1,1,0,9.8711,9.218
6,C,C,C,1,1,0,3.5469,4.2826
7,A,A,A,1,1,0,6.7346,6.28
8,C,C,C,1,1,0,8.1065,6.532
9,C,C,C,1,1,0,8.6123,8.4364
10,C,C,C,1,1,0,5.4523,5.9385
11,B,B,B,1,1,0,2.1729,5.8605
12,C,C,C,1,1,0,10.7851,8.435
13,C,C,C,1,1,0,1.1719,0.75
14,A,D,D,0,0,0,1.2661,1.6726
15,A,A,A,1,1,0,3.8733,4.3109
16,C,C,C,1,1,0,4.5298,3.8584
17,B,B,B,1,1,0,7.9407,9.0757
18,B,B,B,1,1,0,2.7988,2.75
19,C,C,C,1,1,0,6.0308,4.8914
20,A,A,A,1,1,0,15.2783,9.6682
21,B,B,B,1,1,0,8.2217,10.1703
22,A,A,A,1,1,0,2.1714,1.7656
23,D,D,D,1,1,0,6.3898,3.9525
24,D,D,D,1,1,0,9.6592,8.8785
25,A,A,A,1,1,0,5.1875,4.8287
26,C,C,C,1,1,0,1.7495,0.7495
27,B,B,B,1,1,0,4.7642,4.1236
28,B,A,C,0,0,1,0.8125,0.4683
29,C,C,C,1,1,0,8.9236,9.1086
30,C,D,D,0,0,0,2.0625,1.3589
31,A,A,A,1,1,0,1.7036,3.5308
32,D,D,D,1,1,0,3.8433,7.6556
33,B,C,C,0,0,0,0.8438,1.7504
34,C,C,C,1,1,0,4.0779,3.0623
35,B,B,B,1,1,0,1.8755,3.9058
36,D,D,C,1,0,1,1.5,1.0779
37,B,B,C,1,0,1,0.4375,0.6719
38,D,D,D,1,1,0,9.6377,10.0188
39,C,C,C,1,1,0,1.2344,1.2969
40,D,D,D,1,1,0,7.1252,5.4079
41,C,C,C,1,1,0,2.4531,2.2184
42,C,C,C,1,1,0,5.0142,5.6079
43,C,C,C,1,1,0,10.8463,7.2168
44,B,B,B,1,1,0,3.7197,3.813
45,A,A,A,1,1,0,1.375,1.2029
46,C,C,C,1,1,0,1.8281,4.2664
47,A,A,A,1,1,0,3.6577,2.9056
48,D,D,D,1,1,0,5.2969,2.6256
49,D,D,D,1,1,0,4.9043,3.6259
50,B,A,A,0,0,0,2.1567,0.1562
