idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,9.7051
1,C,C,C,1,1,0,5.2357,4.3605
2,D,D,D,1,1,0,0.75,0.7207
3,B,B,B,1,1,0,2.6416,3.7026
4,B,C,C,0,0,0,2.7188,2.4844
5,B,B,B,1,1,0,9.8711,8.9199
6,C,C,C,1,1,0,3.5469,4.4688
7,A,A,A,1,1,0,6.7346,5.0942
8,C,C,C,1,1,0,8.1065,7.1545
9,C,C,C,1,1,0,8.6123,7.7959
10,C,C,C,1,1,0,5.4523,5.4385
11,B,B,B,1,1,0,2.1729,3.6709
12,C,C,C,1,1,0,10.7851,8.9197
13,C,C,C,1,1,0,1.1719,1.0938
14,A,D,D,0,0,0,1.2661,0.7031
15,A,A,A,1,1,0,3.8733,4.0009
16,C,C,C,1,1,0,4.5298,5.5773
17,B,B,B,1,1,0,7.9407,7.2325
18,B,B,B,1,1,0,2.7988,2.0312
19,C,C,C,1,1,0,6.0308,3.6079
20,A,A,A,1,1,0,15.2783,13.189
21,B,B,B,1,1,0,8.2217,6.8604
22,A,A,A,1,1,0,2.1714,3.5938
23,D,D,D,1,1,0,6.3898,4.3291
24,D,D,D,1,1,0,9.6592,7.9661
25,A,A,A,1,1,0,5.1875,4.6577
26,C,C,C,1,1,0,1.7495,1.3279
27,B,B,B,1,1,0,4.7642,5.5486
28,B,A,A,0,0,0,0.8125,1.9536
29,C,C,C,1,1,0,8.9236,7.9214
30,C,D,D,0,0,0,2.0625,1.4219
31,A,A,A,1,1,0,1.7036,0.8755
32,D,D,D,1,1,0,3.8433,3.1255
33,B,C,C,0,0,0,0.8438,0.4365
34,C,C,C,1,1,0,4.0779,2.1409
35,B,B,B,1,1,0,1.8755,0.5635
36,D,D,D,1,1,0,1.5,2.3594
37,B,B,B,1,1,0,0.4375,0.2656
38,D,D,D,1,1,0,9.6377,9.9209
39,C,C,C,1,1,0,1.2344,1.2969
40,D,D,D,1,1,0,7.1252,5.7026
41,C,C,C,1,1,0,2.4531,2.3755
42,C,C,C,1,1,0,5.0142,3.7334
43,C,C,C,1,1,0,10.8463,9.3318
44,B,B,B,1,1,0,3.7197,4.001
45,A,A,A,1,1,0,1.375,1.6099
46,C,C,C,1,1,0,1.8281,2.5137
47,A,A,A,1,1,0,3.6577,3.939
48,D,D,D,1,1,0,5.2969,3.6113
49,D,D,D,1,1,0,4.9043,3.9834
50,B,A,A,0,0,0,2.1567,2.469
