idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,4.9531
1,A,A,A,1,1,0,1.4453,1.5742
2,B,A,A,0,0,0,2.2422,2.5703
3,C,A,A,0,0,0,1.6328,2.7617
4,C,A,A,0,0,0,1.7773,4.5938
5,C,A,A,0,0,0,1.0703,2.5938
6,A,A,A,1,1,0,1.3398,2.3203
7,B,A,A,0,0,0,1.6289,3.7891
8,C,A,A,0,0,0,1.4766,2.6992
9,B,A,A,0,0,0,1.9648,2.5742
10,B,A,A,0,0,0,1.6406,3.0
11,C,A,A,0,0,0,1.7617,2.5859
12,C,A,A,0,0,0,1.7148,2.4102
13,B,A,A,0,0,0,1.6992,3.5039
14,B,A,A,0,0,0,1.5273,2.6797
15,C,A,A,0,0,0,1.5586,2.918
16,B,A,A,0,0,0,1.8867,3.5078
17,C,A,A,0,0,0,1.8867,2.1562
18,A,A,A,1,1,0,1.5859,2.0625
19,A,A,A,1,1,0,1.6406,2.4297
20,C,A,A,0,0,0,2.0781,2.8672
21,B,A,A,0,0,0,1.1172,3.1719
22,C,A,A,0,0,0,1.5234,1.5625
23,C,A,A,0,0,0,2.2148,3.168
24,C,A,A,0,0,0,1.2422,1.9336
25,B,A,A,0,0,0,1.5742,2.5625
26,C,A,A,0,0,0,1.8867,4.4219
27,C,A,A,0,0,0,2.1211,2.5547
28,C,A,A,0,0,0,1.2617,3.3516
29,B,A,A,0,0,0,1.8125,2.7344
30,B,A,A,0,0,0,1.4336,2.8867
31,B,A,A,0,0,0,1.7578,3.3867
32,B,A,A,0,0,0,1.9844,2.9258
33,B,A,A,0,0,0,1.7305,1.7461
34,A,A,A,1,1,0,1.6719,1.5117
35,C,A,A,0,0,0,1.1914,2.9062
36,A,A,A,1,1,0,1.4023,2.7344
37,B,A,A,0,0,0,1.1172,2.7539
38,C,A,A,0,0,0,1.793,2.7617
39,C,A,A,0,0,0,1.8828,1.9102
40,A,A,A,1,1,0,1.6953,3.0781
41,B,A,A,0,0,0,1.5586,3.5781
42,B,A,A,0,0,0,2.2305,2.9609
43,A,A,A,1,1,0,1.793,1.2266
44,A,A,A,1,1,0,1.2109,2.6211
45,A,A,A,1,1,0,1.9922,3.0195
46,C,A,A,0,0,0,1.2891,1.5078
47,B,A,A,0,0,0,2.1367,2.6484
48,C,A,A,0,0,0,2.1562,2.3477
49,C,A,A,0,0,0,1.3672,3.2305
50,C,A,A,0,0,0,2.4609,4.4453
51,A,A,A,1,1,0,2.0352,2.625
52,C,A,A,0,0,0,1.9258,2.7617
53,A,A,A,1,1,0,1.9961,2.9727
54,A,A,A,1,1,0,1.5625,2.7148
55,C,A,A,0,0,0,2.1133,2.8242
56,A,A,C,1,0,1,1.8008,0.2188
57,C,A,A,0,0,0,1.8555,2.793
58,C,A,A,0,0,0,1.7305,2.75
59,A,A,A,1,1,0,1.5547,2.6953
60,A,A,A,1,1,0,2.0273,2.7539
61,C,A,A,0,0,0,1.2891,2.832
62,A,A,A,1,1,0,1.3672,2.0312
63,B,A,A,0,0,0,1.2461,2.8906
64,A,A,A,1,1,0,1.7305,2.2852
65,C,A,A,0,0,0,1.8672,2.5352
66,A,A,A,1,1,0,1.543,4.1562
67,C,A,A,0,0,0,2.168,3.2617
68,B,A,A,0,0,0,0.9375,2.5742
69,A,A,A,1,1,0,1.7031,2.8594
70,B,A,A,0,0,0,1.9258,3.25
71,B,A,A,0,0,0,1.9062,3.7266
72,C,A,A,0,0,0,2.0742,2.5156
73,A,A,A,1,1,0,1.2891,1.875
74,B,A,A,0,0,0,1.1719,2.5156
75,C,A,A,0,0,0,1.8164,2.8086
76,A,A,A,1,1,0,1.957,2.1875
77,A,A,A,1,1,0,1.7617,2.6641
78,B,A,A,0,0,0,1.1953,2.6367
79,A,A,A,1,1,0,1.6523,2.6914
80,C,A,A,0,0,0,1.9609,2.8555
81,B,A,A,0,0,0,1.7266,2.9766
82,B,A,A,0,0,0,2.1445,3.3086
83,A,A,A,1,1,0,1.8516,4.8359
84,A,A,A,1,1,0,2.0391,4.4141
85,A,A,A,1,1,0,1.4023,2.3359
86,C,A,A,0,0,0,2.5898,3.1445
87,C,A,A,0,0,0,2.0234,2.7812
88,C,A,A,0,0,0,1.7773,2.7344
89,A,A,A,1,1,0,1.5391,3.1094
90,C,A,A,0,0,0,2.0938,2.6328
91,C,A,A,0,0,0,1.793,2.5391
92,A,A,A,1,1,0,1.9023,2.8711
93,A,A,A,1,1,0,2.0898,2.9141
94,A,A,A,1,1,0,1.8047,3.3008
95,A,A,A,1,1,0,1.125,1.5977
96,A,A,A,1,1,0,1.7461,3.0586
97,B,A,A,0,0,0,1.9492,3.6953
98,C,A,A,0,0,0,1.5625,2.8086
99,A,A,A,1,1,0,2.0234,3.8516
100,C,A,A,0,0,0,1.4297,2.457
101,A,A,A,1,1,0,1.9023,2.1055
102,A,A,A,1,1,0,1.957,2.3359
103,C,A,A,0,0,0,1.543,2.6953
104,C,A,A,0,0,0,0.9609,2.668
105,B,A,A,0,0,0,1.6992,3.8555
106,B,A,A,0,0,0,1.2305,2.7891
107,B,A,A,0,0,0,1.4141,2.0742
108,C,A,A,0,0,0,1.8555,1.9531
109,B,A,A,0,0,0,1.7773,2.4453
110,A,A,A,1,1,0,1.0117,2.3047
111,B,A,A,0,0,0,2.3633,2.7969
112,A,A,A,1,1,0,1.3555,2.1211
113,B,A,A,0,0,0,1.3398,3.1484
114,B,A,A,0,0,0,2.1875,3.6562
115,A,A,A,1,1,0,1.1914,3.5469
116,C,A,A,0,0,0,1.5664,1.875
117,A,A,A,1,1,0,2.0195,2.8555
118,A,A,A,1,1,0,1.6992,3.1328
119,A,A,A,1,1,0,1.8711,3.7578
120,B,A,A,0,0,0,1.0781,3.4531
121,C,A,A,0,0,0,1.7578,2.918
122,B,A,A,0,0,0,2.1953,2.457
123,C,A,A,0,0,0,1.8477,1.8906
124,B,A,A,0,0,0,1.5352,2.8711
125,A,A,A,1,1,0,2.3398,2.6992
126,B,A,A,0,0,0,2.0391,2.6133
127,C,A,A,0,0,0,1.8516,2.9062
128,A,A,A,1,1,0,2.0117,2.793
129,B,A,A,0,0,0,1.8555,2.6992
130,C,A,A,0,0,0,1.9531,3.1641
131,B,A,A,0,0,0,1.793,2.957
132,A,A,A,1,1,0,1.6055,3.1797
133,C,A,A,0,0,0,1.543,2.1016
134,C,A,A,0,0,0,1.3281,2.0859
135,C,A,A,0,0,0,1.5742,1.4219
136,A,A,A,1,1,0,1.1953,2.2969
137,C,A,A,0,0,0,1.4609,3.2266
138,A,A,A,1,1,0,1.0664,3.1172
139,B,A,A,0,0,0,1.1562,3.3047
140,A,A,A,1,1,0,1.9453,2.7812
141,A,A,A,1,1,0,1.9766,2.707
142,B,A,A,0,0,0,1.8672,2.8633
143,B,A,A,0,0,0,2.1484,4.1641
144,C,A,A,0,0,0,1.918,4.3516
145,C,A,A,0,0,0,1.4492,3.7188
146,A,A,A,1,1,0,2.2109,2.5078
147,C,A,A,0,0,0,1.9062,2.5234
148,B,A,A,0,0,0,1.4766,4.5469
149,A,A,A,1,1,0,1.8828,2.7109
150,C,A,A,0,0,0,1.7148,3.1406
151,B,A,A,0,0,0,1.5898,1.957
152,C,A,A,0,0,0,1.9844,2.9062
153,B,A,A,0,0,0,0.9922,2.8008
154,C,A,A,0,0,0,1.3555,2.6523
155,B,A,A,0,0,0,1.6055,2.8281
156,C,A,A,0,0,0,1.8477,2.6719
157,A,A,A,1,1,0,1.6445,2.5898
158,B,A,A,0,0,0,1.6367,2.8828
159,A,A,A,1,1,0,1.3984,3.5156
160,C,A,A,0,0,0,1.6562,2.6445
161,C,A,A,0,0,0,2.2383,2.3125
162,C,A,A,0,0,0,1.6445,2.0625
163,C,A,A,0,0,0,1.4453,2.875
164,A,A,A,1,1,0,2.0586,3.457
165,A,A,A,1,1,0,2.1875,2.5625
166,C,A,A,0,0,0,2.0938,3.2891
167,C,A,A,0,0,0,1.5352,2.1992
168,B,A,A,0,0,0,1.3594,2.3281
169,A,A,A,1,1,0,1.9492,3.3008
170,C,A,A,0,0,0,1.9219,2.3477
171,A,A,A,1,1,0,1.6719,3.0781
172,C,A,A,0,0,0,1.4023,1.5938
173,A,A,A,1,1,0,1.8672,2.6094
174,A,A,A,1,1,0,1.8789,3.043
175,C,A,A,0,0,0,1.6836,2.9414
176,B,A,A,0,0,0,1.75,2.4922
177,A,A,A,1,1,0,1.2539,3.1602
178,B,A,A,0,0,0,1.3398,2.6328
179,B,A,A,0,0,0,1.4609,1.4805
180,C,A,A,0,0,0,1.4375,2.4648
181,A,A,A,1,1,0,1.5234,2.8008
182,B,A,A,0,0,0,1.3867,2.1953
183,A,A,A,1,1,0,2.0977,3.4688
184,C,A,A,0,0,0,1.5156,2.7188
185,B,A,A,0,0,0,1.2266,4.6289
186,B,A,A,0,0,0,1.9492,3.5547
187,B,A,A,0,0,0,1.1797,2.9883
188,B,A,A,0,0,0,1.25,2.7812
189,B,A,A,0,0,0,1.6211,3.2578
190,B,A,A,0,0,0,1.6367,3.0195
191,A,A,A,1,1,0,2.0508,3.2656
192,B,A,A,0,0,0,1.2852,3.1836
193,A,A,A,1,1,0,1.8516,3.1914
194,A,A,A,1,1,0,1.918,3.082
195,B,A,A,0,0,0,1.4688,1.4219
196,B,A,A,0,0,0,1.8086,3.25
197,C,A,A,0,0,0,1.7422,2.7988
198,A,A,A,1,1,0,2.0781,2.9922
199,C,A,A,0,0,0,1.3047,2.4062
200,C,A,A,0,0,0,2.0703,2.4961
201,A,A,A,1,1,0,1.9453,2.7578
202,B,A,A,0,0,0,1.9023,2.1797
203,A,A,A,1,1,0,1.2695,3.0977
204,B,A,A,0,0,0,1.1914,4.0586
205,C,A,A,0,0,0,1.6641,3.0391
206,B,A,A,0,0,0,1.2578,2.2383
207,B,A,A,0,0,0,1.7734,2.9922
208,B,A,A,0,0,0,2.2734,4.1484
209,A,A,A,1,1,0,2.0117,3.2578
210,A,A,A,1,1,0,1.7734,3.2266
211,B,A,A,0,0,0,1.4023,2.7109
212,C,A,A,0,0,0,1.543,1.6406
213,B,A,A,0,0,0,1.8828,3.2227
214,B,A,A,0,0,0,2.1406,3.8359
215,A,A,A,1,1,0,1.1484,3.1211
216,A,A,A,1,1,0,1.8438,4.2109
217,A,A,A,1,1,0,2.1094,2.5273
218,A,A,A,1,1,0,1.5781,2.2578
219,B,A,A,0,0,0,1.6953,2.4023
220,B,A,A,0,0,0,1.8398,3.0703
221,C,A,A,0,0,0,1.3984,1.6328
222,B,A,A,0,0,0,2.0078,2.9922
223,B,A,A,0,0,0,1.1289,3.8164
224,C,A,A,0,0,0,1.3398,2.2227
225,B,A,A,0,0,0,1.8906,3.0352
226,A,A,A,1,1,0,1.7461,4.6719
227,A,A,A,1,1,0,1.1719,2.5664
228,A,A,A,1,1,0,2.0273,2.0977
229,A,A,A,1,1,0,1.9688,2.7578
230,B,A,A,0,0,0,1.9688,2.75
231,B,A,A,0,0,0,1.9023,2.6367
232,C,A,A,0,0,0,1.4961,4.9375
233,A,A,A,1,1,0,1.6758,3.2969
234,A,A,A,1,1,0,1.3945,2.832
235,B,A,A,0,0,0,1.7734,4.6172
236,C,A,A,0,0,0,1.3359,2.457
237,B,A,A,0,0,0,1.293,2.2422
238,A,A,A,1,1,0,2.1055,2.668
239,A,A,A,1,1,0,1.9492,3.0469
240,C,A,A,0,0,0,1.7969,2.6094
241,C,A,A,0,0,0,1.4492,2.5273
242,B,A,A,0,0,0,2.0117,2.6953
243,A,A,A,1,1,0,1.7109,2.6094
244,C,A,A,0,0,0,2.1836,2.5039
245,A,A,A,1,1,0,1.2734,2.9688
246,B,A,A,0,0,0,1.8867,2.3008
247,B,A,A,0,0,0,1.3008,2.8281
248,B,A,A,0,0,0,1.8867,2.4648
249,C,A,A,0,0,0,1.9766,4.7344
250,B,A,A,0,0,0,1.4766,3.1836
251,A,A,A,1,1,0,1.8242,2.2266
252,A,A,A,1,1,0,1.4297,3.0
253,B,A,A,0,0,0,1.8906,3.2773
254,B,A,A,0,0,0,1.5312,2.1875
255,C,A,A,0,0,0,1.7148,2.625
256,A,A,A,1,1,0,2.3203,3.168
257,B,A,A,0,0,0,1.9844,3.8398
258,C,A,A,0,0,0,1.5391,3.6602
259,C,A,A,0,0,0,1.8555,2.3984
260,C,A,A,0,0,0,2.1719,2.1289
261,A,A,A,1,1,0,1.6172,2.5156
262,C,A,A,0,0,0,1.207,2.6602
263,C,A,A,0,0,0,1.2656,0.9766
264,B,A,A,0,0,0,2.0391,3.3672
265,B,A,A,0,0,0,0.9844,3.0938
266,C,A,A,0,0,0,1.9648,3.1484
267,A,A,A,1,1,0,1.168,2.9727
268,A,A,A,1,1,0,1.5898,3.4844
269,B,A,A,0,0,0,1.7812,2.2266
270,A,A,A,1,1,0,2.3164,2.4258
271,B,A,A,0,0,0,1.8867,3.6172
272,A,A,A,1,1,0,1.5273,3.0977
273,A,A,A,1,1,0,2.1523,3.8672
274,B,A,A,0,0,0,1.5859,3.6406
275,A,A,A,1,1,0,2.0938,4.6719
276,A,A,A,1,1,0,1.7773,2.668
277,C,A,A,0,0,0,2.0156,2.0469
278,C,A,A,0,0,0,1.4062,2.0781
279,B,A,A,0,0,0,1.1172,2.5625
280,C,A,A,0,0,0,1.0195,3.0547
281,C,A,A,0,0,0,1.8086,2.0625
282,B,A,A,0,0,0,1.6367,2.4062
283,C,A,A,0,0,0,1.1797,2.6094
284,C,A,A,0,0,0,1.7461,2.918
285,C,A,A,0,0,0,1.9219,3.3281
286,B,A,A,0,0,0,1.9531,3.3047
287,C,A,A,0,0,0,1.9219,2.3164
288,B,A,A,0,0,0,1.8906,3.0625
289,B,A,A,0,0,0,0.9453,3.0352
290,A,A,A,1,1,0,0.9961,2.5352
291,C,A,A,0,0,0,1.6328,2.707
292,A,A,A,1,1,0,1.5312,1.5117
293,A,A,A,1,1,0,1.3906,2.7773
294,C,A,A,0,0,0,1.668,3.8984
295,B,A,A,0,0,0,1.4375,2.6758
296,B,A,A,0,0,0,1.6875,3.3984
297,B,A,A,0,0,0,1.4375,2.2656
298,C,A,A,0,0,0,1.957,2.4961
299,A,A,A,1,1,0,1.5664,1.4805
