idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,3.3742
1,A,A,A,1,1,0,3.7342,2.6246
2,B,A,A,0,0,0,1.2815,2.1562
3,C,A,C,0,1,1,0.0,1.9227
4,C,A,C,0,1,1,0.0625,0.9216
5,C,A,C,0,1,1,0.5005,0.7029
6,A,A,B,1,0,1,0.3438,0.2808
7,B,A,A,0,0,0,1.3589,1.2659
8,C,A,B,0,0,1,0.8281,0.0156
9,B,B,B,1,1,0,0.7183,1.2188
10,B,A,B,0,1,1,2.7338,2.5309
11,C,A,C,0,1,1,1.1719,0.5151
12,C,A,B,0,0,1,0.6724,0.5776
13,B,A,A,0,0,0,1.1094,1.3125
14,B,A,A,0,0,0,2.0006,0.5938
15,C,A,B,0,0,1,0.9841,0.6562
16,B,A,A,0,0,0,2.5321,2.6099
17,C,A,B,0,0,1,0.3599,2.1248
18,A,A,A,1,1,0,2.9681,2.6258
19,A,A,A,1,1,0,2.5788,3.4684
20,C,A,C,0,1,1,0.437,1.5159
21,B,A,A,0,0,0,1.5942,0.5151
22,C,C,C,1,1,0,0.0938,1.3281
23,C,A,A,0,0,0,0.4375,2.125
24,C,C,C,1,1,0,0.4844,0.6252
25,B,A,B,0,1,1,1.4688,1.7028
26,C,A,B,0,0,1,0.3901,0.3281
27,C,A,B,0,0,1,1.4373,0.4375
28,C,A,B,0,0,1,0.5312,0.563
29,B,A,B,0,1,1,0.9214,0.7812
30,B,A,B,0,1,1,0.1406,0.6401
31,B,A,B,0,1,1,0.5938,1.6403
32,B,A,B,0,1,1,3.3898,1.0317
33,B,A,B,0,1,1,0.9531,1.5159
34,A,A,A,1,1,0,3.2338,3.2666
35,C,A,B,0,0,1,1.1245,0.688
36,A,A,A,1,1,0,4.3898,1.8284
37,B,A,A,0,0,0,1.281,1.0315
38,C,C,C,1,1,0,0.8281,0.6252
39,C,A,B,0,0,1,1.6404,0.3438
40,A,A,A,1,1,0,4.0928,3.5785
41,B,A,B,0,1,1,0.563,1.531
42,B,A,A,0,0,0,1.9844,5.2797
43,A,A,B,1,0,1,2.1251,0.1094
44,A,A,A,1,1,0,2.5314,2.5619
45,A,A,A,1,1,0,4.7335,3.7805
46,C,A,C,0,1,1,1.0474,0.0469
47,B,A,A,0,0,0,2.36,1.5002
48,C,A,C,0,1,1,1.0,0.3906
49,C,C,B,1,0,1,0.5938,0.0938
50,C,A,C,0,1,1,0.2969,0.0156
51,A,A,A,1,1,0,4.4861,2.4679
52,C,C,C,1,1,0,0.25,0.3438
53,A,A,A,1,1,0,1.7346,1.985
54,A,A,A,1,1,0,1.0623,0.1875
55,C,B,B,0,0,0,0.0625,1.1255
56,A,A,B,1,0,1,5.2639,0.0156
57,C,C,C,1,1,0,0.2339,0.3125
58,C,C,B,1,0,1,0.438,0.0312
59,A,A,A,1,1,0,2.8586,4.1087
60,A,A,A,1,1,0,5.1881,4.0321
61,C,A,B,0,0,1,0.8594,0.6411
62,A,A,B,1,0,1,0.0469,0.3906
63,B,A,A,0,0,0,1.0942,0.1714
64,A,A,A,1,1,0,1.9056,3.5632
65,C,C,B,1,0,1,0.562,0.1719
66,A,A,A,1,1,0,1.3284,1.4529
67,C,A,B,0,0,1,0.75,0.1875
68,B,A,A,0,0,0,3.6259,1.9526
69,A,A,A,1,1,0,1.6411,2.9382
70,B,A,A,0,0,0,1.2651,0.9688
71,B,A,C,0,0,1,0.4219,0.1094
72,C,A,C,0,1,1,0.25,0.4531
73,A,A,A,1,1,0,3.8914,2.6244
74,B,A,A,0,0,0,2.7812,1.8119
75,C,A,C,0,1,1,1.4534,0.8123
76,A,A,A,1,1,0,3.344,3.2807
77,A,A,A,1,1,0,1.5001,1.5002
78,B,A,A,0,0,0,2.3118,1.719
79,A,A,A,1,1,0,4.0618,2.7499
80,C,A,C,0,1,1,0.0938,0.2192
81,B,A,A,0,0,0,2.3755,2.9846
82,B,A,A,0,0,0,1.3596,0.438
83,A,A,A,1,1,0,3.9381,4.0948
84,A,A,A,1,1,0,5.8267,3.6874
85,A,A,A,1,1,0,1.0471,0.1094
86,C,C,B,1,0,1,0.1719,0.125
87,C,A,B,0,0,1,0.563,0.0312
88,C,A,B,0,0,1,0.5781,0.2656
89,A,A,A,1,1,0,2.1245,2.2183
90,C,B,B,0,0,0,0.1719,1.1409
91,C,A,C,0,1,1,0.4062,0.0938
92,A,A,A,1,1,0,2.3281,1.7034
93,A,A,A,1,1,0,2.3603,3.3597
94,A,A,A,1,1,0,1.5935,1.6879
95,A,A,A,1,1,0,3.5305,3.781
96,A,A,A,1,1,0,0.9692,1.0151
97,B,A,A,0,0,0,2.14,2.5632
98,C,C,C,1,1,0,0.3276,0.2031
99,A,A,A,1,1,0,4.3766,2.7812
100,C,A,B,0,0,1,0.4375,0.2188
