idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,10.1792
1,A,B,B,0,0,0,6.781,6.8279
2,B,B,B,1,1,0,2.063,2.0309
3,E,E,E,1,1,0,7.6956,7.6267
4,B,D,D,0,0,0,4.8762,4.7812
5,B,B,B,1,1,0,1.3594,1.3594
6,A,D,D,0,0,0,0.5154,0.4219
7,B,B,B,1,1,0,9.8897,9.7881
8,D,D,D,1,1,0,9.1702,9.1701
9,B,A,A,0,0,0,0.5,0.375
10,C,C,C,1,1,0,7.1098,6.9845
11,B,B,B,1,1,0,3.2965,3.3115
12,E,E,E,1,1,0,0.3906,0.3438
13,B,D,C,0,0,1,0.0469,0.0781
14,B,B,B,1,1,0,10.1319,10.1006
15,D,B,B,0,0,0,2.7809,2.4062
16,E,E,E,1,1,0,8.9429,8.9351
17,A,A,A,1,1,0,6.0784,5.7342
18,C,C,C,1,1,0,8.9833,8.9598
19,E,E,E,1,1,0,3.421,3.563
20,B,B,B,1,1,0,4.6888,4.766
21,B,A,A,0,0,0,2.7656,2.1402
22,D,D,D,1,1,0,5.5931,5.6716
23,C,C,C,1,1,0,8.2311,8.1681
24,A,F,F,0,0,0,9.3662,9.3427
25,D,D,D,1,1,0,2.8435,2.8743
26,F,F,F,1,1,0,9.5145,9.4675
27,B,E,E,0,0,0,6.3122,6.2349
28,F,C,C,0,0,0,4.5458,4.577
29,D,D,D,1,1,0,6.0322,5.9992
30,E,E,E,1,1,0,7.4705,7.2972
31,C,D,D,0,0,0,2.1095,1.8904
32,B,C,C,0,0,0,6.3599,6.3442
33,F,F,F,1,1,0,4.4216,4.7492
34,D,D,D,1,1,0,8.6702,8.6389
35,D,D,D,1,1,0,2.657,3.2499
36,B,A,A,0,0,0,2.6416,2.5791
37,B,B,B,1,1,0,1.4841,1.469
38,B,B,B,1,1,0,4.2482,3.8901
39,A,A,A,1,1,0,8.3185,8.3497
40,B,A,A,0,0,0,6.9209,7.0141
41,E,D,D,0,0,0,5.344,5.2655
42,E,E,E,1,1,0,7.6417,7.6806
43,A,A,A,1,1,0,6.1425,6.205
44,D,D,D,1,1,0,7.9984,7.9906
45,F,A,A,0,0,0,0.7812,0.6401
46,C,C,C,1,1,0,6.4463,6.5079
47,E,E,E,1,1,0,0.2344,0.3906
48,F,F,F,1,1,0,8.7172,8.678
49,B,D,D,0,0,0,6.045,6.0799
50,E,E,E,1,1,0,8.1037,8.0795
51,D,D,D,1,1,0,9.2015,9.1701
52,D,D,D,1,1,0,3.4695,3.4222
53,B,D,D,0,0,0,2.3909,2.5316
54,A,A,A,1,1,0,11.7881,11.7257
55,C,B,B,0,0,0,6.2509,6.1726
56,A,A,A,1,1,0,11.3043,11.273
57,A,C,C,0,0,0,2.7029,2.5
58,F,F,F,1,1,0,7.086,7.0929
59,D,D,D,1,1,0,9.6628,9.7254
60,E,E,E,1,1,0,10.0384,10.015
61,B,A,A,0,0,0,7.1699,7.2168
62,D,D,D,1,1,0,4.7655,4.7498
63,E,C,C,0,0,0,10.6863,10.6784
64,D,D,D,1,1,0,5.3431,5.2483
65,B,C,C,0,0,0,6.8361,6.8907
66,A,C,C,0,0,0,3.3278,3.39
67,C,C,C,1,1,0,1.1877,1.2815
68,E,E,E,1,1,0,5.9841,6.047
69,F,F,F,1,1,0,5.0486,5.1236
70,A,A,A,1,1,0,11.6634,11.6321
71,F,F,F,1,1,0,8.4427,8.4114
72,F,F,F,1,1,0,6.2489,6.17
73,D,F,F,0,0,0,8.7804,8.7881
74,C,C,C,1,1,0,6.2511,6.2978
75,E,E,E,1,1,0,7.344,7.3672
76,A,F,F,0,0,0,2.7976,2.9679
77,E,A,A,0,0,0,7.0846,7.1549
78,F,F,F,1,1,0,9.1396,9.1785
79,A,B,B,0,0,0,8.1701,8.1702
80,E,E,E,1,1,0,4.8123,4.8596
81,E,E,E,1,1,0,10.2807,10.3041
82,B,B,B,1,1,0,7.0371,7.0684
83,B,F,F,0,0,0,6.5934,6.6088
84,A,A,A,1,1,0,0.7505,0.625
85,C,A,A,0,0,0,0.4531,0.3745
86,E,E,E,1,1,0,6.1269,6.0797
87,A,A,A,1,1,0,10.0694,10.0772
88,B,E,E,0,0,0,2.3445,2.2819
89,A,D,D,0,0,0,3.7656,4.1079
90,C,C,C,1,1,0,8.4747,8.4745
91,D,D,D,1,1,0,7.5859,7.5387
92,E,E,E,1,1,0,2.5477,2.1253
93,C,C,C,1,1,0,7.6033,7.6423
94,F,A,A,0,0,0,1.9225,2.0624
95,E,F,F,0,0,0,4.656,4.6716
96,E,E,E,1,1,0,2.9067,2.6729
97,E,E,E,1,1,0,10.0852,10.093
98,B,E,E,0,0,0,0.6562,1.2344
99,F,A,E,0,0,1,0.2183,0.1562
100,C,C,C,1,1,0,6.0486,6.0619
101,D,A,A,0,0,0,4.0005,3.9683
102,C,C,C,1,1,0,3.5303,3.4837
103,A,A,A,1,1,0,6.4514,6.4703
104,F,F,F,1,1,0,2.2504,2.1412
105,C,C,C,1,1,0,4.3756,4.3126
106,D,A,A,0,0,0,2.8127,2.9221
107,B,B,B,1,1,0,9.0534,8.9597
108,F,C,C,0,0,0,1.2344,1.1724
109,C,C,C,1,1,0,3.9539,3.9214
