idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,0.2891,0.5723
1,A,A,A,1,1,0,0.0,0.4277
2,B,A,A,0,0,0,0.1484,0.2422
3,E,E,A,1,0,1,0.1641,0.2402
4,B,C,A,0,0,1,0.1484,0.4902
5,B,A,A,0,0,0,0.2656,0.3203
6,A,A,A,1,1,0,0.3516,1.0156
7,B,B,B,1,1,0,0.7188,0.1797
8,D,A,A,0,0,0,0.2891,0.5254
9,B,A,A,0,0,0,0.0391,1.25
10,C,D,A,0,0,1,0.1172,0.1641
11,B,B,B,1,1,0,1.2969,0.7402
12,E,A,A,0,0,0,0.3438,0.8652
13,B,A,A,0,0,0,0.2734,0.7793
14,B,E,A,0,0,1,0.0547,0.7344
15,D,D,D,1,1,0,0.1875,0.1875
16,E,E,A,1,0,1,0.3359,1.2285
17,A,B,A,0,1,1,0.0703,0.0078
18,C,A,A,0,0,0,0.3984,0.875
19,E,B,A,0,0,1,0.375,0.1719
20,B,A,A,0,0,0,0.5469,1.4668
21,B,B,A,1,0,1,0.0078,0.3223
22,D,A,A,0,0,0,0.4375,0.9141
23,C,B,B,0,0,0,0.1484,0.1094
24,A,F,F,0,0,0,0.3359,0.1094
25,D,A,A,0,0,0,0.7031,1.7168
26,F,E,A,0,0,1,0.0391,0.8906
27,B,B,A,1,0,1,0.0938,0.0781
28,F,B,B,0,0,0,0.9297,0.5547
29,D,E,B,0,0,1,0.3594,0.4219
30,E,B,A,0,0,1,0.0234,0.1016
31,C,A,A,0,0,0,0.5938,0.5488
32,B,B,B,1,1,0,0.3438,0.1484
33,F,F,A,1,0,1,0.5547,0.3965
34,D,A,A,0,0,0,0.0625,0.5703
35,D,A,A,0,0,0,0.1875,1.2812
36,B,A,A,0,0,0,0.1172,0.4375
37,B,B,A,1,0,1,0.1094,0.3594
38,B,A,A,0,0,0,0.1016,0.3984
39,A,F,A,0,1,1,0.0156,0.1895
40,B,B,B,1,1,0,0.3281,0.2891
41,E,A,A,0,0,0,0.0312,0.125
42,E,A,A,0,0,0,0.5781,1.4688
43,A,A,A,1,1,0,0.3438,0.873
44,D,D,A,1,0,1,0.3359,0.459
45,F,A,A,0,0,0,0.2266,0.5254
46,C,A,A,0,0,0,0.0859,0.5234
47,E,B,B,0,0,0,0.1406,0.2422
48,F,F,F,1,1,0,1.1895,0.9062
49,B,A,A,0,0,0,0.5938,1.2891
50,E,E,B,1,0,1,0.3438,0.6172
51,D,D,D,1,1,0,0.2891,0.0156
52,D,F,F,0,0,0,1.0234,2.0176
53,B,B,A,1,0,1,0.1094,0.7285
54,A,A,A,1,1,0,1.3828,1.6094
55,C,B,B,0,0,0,0.2578,0.0703
56,A,A,A,1,1,0,1.5781,2.4062
57,A,A,A,1,1,0,0.4844,0.9766
58,F,F,A,1,0,1,0.0312,0.2188
59,D,D,D,1,1,0,0.6797,0.0781
60,E,E,A,1,0,1,0.2188,0.6641
61,B,A,A,0,0,0,0.125,0.4062
62,D,E,B,0,0,1,0.1484,0.1797
63,E,E,A,1,0,1,0.0859,0.3809
64,D,A,A,0,0,0,0.4219,0.5215
65,B,A,A,0,0,0,0.3594,0.9609
66,A,A,A,1,1,0,0.2422,1.002
67,C,A,A,0,0,0,0.1328,0.7734
68,E,A,A,0,0,0,0.4297,0.7637
69,F,B,A,0,0,1,0.0234,0.0078
