idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,9.5275
1,A,B,B,0,0,0,7.6559,6.8912
2,B,B,B,1,1,0,5.1893,6.8737
3,E,E,E,1,1,0,5.6232,7.3895
4,B,B,B,1,1,0,4.7505,7.1567
5,B,B,B,1,1,0,2.0623,1.7815
6,A,C,C,0,0,0,1.4685,2.2656
7,B,B,B,1,1,0,12.8906,13.5313
8,D,D,D,1,1,0,12.9853,13.8582
9,B,C,B,0,1,1,0.3438,0.0312
10,C,C,C,1,1,0,1.7809,2.907
11,B,B,B,1,1,0,14.3261,11.8439
12,E,E,E,1,1,0,2.8909,3.2187
13,B,B,F,1,0,1,1.7195,0.0312
14,B,B,B,1,1,0,11.4554,11.4685
15,D,B,D,0,1,1,0.9839,0.6562
16,E,E,E,1,1,0,5.5321,6.8294
17,A,B,B,0,0,0,5.2031,5.9062
18,C,C,C,1,1,0,5.5151,8.5126
19,E,B,E,0,1,1,0.3125,0.25
20,B,B,B,1,1,0,8.4526,5.2969
21,B,A,B,0,1,1,0.7188,0.4375
22,D,D,D,1,1,0,5.3116,7.9073
23,C,C,C,1,1,0,1.2815,0.9062
24,A,F,F,0,0,0,11.7943,12.1713
25,D,A,A,0,0,0,12.6552,10.6862
26,F,C,C,0,0,0,4.9057,4.6578
27,B,B,B,1,1,0,3.4527,4.3115
28,F,B,B,0,0,0,8.4535,9.3281
29,D,D,D,1,1,0,2.5318,3.7977
30,E,E,E,1,1,0,4.0165,3.9678
31,C,C,C,1,1,0,1.4062,2.0618
32,B,B,B,1,1,0,4.3293,3.9692
33,F,F,F,1,1,0,2.3131,1.3434
34,D,D,D,1,1,0,8.1992,10.2966
35,D,D,D,1,1,0,1.5935,1.6558
36,B,B,B,1,1,0,2.6085,4.0172
37,B,B,B,1,1,0,7.7353,7.4366
38,B,B,B,1,1,0,10.4063,10.7525
39,A,A,A,1,1,0,4.8925,5.798
40,B,B,B,1,1,0,11.6998,10.1866
41,E,B,B,0,0,0,11.6881,11.5316
42,E,E,E,1,1,0,10.9881,10.4355
43,A,A,B,1,0,1,0.2188,0.25
44,D,D,D,1,1,0,14.7504,14.6232
45,F,A,A,0,0,0,4.9674,3.3124
46,C,C,C,1,1,0,7.9833,8.7946
47,E,B,B,0,0,0,1.9994,1.4062
48,F,F,F,1,1,0,10.2363,7.7644
49,B,D,D,0,0,0,3.1881,2.9688
50,E,E,E,1,1,0,6.7201,8.5944
51,D,D,D,1,1,0,18.2682,18.9492
52,D,D,D,1,1,0,3.8747,7.1557
53,B,B,B,1,1,0,5.9674,7.7688
