idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.3274
1,C,C,C,1,1,0,9.5677,9.7725
2,D,D,D,1,1,0,0.5781,0.6406
3,B,D,D,0,0,0,9.4112,9.1297
4,B,B,B,1,1,0,7.6258,7.7572
5,B,B,B,1,1,0,10.4831,10.4682
6,C,C,C,1,1,0,8.7005,9.4362
7,A,A,A,1,1,0,10.9132,11.0697
8,C,C,C,1,1,0,11.2412,11.0075
9,C,C,C,1,1,0,11.1856,10.9525
10,C,C,C,1,1,0,10.9987,11.3277
11,B,B,B,1,1,0,11.0146,10.9207
12,C,C,C,1,1,0,9.458,9.3424
13,C,C,C,1,1,0,10.011,10.1941
14,A,A,B,1,0,1,1.4219,1.3594
15,A,A,A,1,1,0,10.0665,10.3663
16,C,C,C,1,1,0,8.8568,8.7508
17,B,B,B,1,1,0,9.6831,9.491
18,B,B,B,1,1,0,10.1542,10.0067
19,C,C,C,1,1,0,10.0058,10.0299
20,A,A,A,1,1,0,10.9052,11.1089
21,B,B,B,1,1,0,11.1704,10.8433
22,A,A,A,1,1,0,10.5286,10.7805
23,D,D,D,1,1,0,10.95,11.3193
24,D,D,D,1,1,0,10.006,10.5697
25,A,A,A,1,1,0,10.2395,10.3113
26,C,C,C,1,1,0,9.5289,9.9365
27,B,B,B,1,1,0,9.6793,9.4036
28,B,B,B,1,1,0,4.923,5.3118
29,C,C,C,1,1,0,11.2957,11.0385
30,C,C,C,1,1,0,10.0489,9.5594
31,A,A,A,1,1,0,11.3117,11.3588
32,D,D,D,1,1,0,9.7414,9.7807
33,B,B,B,1,1,0,5.2964,5.3749
34,C,C,C,1,1,0,10.839,10.4054
35,B,C,C,0,0,0,0.9065,0.9841
36,D,D,D,1,1,0,10.5911,10.4754
37,B,B,B,1,1,0,9.6846,9.8897
38,D,D,D,1,1,0,10.9557,10.6617
39,C,B,B,0,0,0,4.1111,4.4993
40,D,C,C,0,0,0,6.3577,7.5624
41,C,C,C,1,1,0,10.5299,10.2554
42,C,C,C,1,1,0,10.0059,10.1468
43,C,C,C,1,1,0,11.3041,11.3277
44,B,B,B,1,1,0,10.4291,10.1087
45,A,A,A,1,1,0,7.4374,8.6306
46,C,C,C,1,1,0,11.0137,10.8805
47,A,A,A,1,1,0,10.2393,10.1238
48,D,D,D,1,1,0,9.0916,8.8661
49,D,D,D,1,1,0,8.2102,8.321
50,B,A,A,0,0,0,4.2494,4.4536
51,D,D,D,1,1,0,8.1351,7.8454
52,A,A,A,1,1,0,9.5456,10.0773
53,A,A,A,1,1,0,9.919,9.9758
54,A,A,A,1,1,0,6.532,7.1258
55,B,B,B,1,1,0,9.7798,9.4055
56,C,C,C,1,1,0,8.9756,9.2959
57,B,B,B,1,1,0,11.2291,11.1781
58,B,B,B,1,1,0,10.2875,9.9525
59,D,D,D,1,1,0,5.4078,6.4227
60,B,B,B,1,1,0,8.189,8.7608
61,B,B,B,1,1,0,5.001,6.4533
62,C,C,C,1,1,0,9.9107,10.1708
63,C,C,C,1,1,0,8.8461,8.5011
64,B,B,B,1,1,0,10.074,9.9211
65,C,C,C,1,1,0,9.0455,9.0771
66,B,B,B,1,1,0,10.1288,9.8328
67,C,C,C,1,1,0,8.2228,7.1496
68,A,A,A,1,1,0,10.8664,10.8981
69,D,D,D,1,1,0,11.7322,11.694
70,C,C,C,1,1,0,11.576,11.5304
71,C,C,C,1,1,0,7.3344,7.8672
72,A,A,A,1,1,0,9.4993,9.7649
73,D,D,D,1,1,0,10.4994,10.2732
74,A,B,B,0,0,0,2.1558,1.2344
75,C,C,C,1,1,0,10.46,10.5458
76,D,D,D,1,1,0,10.0455,9.1009
77,A,A,A,1,1,0,8.4581,8.7713
78,B,B,B,1,1,0,10.1232,9.952
79,D,D,D,1,1,0,9.8879,9.4132
80,B,B,B,1,1,0,5.7028,5.2018
81,A,A,A,1,1,0,11.7101,11.531
82,A,A,A,1,1,0,10.9757,11.0074
83,B,B,B,1,1,0,7.6732,7.1267
84,C,C,C,1,1,0,8.0733,8.9106
85,C,C,C,1,1,0,10.1073,10.5224
86,A,A,A,1,1,0,11.0457,11.1245
87,C,C,C,1,1,0,11.4353,11.3509
88,D,D,D,1,1,0,9.6432,10.2253
89,C,C,C,1,1,0,9.4511,9.319
90,D,D,D,1,1,0,11.0776,10.9529
91,A,A,A,1,1,0,10.444,10.3977
92,D,D,D,1,1,0,1.2031,2.7493
93,A,C,C,0,0,0,5.5794,7.5011
94,A,B,B,0,0,0,2.2347,2.0312
95,D,D,D,1,1,0,10.6472,10.5852
96,A,A,A,1,1,0,10.8584,11.0699
97,A,A,A,1,1,0,11.9127,12.0151
98,B,A,A,0,0,0,8.6001,9.1875
99,C,B,B,0,0,0,5.8765,6.219
100,A,A,A,1,1,0,8.2326,8.7166
101,D,D,D,1,1,0,8.5218,8.4603
102,B,B,B,1,1,0,10.9506,10.4914
103,D,D,D,1,1,0,10.9638,10.6711
104,B,B,B,1,1,0,10.0918,9.8347
105,C,C,C,1,1,0,11.2361,10.8186
106,B,B,B,1,1,0,10.1062,10.3109
107,A,A,A,1,1,0,6.8887,7.5543
108,B,D,D,0,0,0,6.8752,7.5474
109,C,C,C,1,1,0,11.0773,10.8041
110,D,D,D,1,1,0,10.0046,10.0195
111,A,A,A,1,1,0,9.8506,10.2022
112,B,A,B,0,1,1,0.5,0.1719
113,D,D,D,1,1,0,11.3894,11.359
114,D,D,D,1,1,0,10.6013,10.3513
115,D,D,D,1,1,0,9.072,9.3739
116,B,B,B,1,1,0,11.5527,11.5069
117,A,A,A,1,1,0,11.4988,11.3121
118,C,C,C,1,1,0,10.2558,10.4291
119,A,A,A,1,1,0,10.1453,10.4287
120,A,A,A,1,1,0,5.547,5.9044
121,B,A,A,0,0,0,8.4117,7.8999
122,C,C,C,1,1,0,10.2679,10.2874
123,A,A,A,1,1,0,11.2565,11.351
124,B,B,B,1,1,0,3.0308,4.4675
125,C,C,C,1,1,0,11.7488,11.4372
126,A,A,A,1,1,0,11.1762,10.9745
127,C,C,C,1,1,0,10.5129,9.9912
128,B,B,B,1,1,0,11.0382,10.7887
129,D,C,C,0,0,0,8.33,8.8013
130,D,D,D,1,1,0,11.5531,10.945
131,A,A,A,1,1,0,7.9751,8.0749
132,D,D,D,1,1,0,10.9369,10.7107
133,C,C,C,1,1,0,10.0105,10.28
134,C,C,C,1,1,0,11.1007,10.9996
135,C,C,C,1,1,0,11.1705,11.1555
136,C,C,C,1,1,0,11.459,11.3428
137,D,D,D,1,1,0,10.9797,10.5294
138,A,A,A,1,1,0,11.7079,11.7181
139,C,C,C,1,1,0,6.1075,6.1243
140,A,A,A,1,1,0,11.6399,11.7341
141,A,A,A,1,1,0,10.1886,10.2554
142,D,D,D,1,1,0,10.035,10.0538
143,D,D,D,1,1,0,12.0377,11.7341
144,A,A,A,1,1,0,11.034,11.1788
145,D,D,D,1,1,0,11.0507,11.038
146,D,D,D,1,1,0,9.6163,9.6323
147,D,D,D,1,1,0,10.0595,9.7959
148,B,B,B,1,1,0,10.3009,10.428
149,A,A,A,1,1,0,8.3367,6.5293
150,A,A,A,1,1,0,10.9751,11.0538
151,A,A,A,1,1,0,9.7336,9.3583
152,D,D,D,1,1,0,9.8807,9.8666
153,B,B,B,1,1,0,3.7978,0.1406
154,B,B,B,1,1,0,10.7145,10.7336
155,B,B,B,1,1,0,4.8301,5.5483
156,D,D,D,1,1,0,4.905,4.8427
157,D,C,C,0,0,0,7.1489,7.8966
158,B,B,B,1,1,0,11.3121,11.1405
159,A,A,A,1,1,0,8.9429,9.2174
160,A,A,A,1,1,0,10.5536,10.7962
161,B,B,B,1,1,0,6.7667,8.435
162,D,D,D,1,1,0,8.3243,8.6847
163,C,C,C,1,1,0,10.5835,10.7941
164,B,B,B,1,1,0,9.5605,8.9814
165,C,C,C,1,1,0,7.3515,6.9995
166,A,A,A,1,1,0,6.1423,7.3612
167,D,D,D,1,1,0,11.8579,11.4919
168,C,C,C,1,1,0,7.2571,7.6558
169,A,A,A,1,1,0,10.6934,11.0853
170,C,C,C,1,1,0,10.5673,10.6555
171,B,B,B,1,1,0,9.4359,9.3493
172,A,D,D,0,0,0,3.9225,6.5314
173,B,B,B,1,1,0,7.1573,6.9844
174,B,B,B,1,1,0,10.5773,10.2487
175,B,B,B,1,1,0,9.1477,8.8589
176,C,C,C,1,1,0,9.7476,9.9357
177,C,C,C,1,1,0,10.4973,10.4836
178,B,B,B,1,1,0,10.5844,10.1083
179,B,C,C,0,0,0,10.1576,10.3167
180,B,B,B,1,1,0,9.1789,9.4896
181,B,B,B,1,1,0,6.3609,6.4853
182,B,B,B,1,1,0,9.0274,9.0699
183,C,C,C,1,1,0,4.6886,4.8887
184,D,D,D,1,1,0,11.5028,11.3663
185,B,B,B,1,1,0,9.6779,8.998
186,C,A,A,0,0,0,10.1578,10.4432
187,D,D,D,1,1,0,10.7105,10.6716
188,D,D,D,1,1,0,7.7033,7.7728
189,D,D,D,1,1,0,9.4871,9.4053
190,D,D,D,1,1,0,9.6865,9.8742
191,B,B,B,1,1,0,10.8433,10.4761
192,B,B,B,1,1,0,10.9049,10.6086
193,C,C,C,1,1,0,10.5318,10.373
194,D,A,A,0,0,0,4.094,4.2021
195,C,C,C,1,1,0,8.4903,8.6002
196,A,A,A,1,1,0,11.0221,11.1634
197,A,A,A,1,1,0,11.3886,11.4602
198,B,B,B,1,1,0,9.1864,9.2728
199,B,B,B,1,1,0,10.7767,10.6399
200,C,C,C,1,1,0,10.1507,10.3739
201,C,C,C,1,1,0,6.1404,6.6645
202,C,C,C,1,1,0,9.5997,9.3974
203,A,A,A,1,1,0,10.7488,10.5932
204,C,C,C,1,1,0,7.9754,8.5618
205,A,A,A,1,1,0,9.5845,9.5773
206,D,D,D,1,1,0,11.0926,11.3745
207,B,B,B,1,1,0,7.1482,8.4846
208,D,D,D,1,1,0,11.1266,10.8972
209,D,D,D,1,1,0,11.4775,11.4205
210,B,B,B,1,1,0,0.0312,0.3594
211,D,D,D,1,1,0,8.2895,8.8886
212,B,B,B,1,1,0,8.6132,8.7385
213,C,C,C,1,1,0,6.5952,7.9374
214,C,C,C,1,1,0,11.1554,11.0699
215,D,D,D,1,1,0,9.7964,9.1391
216,D,C,D,0,1,1,0.5474,0.5312
217,D,D,D,1,1,0,10.6472,10.8433
218,C,C,C,1,1,0,10.3423,10.4056
219,D,D,D,1,1,0,12.2092,11.984
220,A,A,A,1,1,0,9.2472,9.7955
221,A,A,A,1,1,0,9.582,9.6789
222,D,D,D,1,1,0,10.9113,10.8511
223,A,A,A,1,1,0,11.0925,11.0698
224,A,A,A,1,1,0,12.1937,11.9761
225,A,A,A,1,1,0,11.2394,11.054
226,A,A,A,1,1,0,11.1518,11.1927
227,D,D,D,1,1,0,11.0687,11.2496
228,B,B,B,1,1,0,10.1454,9.3578
229,B,B,B,1,1,0,3.562,4.9987
230,C,C,C,1,1,0,9.7112,9.9101
231,C,C,C,1,1,0,9.9009,10.2012
232,A,A,A,1,1,0,10.4595,11.2259
233,C,A,A,0,0,0,4.4206,4.4224
234,B,B,B,1,1,0,7.3745,8.2552
235,B,B,B,1,1,0,11.1745,11.076
236,B,B,B,1,1,0,10.6364,10.7563
237,B,B,B,1,1,0,10.7096,10.4601
238,A,A,A,1,1,0,10.2839,10.7403
239,C,C,C,1,1,0,10.4289,10.1635
240,D,D,D,1,1,0,11.6112,11.5846
241,B,D,D,0,0,0,7.845,7.719
242,A,A,A,1,1,0,11.0991,10.8041
243,A,A,A,1,1,0,11.9292,11.7888
244,C,C,C,1,1,0,10.2317,10.3816
245,B,B,B,1,1,0,6.7568,6.4208
246,D,D,D,1,1,0,8.98,9.6154
247,D,D,D,1,1,0,9.4205,8.8343
248,C,C,C,1,1,0,11.2565,11.1867
