idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.566
1,C,C,C,1,1,0,9.5677,9.0365
2,D,D,D,1,1,0,0.5781,1.094
3,B,D,D,0,0,0,9.4112,7.7669
4,B,B,B,1,1,0,7.6258,8.0644
5,B,B,B,1,1,0,10.4831,9.9907
6,C,C,C,1,1,0,8.7005,7.7358
7,A,A,A,1,1,0,10.9132,8.7171
8,C,C,C,1,1,0,11.2412,10.5147
9,C,C,C,1,1,0,11.1856,11.0065
10,C,C,C,1,1,0,10.9987,11.0052
11,B,B,B,1,1,0,11.0146,10.5141
12,C,C,C,1,1,0,9.458,7.9376
13,C,C,C,1,1,0,10.011,9.45
14,A,A,A,1,1,0,1.4219,1.3438
15,A,A,A,1,1,0,10.0665,8.9992
16,C,C,C,1,1,0,8.8568,7.8999
17,B,B,B,1,1,0,9.6831,9.3161
18,B,B,B,1,1,0,10.1542,10.0222
19,C,C,C,1,1,0,10.0058,9.3345
20,A,A,A,1,1,0,10.9052,10.0533
21,B,B,B,1,1,0,11.1704,10.4287
22,A,A,A,1,1,0,10.5286,9.6466
23,D,D,D,1,1,0,10.95,10.7767
24,D,D,D,1,1,0,10.006,9.943
25,A,A,A,1,1,0,10.2395,8.4663
26,C,C,C,1,1,0,9.5289,8.3461
27,B,B,B,1,1,0,9.6793,9.3642
28,B,B,B,1,1,0,4.923,4.9998
29,C,C,C,1,1,0,11.2957,10.8979
30,C,C,C,1,1,0,10.0489,9.4954
31,A,A,A,1,1,0,11.3117,10.288
32,D,D,D,1,1,0,9.7414,9.733
33,B,B,B,1,1,0,5.2964,5.1721
34,C,C,C,1,1,0,10.839,10.2157
35,B,C,C,0,0,0,0.9065,2.5309
36,D,D,D,1,1,0,10.5911,9.2712
37,B,B,B,1,1,0,9.6846,8.5025
38,D,D,D,1,1,0,10.9557,10.1429
39,C,B,B,0,0,0,4.1111,4.7352
40,D,C,C,0,0,0,6.3577,6.6107
41,C,C,C,1,1,0,10.5299,8.9515
42,C,C,C,1,1,0,10.0059,9.0445
43,C,C,C,1,1,0,11.3041,10.7105
44,B,B,B,1,1,0,10.4291,9.4513
45,A,A,A,1,1,0,7.4374,7.1108
46,C,C,C,1,1,0,11.0137,9.6702
47,A,A,A,1,1,0,10.2393,9.4875
48,D,D,D,1,1,0,9.0916,8.7244
49,D,D,D,1,1,0,8.2102,7.5239
50,B,A,A,0,0,0,4.2494,1.7971
51,D,D,D,1,1,0,8.1351,8.4116
52,A,A,A,1,1,0,9.5456,8.2015
