idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,1.8125,0.2617
1,C,C,C,1,1,0,1.7344,1.9043
2,D,A,C,0,0,1,0.3594,0.1328
3,B,D,B,0,1,1,0.8418,0.0352
4,B,B,B,1,1,0,1.127,1.0547
5,B,B,B,1,1,0,2.3281,3.4531
6,C,C,C,1,1,0,1.2188,2.1953
7,A,A,A,1,1,0,4.2051,4.8887
8,C,C,C,1,1,0,2.5488,2.1719
9,C,C,C,1,1,0,3.3438,0.4648
10,C,C,C,1,1,0,2.3037,1.5156
11,B,B,B,1,1,0,4.1729,4.3594
12,C,C,A,1,0,1,1.6406,1.5039
13,C,C,C,1,1,0,2.5859,2.873
14,A,A,B,1,0,1,0.375,0.125
15,A,A,A,1,1,0,1.8594,1.2812
16,C,C,C,1,1,0,2.4688,2.0156
17,B,B,B,1,1,0,1.6074,0.3477
18,B,B,B,1,1,0,2.5312,3.0703
19,C,C,C,1,1,0,1.25,2.1738
20,A,A,A,1,1,0,2.5859,2.0273
21,B,B,B,1,1,0,1.7422,2.9473
22,A,A,A,1,1,0,3.0391,4.4922
23,D,D,A,1,0,1,2.8281,0.7539
24,D,D,D,1,1,0,1.8438,2.8125
25,A,A,A,1,1,0,3.7363,3.6875
26,C,C,A,1,0,1,2.3135,1.8398
27,B,B,A,1,0,1,0.1641,0.6836
28,B,B,A,1,0,1,1.4355,0.1406
29,C,C,C,1,1,0,2.5996,3.0938
30,C,C,C,1,1,0,2.6387,1.7891
31,A,A,A,1,1,0,2.3906,2.3555
32,D,C,A,0,0,1,0.3516,1.6133
33,B,B,B,1,1,0,1.3828,2.1699
34,C,C,C,1,1,0,2.6465,1.0352
35,B,C,A,0,0,1,1.8574,1.1133
36,D,D,D,1,1,0,1.2969,3.5537
37,B,B,A,1,0,1,0.5,2.5742
38,D,D,A,1,0,1,0.4238,1.4414
39,C,C,A,1,0,1,0.6875,0.5469
40,D,C,A,0,0,1,0.0625,1.1211
41,C,C,C,1,1,0,2.0762,0.8633
42,C,C,C,1,1,0,2.3613,2.3359
43,C,C,C,1,1,0,1.7969,3.0488
44,B,B,B,1,1,0,3.1543,3.8135
45,A,A,A,1,1,0,1.1875,2.375
46,C,C,C,1,1,0,3.127,3.2988
47,A,A,A,1,1,0,1.5449,2.7539
48,D,D,A,1,0,1,1.2031,2.1016
49,D,A,D,0,1,1,0.1094,1.2812
50,B,A,A,0,0,0,1.0703,1.1465
51,D,D,A,1,0,1,1.5781,1.5859
52,A,A,A,1,1,0,3.0156,3.7812
53,A,A,A,1,1,0,0.5469,2.1914
54,A,A,A,1,1,0,0.1328,0.3594
55,B,B,B,1,1,0,2.1426,0.0547
56,C,D,D,0,0,0,1.6406,0.8848
57,B,B,B,1,1,0,2.4443,0.75
58,B,B,B,1,1,0,2.5234,1.5469
59,D,D,A,1,0,1,1.4297,0.1211
60,B,B,B,1,1,0,1.8848,3.3281
61,B,B,B,1,1,0,0.7109,2.4688
62,C,C,C,1,1,0,3.9531,3.1484
63,C,C,C,1,1,0,1.9082,0.2148
64,B,B,B,1,1,0,2.248,0.5156
65,C,C,C,1,1,0,3.0293,1.0586
66,B,B,B,1,1,0,0.2422,2.0488
67,C,C,C,1,1,0,1.1406,1.0391
68,A,A,A,1,1,0,2.6348,2.2227
69,D,D,D,1,1,0,1.6699,0.6523
70,C,C,C,1,1,0,3.6875,0.8125
71,C,C,C,1,1,0,2.4355,0.2773
72,A,A,A,1,1,0,1.5645,2.5293
73,D,D,A,1,0,1,2.6738,1.9492
74,A,A,A,1,1,0,0.5156,2.1172
75,C,C,A,1,0,1,0.0312,0.4531
76,D,D,A,1,0,1,1.6484,1.6133
77,A,A,A,1,1,0,0.7031,1.0938
78,B,B,B,1,1,0,2.2422,4.1494
79,D,D,A,1,0,1,0.7344,1.5039
80,B,C,C,0,0,0,0.498,0.9688
