idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,0.3984
1,A,A,A,1,1,0,0.0391,0.0781
2,B,A,A,0,0,0,0.3281,0.2969
3,E,A,A,0,0,0,0.3438,0.3984
4,B,A,A,0,0,0,0.7344,0.6641
5,B,A,A,0,0,0,0.2656,0.4531
6,A,E,E,0,0,0,0.0391,0.0391
7,B,A,A,0,0,0,0.0703,0.2891
8,D,A,A,0,0,0,0.4688,0.5703
9,B,A,A,0,0,0,0.2734,0.4062
10,C,A,A,0,0,0,0.4766,0.375
11,B,A,A,0,0,0,0.3125,0.4062
12,E,A,A,0,0,0,0.1172,0.3203
13,B,A,A,0,0,0,0.4922,0.6328
14,B,A,A,0,0,0,0.3438,0.4609
15,D,A,A,0,0,0,0.2344,0.2422
16,E,A,A,0,0,0,0.4844,0.5938
17,A,E,A,0,1,1,0.0312,0.1328
18,C,A,A,0,0,0,0.6172,0.5781
19,E,A,A,0,0,0,0.9004,1.0469
20,B,A,A,0,0,0,0.3984,0.4219
21,B,A,A,0,0,0,0.2266,0.2109
22,D,A,A,0,0,0,0.2734,0.3906
23,C,A,A,0,0,0,0.5625,0.5625
24,A,E,A,0,1,1,0.0156,0.0312
25,D,A,A,0,0,0,0.3125,0.5078
26,F,A,A,0,0,0,0.2734,0.5156
27,B,A,A,0,0,0,0.1797,0.3438
28,F,A,A,0,0,0,0.1562,0.2188
29,D,A,A,0,0,0,0.3438,0.4375
30,E,A,A,0,0,0,0.2109,0.2656
31,C,A,A,0,0,0,0.2969,0.375
32,B,E,E,0,0,0,0.1797,0.1094
33,F,A,A,0,0,0,0.5312,0.5781
34,D,A,A,0,0,0,0.3281,0.3828
35,D,A,A,0,0,0,0.5156,0.5625
36,B,A,A,0,0,0,0.2969,0.4219
37,B,A,A,0,0,0,0.0078,0.0469
38,B,A,A,0,0,0,0.5781,0.5625
39,A,A,A,1,1,0,0.6016,0.6641
40,B,A,A,0,0,0,0.2734,0.2344
41,E,A,A,0,0,0,0.5234,0.5781
42,E,A,A,0,0,0,0.7969,0.9844
43,A,A,A,1,1,0,0.2031,0.2578
44,D,A,A,0,0,0,0.7031,0.7656
45,F,A,A,0,0,0,0.2891,0.3906
46,C,A,A,0,0,0,0.4062,0.2891
47,E,A,A,0,0,0,0.2656,0.2969
48,F,A,A,0,0,0,0.4922,0.6406
49,B,A,A,0,0,0,0.1016,0.125
50,E,A,A,0,0,0,0.4297,0.4297
51,D,A,A,0,0,0,0.5312,0.5859
52,D,A,A,0,0,0,0.1719,0.2266
53,B,A,A,0,0,0,0.3359,0.4609
54,A,A,A,1,1,0,0.4141,0.4297
55,C,A,A,0,0,0,0.25,0.3984
56,A,A,A,1,1,0,0.4609,0.4688
57,A,A,A,1,1,0,0.3281,0.3828
58,F,A,A,0,0,0,0.3594,0.5312
59,D,A,A,0,0,0,0.5234,0.4609
60,E,A,A,0,0,0,0.5938,0.625
61,B,A,A,0,0,0,0.4062,0.4375
62,D,A,A,0,0,0,0.6719,0.6328
63,E,A,A,0,0,0,0.3359,0.4766
64,D,A,A,0,0,0,0.2891,0.2188
65,B,A,A,0,0,0,0.6328,0.6797
66,A,A,A,1,1,0,0.3828,0.4062
67,C,A,A,0,0,0,0.7422,0.7031
68,E,A,A,0,0,0,0.3516,0.5781
69,F,A,A,0,0,0,0.2656,0.2344
70,A,A,A,1,1,0,0.7031,0.7812
71,F,A,A,0,0,0,0.6406,0.875
72,F,A,A,0,0,0,0.0391,0.0859
73,D,A,A,0,0,0,0.5078,0.5156
74,C,A,A,0,0,0,0.5312,0.5625
75,E,A,A,0,0,0,0.5781,0.625
76,A,A,A,1,1,0,0.25,0.3828
77,E,A,A,0,0,0,0.4609,0.6562
78,F,A,A,0,0,0,0.4453,0.4531
79,A,A,A,1,1,0,0.3594,0.5859
80,E,A,A,0,0,0,0.0391,0.0469
81,E,A,A,0,0,0,0.4453,0.4062
82,B,A,A,0,0,0,0.5547,0.5391
83,B,A,A,0,0,0,0.1094,0.1172
84,A,A,A,1,1,0,0.375,0.4453
85,C,A,A,0,0,0,0.3281,0.3359
86,E,A,A,0,0,0,0.3359,0.3438
87,A,A,A,1,1,0,0.3125,0.2891
88,B,A,A,0,0,0,0.1562,0.1953
89,A,A,A,1,1,0,0.3672,0.4219
90,C,A,A,0,0,0,0.4297,0.5859
91,D,A,A,0,0,0,0.4219,0.3984
92,E,A,A,0,0,0,0.3594,0.3438
93,C,A,A,0,0,0,0.7812,0.8984
94,F,A,A,0,0,0,0.4531,0.3438
