idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,3.082
1,A,A,A,1,1,0,0.793,3.4453
2,B,A,A,0,0,0,0.875,3.1953
3,E,A,A,0,0,0,0.7617,2.9336
4,B,A,A,0,0,0,1.0586,3.6328
5,B,A,A,0,0,0,0.4336,2.625
6,A,A,A,1,1,0,0.6523,3.1406
7,B,A,A,0,0,0,0.8555,3.4531
8,D,A,A,0,0,0,0.9961,3.1406
9,B,A,A,0,0,0,0.9805,3.2227
10,C,A,A,0,0,0,0.7461,3.1562
11,B,A,A,0,0,0,0.6055,2.707
12,E,A,A,0,0,0,0.6953,2.6172
13,B,A,A,0,0,0,1.0742,3.625
14,B,A,A,0,0,0,1.1992,3.5703
15,D,A,A,0,0,0,0.7617,3.0117
16,E,A,A,0,0,0,1.3242,3.4102
17,A,A,A,1,1,0,0.5586,2.9727
18,C,A,A,0,0,0,0.6523,3.2852
19,E,A,A,0,0,0,1.0898,2.4766
20,B,A,A,0,0,0,0.6719,3.0703
21,B,A,A,0,0,0,0.543,2.8672
22,D,A,A,0,0,0,0.5742,2.5703
23,C,A,A,0,0,0,0.9492,3.2109
24,A,A,A,1,1,0,0.7773,3.3125
25,D,A,A,0,0,0,0.5742,2.8359
26,F,A,A,0,0,0,0.8867,3.4961
27,B,A,A,0,0,0,0.6016,2.5977
28,F,A,A,0,0,0,0.7773,3.332
29,D,A,A,0,0,0,0.5273,2.8008
30,E,A,A,0,0,0,0.8555,3.0664
31,C,A,A,0,0,0,0.8398,3.2461
32,B,A,A,0,0,0,0.6211,3.3125
33,F,A,A,0,0,0,1.043,3.3164
34,D,A,A,0,0,0,1.2617,3.4883
35,D,A,A,0,0,0,0.9805,3.3164
36,B,A,A,0,0,0,0.5117,2.707
37,B,A,A,0,0,0,0.8242,3.5195
38,B,A,A,0,0,0,0.8867,3.1836
39,A,A,A,1,1,0,1.0625,3.5703
40,B,A,A,0,0,0,0.9961,3.2812
41,E,A,A,0,0,0,0.9805,3.0977
42,E,A,A,0,0,0,1.3125,3.25
43,A,A,A,1,1,0,0.6211,2.8203
44,D,A,A,0,0,0,1.043,3.3164
45,F,A,A,0,0,0,0.5117,3.207
46,C,A,A,0,0,0,1.0625,3.332
47,E,A,A,0,0,0,0.6836,2.9609
48,F,A,A,0,0,0,0.9648,3.6133
49,B,A,A,0,0,0,0.6367,2.7734
50,E,A,A,0,0,0,0.9375,3.1367
51,D,A,A,0,0,0,0.6211,3.0977
52,D,A,A,0,0,0,0.543,2.8984
53,B,A,A,0,0,0,0.9648,3.3516
54,A,A,A,1,1,0,0.8398,3.3789
55,C,A,A,0,0,0,0.8242,3.207
56,A,A,A,1,1,0,1.0117,3.5156
57,A,A,A,1,1,0,0.8086,3.1094
58,F,A,A,0,0,0,0.3555,2.5078
59,D,A,A,0,0,0,0.9023,3.1758
60,E,A,A,0,0,0,1.1406,3.5977
61,B,A,A,0,0,0,0.9648,3.2656
62,D,A,A,0,0,0,0.8867,3.4062
63,E,A,A,0,0,0,0.543,2.6953
64,D,A,A,0,0,0,1.0586,3.3516
65,B,A,A,0,0,0,1.0781,3.6016
66,A,A,A,1,1,0,1.1875,3.2422
67,C,A,A,0,0,0,1.2969,3.8125
68,E,A,A,0,0,0,0.5273,3.207
69,F,A,A,0,0,0,0.8086,3.0859
70,A,A,A,1,1,0,1.2773,3.5781
71,F,A,A,0,0,0,1.125,3.3203
72,F,A,A,0,0,0,0.6992,2.6914
73,D,A,A,0,0,0,0.418,2.4414
74,C,A,A,0,0,0,0.6211,2.9258
75,E,A,A,0,0,0,0.7461,2.7852
76,A,A,A,1,1,0,0.668,2.9766
77,E,A,A,0,0,0,0.5117,2.6289
78,F,A,A,0,0,0,0.418,2.3945
79,A,A,A,1,1,0,0.6211,2.5977
80,E,A,A,0,0,0,0.4805,2.4102
81,E,A,A,0,0,0,0.543,2.8477
82,B,A,A,0,0,0,0.6523,3.2148
83,B,A,A,0,0,0,0.7773,3.1406
84,A,A,A,1,1,0,1.1523,3.2227
85,C,A,A,0,0,0,0.6719,2.9453
86,E,A,A,0,0,0,0.543,2.7383
87,A,A,A,1,1,0,1.4492,3.6484
88,B,A,A,0,0,0,0.6836,3.207
89,A,A,A,1,1,0,0.5586,3.3203
90,C,A,A,0,0,0,0.6719,3.2227
91,D,A,A,0,0,0,0.6016,2.6758
92,E,A,A,0,0,0,0.793,3.2578
93,C,A,A,0,0,0,1.1523,3.5703
94,F,A,A,0,0,0,1.2148,3.3281
95,E,A,A,0,0,0,1.4688,3.4844
96,E,A,A,0,0,0,0.5586,2.9062
97,E,A,A,0,0,0,0.8867,3.4688
98,B,A,A,0,0,0,0.6211,3.043
99,F,A,A,0,0,0,0.6836,3.1875
100,C,A,A,0,0,0,1.1875,3.4766
101,D,A,A,0,0,0,0.3867,2.6289
102,C,A,A,0,0,0,0.2773,2.5977
103,A,A,A,1,1,0,0.6367,2.8984
104,F,A,A,0,0,0,0.5586,2.8594
105,C,A,A,0,0,0,0.7305,3.0664
106,D,A,A,0,0,0,0.9492,3.3711
107,B,A,A,0,0,0,0.8555,3.2109
108,F,A,A,0,0,0,0.7656,3.1406
109,C,A,A,0,0,0,1.0742,2.8047
110,B,A,A,0,0,0,1.2305,3.7422
111,D,A,A,0,0,0,0.9492,3.168
112,D,A,A,0,0,0,0.9492,2.6016
113,F,A,A,0,0,0,1.1211,3.5469
114,E,A,A,0,0,0,0.7773,3.1562
115,B,A,A,0,0,0,1.2773,3.625
116,C,A,A,0,0,0,0.5273,2.7422
117,C,A,A,0,0,0,0.3398,2.5977
118,F,A,A,0,0,0,0.4023,2.7383
119,E,A,A,0,0,0,1.1562,3.2227
120,A,A,A,1,1,0,0.6523,3.3516
121,B,A,A,0,0,0,0.4492,2.6133
122,E,A,A,0,0,0,0.4805,2.8008
123,E,A,A,0,0,0,0.9492,2.9414
124,B,A,A,0,0,0,0.9062,3.3047
125,B,A,A,0,0,0,0.9961,3.4375
126,C,A,A,0,0,0,0.4453,2.6758
127,C,A,A,0,0,0,1.1055,3.2227
128,C,A,A,0,0,0,1.1367,3.375
129,F,A,A,0,0,0,0.7812,3.332
130,B,A,A,0,0,0,1.1367,3.4023
131,E,A,A,0,0,0,1.0742,3.293
132,B,A,A,0,0,0,1.1523,3.3633
133,F,A,A,0,0,0,0.9805,3.3828
134,C,A,A,0,0,0,0.8867,3.0352
135,B,A,A,0,0,0,0.8398,3.3984
136,F,A,A,0,0,0,0.5586,2.9297
137,A,A,A,1,1,0,0.8242,3.457
138,F,A,A,0,0,0,0.8867,3.2539
139,E,A,A,0,0,0,0.4648,3.1484
140,D,A,A,0,0,0,0.5586,2.6484
141,A,A,A,1,1,0,0.2305,2.5508
142,E,A,A,0,0,0,0.918,3.4062
143,B,A,A,0,0,0,0.8867,3.5508
144,F,A,A,0,0,0,0.7617,3.3828
145,B,A,A,0,0,0,0.6367,2.9414
146,E,A,A,0,0,0,0.8242,3.1914
147,D,A,A,0,0,0,1.1992,3.3906
148,D,A,A,0,0,0,0.6055,2.7422
149,D,A,A,0,0,0,1.1094,3.3047
150,A,A,A,1,1,0,1.0117,2.9414
151,B,A,A,0,0,0,0.3984,2.707
152,A,A,A,1,1,0,0.8086,3.2148
153,A,A,A,1,1,0,0.7344,2.9141
154,C,A,A,0,0,0,0.7773,3.1602
155,D,A,A,0,0,0,0.5273,2.6602
156,A,A,A,1,1,0,0.9961,2.7109
157,D,A,A,0,0,0,0.293,2.6328
158,B,A,A,0,0,0,0.3398,2.6133
159,A,A,A,1,1,0,1.0586,3.25
160,D,A,A,0,0,0,0.3398,2.6133
161,A,A,A,1,1,0,0.4648,2.8984
162,A,A,A,1,1,0,0.6836,2.7695
163,C,A,A,0,0,0,0.7305,3.0781
164,C,A,A,0,0,0,0.6367,3.1133
165,A,A,A,1,1,0,1.0586,3.4219
166,F,A,A,0,0,0,0.8086,3.082
167,D,A,A,0,0,0,1.0156,3.0859
168,E,A,A,0,0,0,0.1992,2.5391
169,A,A,A,1,1,0,1.2031,3.4336
170,C,A,A,0,0,0,0.6523,2.5859
171,A,A,A,1,1,0,0.8086,3.0938
172,C,A,A,0,0,0,0.9336,3.3711
173,A,A,A,1,1,0,0.4805,2.6289
174,A,A,A,1,1,0,0.7656,3.2539
175,B,A,A,0,0,0,0.668,2.9453
176,B,A,A,0,0,0,0.9648,2.5078
177,A,A,A,1,1,0,1.2031,3.4766
178,E,A,A,0,0,0,0.4648,2.9414
179,A,A,A,1,1,0,0.9219,3.1016
180,D,A,A,0,0,0,0.9375,3.2227
181,B,A,A,0,0,0,0.2461,2.3828
182,F,A,A,0,0,0,0.8242,3.2383
183,F,A,A,0,0,0,1.2656,3.4414
184,D,A,A,0,0,0,0.7344,3.0977
185,D,A,A,0,0,0,0.6523,3.0898
186,D,A,A,0,0,0,1.0273,3.1484
187,E,A,A,0,0,0,0.2305,2.457
188,F,A,A,0,0,0,0.3203,3.207
189,E,A,A,0,0,0,0.8398,3.4297
190,B,A,A,0,0,0,0.9805,3.582
191,C,A,A,0,0,0,0.4492,2.707
192,B,A,A,0,0,0,0.6094,2.8945
193,C,A,A,0,0,0,0.918,3.4414
194,C,A,A,0,0,0,0.4492,2.6953
195,D,A,A,0,0,0,0.5742,2.9414
196,F,A,A,0,0,0,0.8125,3.0586
197,B,A,A,0,0,0,1.043,3.1797
198,A,A,A,1,1,0,0.668,3.0391
199,D,A,A,0,0,0,0.5117,2.9609
200,E,A,A,0,0,0,0.4805,2.8008
201,A,A,A,1,1,0,0.9531,3.1953
202,A,A,A,1,1,0,0.4961,2.6953
203,C,A,A,0,0,0,0.9492,3.1172
204,A,A,A,1,1,0,0.7148,3.3672
205,A,A,A,1,1,0,0.7891,2.8984
206,C,A,A,0,0,0,1.2461,3.3828
207,E,A,A,0,0,0,0.9336,2.9883
208,A,A,A,1,1,0,1.1992,3.6445
209,D,A,A,0,0,0,0.8555,3.3789
210,B,A,A,0,0,0,0.6992,3.1992
211,E,A,A,0,0,0,0.668,3.1133
212,F,A,A,0,0,0,0.8086,3.1875
213,C,A,A,0,0,0,0.6992,3.3828
214,B,A,A,0,0,0,0.8242,3.125
215,F,A,A,0,0,0,1.3867,3.457
216,D,A,A,0,0,0,0.7773,3.2188
217,D,A,A,0,0,0,0.793,3.2461
218,D,A,A,0,0,0,0.6523,3.3125
219,D,A,A,0,0,0,0.3516,2.8945
220,E,A,A,0,0,0,0.293,2.4727
221,A,A,A,1,1,0,1.3555,3.3516
222,A,A,A,1,1,0,0.6523,2.8789
223,F,A,A,0,0,0,0.8867,3.1719
224,F,A,A,0,0,0,0.7031,2.9297
225,E,A,A,0,0,0,0.6836,3.1875
226,B,A,A,0,0,0,0.9023,3.3789
227,F,A,A,0,0,0,0.793,3.2695
228,D,A,A,0,0,0,0.7148,2.7695
229,A,A,A,1,1,0,1.1992,3.2656
230,D,A,A,0,0,0,1.293,3.2422
231,A,A,A,1,1,0,0.9492,3.3867
232,B,A,A,0,0,0,0.543,2.7266
233,F,A,A,0,0,0,0.793,3.0898
234,E,A,A,0,0,0,0.9961,3.3828
235,C,A,A,0,0,0,0.9219,3.457
236,E,A,A,0,0,0,0.9219,3.1758
237,A,A,A,1,1,0,1.168,3.332
238,C,A,A,0,0,0,0.7461,3.082
239,A,A,A,1,1,0,0.9492,3.2969
240,C,A,A,0,0,0,0.668,2.9609
241,A,A,A,1,1,0,1.0273,3.4414
242,A,A,A,1,1,0,0.9961,3.2383
243,D,A,A,0,0,0,0.5273,3.0469
244,B,A,A,0,0,0,0.5859,2.9883
245,D,A,A,0,0,0,0.6562,3.0234
246,D,A,A,0,0,0,0.918,3.4414
247,B,A,A,0,0,0,1.043,3.2109
248,F,A,A,0,0,0,0.4492,2.7852
249,F,A,A,0,0,0,0.8711,3.1016
