idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,10.1871
1,A,B,B,0,0,0,6.781,6.4067
2,B,B,B,1,1,0,2.063,1.7496
3,E,E,E,1,1,0,7.6956,7.9523
4,B,D,D,0,0,0,4.8762,4.2023
5,B,B,B,1,1,0,1.3594,2.0774
6,A,D,D,0,0,0,0.5154,0.7339
7,B,B,B,1,1,0,9.8897,10.437
8,D,D,D,1,1,0,9.1702,9.4991
9,B,A,B,0,1,1,0.5,0.0781
10,C,C,C,1,1,0,7.1098,6.2976
11,B,B,B,1,1,0,3.2965,4.3764
12,E,E,E,1,1,0,0.3906,2.0779
13,B,D,C,0,0,1,0.0469,1.6876
14,B,B,B,1,1,0,10.1319,10.4449
15,D,B,D,0,1,1,2.7809,0.7341
16,E,E,E,1,1,0,8.9429,9.2875
17,A,A,A,1,1,0,6.0784,7.1087
18,C,C,C,1,1,0,8.9833,9.0307
19,E,E,E,1,1,0,3.421,5.5154
20,B,B,B,1,1,0,4.6888,5.8297
21,B,A,A,0,0,0,2.7656,5.3921
22,D,D,D,1,1,0,5.5931,5.7646
23,C,C,C,1,1,0,8.2311,8.7564
24,A,F,F,0,0,0,9.3662,9.2335
25,D,D,D,1,1,0,2.8435,1.5317
26,F,F,F,1,1,0,9.5145,9.7024
27,B,E,E,0,0,0,6.3122,6.0457
28,F,C,C,0,0,0,4.5458,4.1884
29,D,D,D,1,1,0,6.0322,5.8735
30,E,E,E,1,1,0,7.4705,8.1313
31,C,D,D,0,0,0,2.1095,2.9999
32,B,C,C,0,0,0,6.3599,7.2484
33,F,F,F,1,1,0,4.4216,6.0468
34,D,D,D,1,1,0,8.6702,8.8818
35,D,D,D,1,1,0,2.657,1.4844
36,B,A,A,0,0,0,2.6416,3.5791
37,B,B,B,1,1,0,1.4841,5.032
38,B,B,B,1,1,0,4.2482,6.236
39,A,A,A,1,1,0,8.3185,9.7337
40,B,A,A,0,0,0,6.9209,7.0321
41,E,D,D,0,0,0,5.344,5.9361
42,E,E,E,1,1,0,7.6417,7.3291
43,A,A,A,1,1,0,6.1425,7.3535
44,D,D,D,1,1,0,7.9984,8.2646
45,F,A,B,0,0,1,0.7812,0.0786
46,C,C,C,1,1,0,6.4463,6.6727
47,E,E,D,1,0,1,0.2344,0.3906
48,F,F,F,1,1,0,8.7172,8.0453
49,B,D,D,0,0,0,6.045,6.4839
50,E,E,E,1,1,0,8.1037,8.5443
51,D,D,D,1,1,0,9.2015,8.6233
52,D,D,D,1,1,0,3.4695,4.4361
53,B,D,D,0,0,0,2.3909,3.6093
54,A,A,A,1,1,0,11.7881,11.5228
55,C,B,B,0,0,0,6.2509,6.4683
56,A,A,A,1,1,0,11.3043,11.2497
57,A,C,C,0,0,0,2.7029,2.4851
58,F,F,F,1,1,0,7.086,7.1871
59,D,D,D,1,1,0,9.6628,10.0773
60,E,E,E,1,1,0,10.0384,10.5778
61,B,A,A,0,0,0,7.1699,7.3816
62,D,D,D,1,1,0,4.7655,4.9827
63,E,C,C,0,0,0,10.6863,10.8431
64,D,D,D,1,1,0,5.3431,4.8612
65,B,C,C,0,0,0,6.8361,6.626
66,A,C,C,0,0,0,3.3278,3.2509
67,C,C,C,1,1,0,1.1877,1.2029
68,E,E,E,1,1,0,5.9841,6.5623
69,F,F,F,1,1,0,5.0486,4.4676
70,A,A,A,1,1,0,11.6634,11.6323
71,F,F,F,1,1,0,8.4427,8.404
72,F,F,F,1,1,0,6.2489,6.2484
73,D,F,F,0,0,0,8.7804,9.3745
74,C,C,C,1,1,0,6.2511,5.4062
75,E,E,E,1,1,0,7.344,7.3923
76,A,F,F,0,0,0,2.7976,2.4854
77,E,A,A,0,0,0,7.0846,8.3813
78,F,F,F,1,1,0,9.1396,9.4057
79,A,B,B,0,0,0,8.1701,8.632
80,E,E,E,1,1,0,4.8123,5.3441
81,E,E,E,1,1,0,10.2807,10.7887
82,B,B,B,1,1,0,7.0371,8.0617
83,B,F,F,0,0,0,6.5934,6.6262
84,A,A,A,1,1,0,0.7505,1.6403
