idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,10.1479
1,A,B,B,0,0,0,6.781,6.7971
2,B,B,B,1,1,0,2.063,2.1714
3,E,E,E,1,1,0,7.6956,7.9211
4,B,D,D,0,0,0,4.8762,5.2515
5,B,B,B,1,1,0,1.3594,1.8914
6,A,D,D,0,0,0,0.5154,0.9373
7,B,B,B,1,1,0,9.8897,9.8664
8,D,D,D,1,1,0,9.1702,9.2488
9,B,A,A,0,0,0,0.5,0.4692
10,C,C,C,1,1,0,7.1098,6.9544
11,B,B,B,1,1,0,3.2965,2.2661
12,E,E,E,1,1,0,0.3906,0.5161
13,B,D,D,0,0,0,0.0469,0.4219
14,B,B,B,1,1,0,10.1319,10.2413
15,D,B,B,0,0,0,2.7809,3.3753
16,E,E,E,1,1,0,8.9429,9.2327
17,A,A,A,1,1,0,6.0784,5.5331
18,C,C,C,1,1,0,8.9833,9.0068
19,E,E,E,1,1,0,3.421,3.4846
20,B,B,B,1,1,0,4.6888,4.0778
21,B,A,A,0,0,0,2.7656,2.5478
22,D,D,D,1,1,0,5.5931,5.7172
23,C,C,C,1,1,0,8.2311,8.467
24,A,F,F,0,0,0,9.3662,9.5147
25,D,D,D,1,1,0,2.8435,3.2804
26,F,F,F,1,1,0,9.5145,9.5147
27,B,E,E,0,0,0,6.3122,6.3829
28,F,C,C,0,0,0,4.5458,4.1573
29,D,D,D,1,1,0,6.0322,5.6256
30,E,E,E,1,1,0,7.4705,7.8923
31,C,D,D,0,0,0,2.1095,1.2502
32,B,C,C,0,0,0,6.3599,6.2818
33,F,F,F,1,1,0,4.4216,5.0769
34,D,D,D,1,1,0,8.6702,8.616
35,D,D,D,1,1,0,2.657,3.39
36,B,A,A,0,0,0,2.6416,3.2028
37,B,B,B,1,1,0,1.4841,0.5
38,B,B,B,1,1,0,4.2482,4.2505
39,A,A,A,1,1,0,8.3185,7.7282
40,B,A,A,0,0,0,6.9209,6.8123
41,E,D,D,0,0,0,5.344,4.7484
42,E,E,E,1,1,0,7.6417,7.7831
43,A,A,A,1,1,0,6.1425,5.8426
44,D,D,D,1,1,0,7.9984,7.9753
45,F,A,A,0,0,0,0.7812,1.1094
46,C,C,C,1,1,0,6.4463,6.5782
