idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,0.7031
1,A,A,A,1,1,0,0.0391,0.625
2,B,A,A,0,0,0,0.3281,0.6484
3,E,A,A,0,0,0,0.3438,0.7266
4,B,A,A,0,0,0,0.7344,0.9609
5,B,A,A,0,0,0,0.2656,0.5391
6,A,E,A,0,1,1,0.0391,0.1875
7,B,A,A,0,0,0,0.0703,0.5234
8,D,A,A,0,0,0,0.4688,0.7656
9,B,A,A,0,0,0,0.2734,0.875
10,C,A,A,0,0,0,0.4766,0.4219
11,B,A,A,0,0,0,0.3125,0.3594
12,E,A,A,0,0,0,0.1172,0.9297
13,B,A,A,0,0,0,0.4922,1.0469
14,B,A,A,0,0,0,0.3438,0.75
15,D,A,A,0,0,0,0.2344,0.3984
16,E,A,A,0,0,0,0.4844,0.6562
17,A,E,A,0,1,1,0.0312,0.5781
18,C,A,A,0,0,0,0.6172,0.8672
19,E,A,A,0,0,0,0.9004,0.9219
20,B,A,A,0,0,0,0.3984,0.7109
21,B,A,A,0,0,0,0.2266,0.5469
22,D,A,A,0,0,0,0.2734,0.5391
23,C,A,A,0,0,0,0.5625,0.8047
24,A,E,A,0,1,1,0.0156,0.6016
25,D,A,A,0,0,0,0.3125,0.6094
26,F,A,A,0,0,0,0.2734,0.9219
27,B,A,A,0,0,0,0.1797,0.875
28,F,A,A,0,0,0,0.1562,0.6641
29,D,A,A,0,0,0,0.3438,0.5547
30,E,A,A,0,0,0,0.2109,0.4609
31,C,A,A,0,0,0,0.2969,0.625
32,B,E,A,0,0,1,0.1797,0.3516
33,F,A,A,0,0,0,0.5312,0.8359
34,D,A,A,0,0,0,0.3281,0.6641
35,D,A,A,0,0,0,0.5156,0.7734
36,B,A,A,0,0,0,0.2969,0.8125
37,B,A,A,0,0,0,0.0078,0.5234
38,B,A,A,0,0,0,0.5781,0.7656
39,A,A,A,1,1,0,0.6016,0.7344
40,B,A,A,0,0,0,0.2734,0.4688
41,E,A,A,0,0,0,0.5234,0.8125
42,E,A,A,0,0,0,0.7969,0.9375
43,A,A,A,1,1,0,0.2031,0.7969
44,D,A,A,0,0,0,0.7031,0.9062
45,F,A,A,0,0,0,0.2891,0.7422
46,C,A,A,0,0,0,0.4062,0.3828
47,E,A,A,0,0,0,0.2656,0.6875
48,F,A,A,0,0,0,0.4922,1.0625
49,B,A,A,0,0,0,0.1016,0.6328
50,E,A,A,0,0,0,0.4297,0.6797
51,D,A,A,0,0,0,0.5312,0.6875
52,D,A,A,0,0,0,0.1719,0.3047
53,B,A,A,0,0,0,0.3359,0.7812
54,A,A,A,1,1,0,0.4141,0.6641
55,C,A,A,0,0,0,0.25,0.7109
56,A,A,A,1,1,0,0.4609,0.7109
57,A,A,A,1,1,0,0.3281,0.5703
58,F,A,A,0,0,0,0.3594,0.5781
59,D,A,A,0,0,0,0.5234,0.8516
60,E,A,A,0,0,0,0.5938,0.6641
61,B,A,A,0,0,0,0.4062,0.6094
62,D,A,A,0,0,0,0.6719,0.7812
63,E,A,A,0,0,0,0.3359,0.5547
64,D,A,A,0,0,0,0.2891,0.3906
65,B,A,A,0,0,0,0.6328,0.6875
66,A,A,A,1,1,0,0.3828,0.7969
67,C,A,A,0,0,0,0.7422,0.7422
68,E,A,A,0,0,0,0.3516,1.2656
69,F,A,A,0,0,0,0.2656,0.5703
70,A,A,A,1,1,0,0.7031,0.6719
71,F,A,A,0,0,0,0.6406,0.8594
72,F,A,A,0,0,0,0.0391,0.2422
73,D,A,A,0,0,0,0.5078,0.6719
74,C,A,A,0,0,0,0.5312,0.5781
75,E,A,A,0,0,0,0.5781,0.7734
