idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,9.4878
1,A,B,B,0,0,0,7.6559,7.5796
2,B,B,B,1,1,0,5.1893,5.6894
3,E,E,E,1,1,0,5.6232,6.8749
4,B,B,B,1,1,0,4.7505,6.6883
5,B,B,B,1,1,0,2.0623,0.75
6,A,C,C,0,0,0,1.4685,2.3132
7,B,B,B,1,1,0,12.8906,14.0294
8,D,D,D,1,1,0,12.9853,14.0294
9,B,C,B,0,1,1,0.3438,0.1875
10,C,C,C,1,1,0,1.7809,1.8751
11,B,B,B,1,1,0,14.3261,14.5746
12,E,E,E,1,1,0,2.8909,3.5784
13,B,B,B,1,1,0,1.7195,0.2812
14,B,B,B,1,1,0,11.4554,11.7208
15,D,B,B,0,0,0,0.9839,0.3438
16,E,E,E,1,1,0,5.5321,6.3277
17,A,B,B,0,0,0,5.2031,4.8455
18,C,C,C,1,1,0,5.5151,5.9076
19,E,B,E,0,1,1,0.3125,0.8123
20,B,B,B,1,1,0,8.4526,10.3576
21,B,A,A,0,0,0,0.7188,2.9372
22,D,D,D,1,1,0,5.3116,6.6891
23,C,C,C,1,1,0,1.2815,1.2192
24,A,F,F,0,0,0,11.7943,11.0605
25,D,A,A,0,0,0,12.6552,13.0307
26,F,C,C,0,0,0,4.9057,5.7815
27,B,B,B,1,1,0,3.4527,3.5004
28,F,B,B,0,0,0,8.4535,8.7466
29,D,D,D,1,1,0,2.5318,1.7188
30,E,E,E,1,1,0,4.0165,4.2807
31,C,C,A,1,0,1,1.4062,2.1252
32,B,B,B,1,1,0,4.3293,3.8741
33,F,F,F,1,1,0,2.3131,1.968
34,D,D,D,1,1,0,8.1992,8.8739
35,D,D,D,1,1,0,1.5935,1.188
36,B,B,B,1,1,0,2.6085,2.6255
37,B,B,B,1,1,0,7.7353,8.3786
38,B,B,B,1,1,0,10.4063,11.0813
39,A,A,A,1,1,0,4.8925,5.0293
40,B,B,B,1,1,0,11.6998,12.5453
41,E,B,B,0,0,0,11.6881,11.5453
42,E,E,E,1,1,0,10.9881,11.7012
43,A,A,A,1,1,0,0.2188,0.0
44,D,D,D,1,1,0,14.7504,14.7824
45,F,A,A,0,0,0,4.9674,4.9225
46,C,C,C,1,1,0,7.9833,8.0475
47,E,B,B,0,0,0,1.9994,1.7183
48,F,F,F,1,1,0,10.2363,10.2775
49,B,D,D,0,0,0,3.1881,3.5618
50,E,E,E,1,1,0,6.7201,6.7178
51,D,D,D,1,1,0,18.2682,19.1289
52,D,D,D,1,1,0,3.8747,5.1702
53,B,B,B,1,1,0,5.9674,6.6075
54,A,A,A,1,1,0,15.6736,16.4112
55,C,C,C,1,1,0,5.6884,4.9079
56,A,A,A,1,1,0,18.088,18.7957
57,A,B,B,0,0,0,0.3745,0.125
58,F,F,F,1,1,0,2.4847,2.3441
