idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,0.7969
1,A,A,A,1,1,0,3.7342,2.3906
2,B,A,A,0,0,0,1.2815,0.0469
3,C,A,A,0,0,0,0.0,0.0474
4,C,A,B,0,0,1,0.0625,0.2661
5,C,A,C,0,1,1,0.5005,0.3125
6,A,A,A,1,1,0,0.3438,0.4219
7,B,A,A,0,0,0,1.3589,1.2031
8,C,A,A,0,0,0,0.8281,0.5779
9,B,B,B,1,1,0,0.7183,1.4995
10,B,A,A,0,0,0,2.7338,2.7192
11,C,A,B,0,0,1,1.1719,0.9219
12,C,A,A,0,0,0,0.6724,0.4844
13,B,A,B,0,1,1,1.1094,0.2812
14,B,A,A,0,0,0,2.0006,1.1562
15,C,A,A,0,0,0,0.9841,0.6094
16,B,A,A,0,0,0,2.5321,2.109
17,C,A,A,0,0,0,0.3599,1.4536
18,A,A,A,1,1,0,2.9681,2.2192
19,A,A,A,1,1,0,2.5788,0.1094
20,C,A,B,0,0,1,0.437,1.2031
21,B,A,C,0,0,1,1.5942,0.1094
22,C,C,C,1,1,0,0.0938,0.4844
23,C,A,A,0,0,0,0.4375,0.4995
24,C,C,B,1,0,1,0.4844,0.1562
25,B,A,A,0,0,0,1.4688,0.6719
26,C,A,A,0,0,0,0.3901,2.2183
27,C,A,C,0,1,1,1.4373,0.1406
28,C,A,A,0,0,0,0.5312,0.4375
29,B,A,B,0,1,1,0.9214,0.2036
30,B,A,A,0,0,0,0.1406,0.3906
31,B,A,A,0,0,0,0.5938,0.0312
32,B,A,A,0,0,0,3.3898,0.2188
33,B,A,A,0,0,0,0.9531,2.3899
34,A,A,B,1,0,1,3.2338,0.9536
35,C,A,A,0,0,0,1.1245,0.8438
36,A,A,B,1,0,1,4.3898,1.8291
37,B,A,A,0,0,0,1.281,0.5161
38,C,C,C,1,1,0,0.8281,0.4062
39,C,A,A,0,0,0,1.6404,0.6094
40,A,A,A,1,1,0,4.0928,1.1245
41,B,A,A,0,0,0,0.563,0.0156
42,B,A,C,0,0,1,1.9844,0.2969
43,A,A,A,1,1,0,2.1251,2.5947
44,A,A,A,1,1,0,2.5314,1.4065
45,A,A,A,1,1,0,4.7335,1.3904
46,C,A,B,0,0,1,1.0474,0.0312
47,B,A,B,0,1,1,2.36,0.0625
48,C,A,A,0,0,0,1.0,0.9375
49,C,C,B,1,0,1,0.5938,0.3442
50,C,A,A,0,0,0,0.2969,0.25
51,A,A,A,1,1,0,4.4861,1.625
52,C,C,C,1,1,0,0.25,0.5625
53,A,A,A,1,1,0,1.7346,0.0781
54,A,A,A,1,1,0,1.0623,0.1719
55,C,B,A,0,0,1,0.0625,0.0156
56,A,A,A,1,1,0,5.2639,2.5942
57,C,C,C,1,1,0,0.2339,0.3286
58,C,C,C,1,1,0,0.438,0.125
59,A,A,A,1,1,0,2.8586,4.08
60,A,A,A,1,1,0,5.1881,0.4219
61,C,A,A,0,0,0,0.8594,0.5779
62,A,A,B,1,0,1,0.0469,0.6089
63,B,A,A,0,0,0,1.0942,1.5625
64,A,A,A,1,1,0,1.9056,0.375
65,C,C,C,1,1,0,0.562,0.8599
66,A,A,B,1,0,1,1.3284,0.0469
67,C,A,A,0,0,0,0.75,0.25
68,B,A,A,0,0,0,3.6259,1.6406
69,A,A,C,1,0,1,1.6411,0.1562
70,B,A,A,0,0,0,1.2651,1.4529
71,B,A,C,0,0,1,0.4219,0.4058
72,C,A,C,0,1,1,0.25,0.2964
73,A,A,A,1,1,0,3.8914,1.3442
74,B,A,A,0,0,0,2.7812,3.7508
75,C,A,B,0,0,1,1.4534,0.0156
76,A,A,A,1,1,0,3.344,1.6719
77,A,A,B,1,0,1,1.5001,0.0469
78,B,A,A,0,0,0,2.3118,2.2188
79,A,A,A,1,1,0,4.0618,0.2812
80,C,A,B,0,0,1,0.0938,0.5781
81,B,A,A,0,0,0,2.3755,1.3906
82,B,A,B,0,1,1,1.3596,0.2192
83,A,A,A,1,1,0,3.9381,1.8446
84,A,A,A,1,1,0,5.8267,0.2812
85,A,A,C,1,0,1,1.0471,0.1245
86,C,C,B,1,0,1,0.1719,2.3591
87,C,A,A,0,0,0,0.563,0.1401
88,C,A,C,0,1,1,0.5781,0.2656
89,A,A,A,1,1,0,2.1245,0.563
90,C,B,A,0,0,1,0.1719,0.8591
91,C,A,A,0,0,0,0.4062,0.5464
92,A,A,A,1,1,0,2.3281,2.7021
93,A,A,B,1,0,1,2.3603,0.9062
94,A,A,A,1,1,0,1.5935,2.1398
95,A,A,A,1,1,0,3.5305,1.8281
96,A,A,A,1,1,0,0.9692,1.5938
97,B,A,B,0,1,1,2.14,0.0625
98,C,C,C,1,1,0,0.3276,0.3281
99,A,A,A,1,1,0,4.3766,4.1708
100,C,A,C,0,1,1,0.4375,0.9214
101,A,A,A,1,1,0,0.8594,1.3594
102,A,A,A,1,1,0,4.4076,1.469
103,C,C,B,1,0,1,0.7502,0.813
104,C,A,A,0,0,0,0.5786,1.4683
105,B,B,B,1,1,0,0.3281,0.25
106,B,A,A,0,0,0,1.9214,2.7812
107,B,A,A,0,0,0,4.5137,1.7339
108,C,A,C,0,1,1,0.2344,1.0308
109,B,A,A,0,0,0,1.843,0.2812
110,A,A,A,1,1,0,3.0785,0.9214
111,B,A,A,0,0,0,3.3904,0.5625
112,A,A,A,1,1,0,3.5005,0.5308
113,B,A,A,0,0,0,2.4689,0.312
114,B,A,A,0,0,0,3.0628,0.3281
115,A,A,A,1,1,0,4.3604,1.0784
116,C,A,A,0,0,0,0.7026,0.3599
117,A,A,B,1,0,1,1.7821,0.3906
118,A,A,A,1,1,0,1.1099,1.7808
119,A,A,C,1,0,1,0.5938,0.7656
120,B,A,A,0,0,0,2.6401,0.9844
121,C,A,B,0,0,1,1.7034,0.4067
122,B,A,B,0,1,1,0.313,0.4531
123,C,A,B,0,0,1,0.9375,0.4844
124,B,A,A,0,0,0,0.4849,1.7654
125,A,A,A,1,1,0,3.6412,0.7031
126,B,A,A,0,0,0,3.4221,4.5303
127,C,C,C,1,1,0,1.0161,1.4375
128,A,A,A,1,1,0,2.4064,1.2656
129,B,A,B,0,1,1,2.7495,0.5625
130,C,A,C,0,1,1,1.094,0.7339
131,B,A,A,0,0,0,3.1719,0.3594
132,A,A,A,1,1,0,2.5321,0.7651
133,C,A,A,0,0,0,0.2026,0.2344
134,C,C,A,1,0,1,0.5151,1.937
135,C,A,A,0,0,0,0.8286,1.0469
136,A,A,A,1,1,0,3.0148,1.7346
137,C,C,C,1,1,0,0.5,1.3442
138,A,A,A,1,1,0,2.8124,0.8281
139,B,A,A,0,0,0,2.1711,0.6094
140,A,A,B,1,0,1,2.6567,0.2969
141,A,A,A,1,1,0,1.6873,0.3281
142,B,A,C,0,0,1,0.969,0.2031
143,B,A,A,0,0,0,2.5159,2.062
144,C,C,B,1,0,1,0.3276,0.8276
145,C,A,A,0,0,0,0.2812,0.3438
146,A,A,A,1,1,0,7.1394,0.125
147,C,A,A,0,0,0,0.3745,0.1875
148,B,A,C,0,0,1,1.187,0.1094
149,A,A,B,1,0,1,1.9841,0.9058
150,C,A,A,0,0,0,0.188,2.2031
