idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,B,0,1,1,1.2812,0.9043
1,C,A,A,0,0,0,1.4375,0.9141
2,D,A,A,0,0,0,2.3047,1.8672
3,B,A,A,0,0,0,2.0234,1.7344
4,B,A,A,0,0,0,1.9297,1.3965
5,B,A,A,0,0,0,1.0234,1.9219
6,C,A,A,0,0,0,1.1797,1.9062
7,A,A,A,1,1,0,1.877,1.4062
8,C,A,A,0,0,0,1.5078,2.3359
9,C,A,A,0,0,0,0.0391,1.834
10,C,A,A,0,0,0,0.7031,1.4844
11,B,A,A,0,0,0,1.8047,1.7031
12,C,A,A,0,0,0,1.5781,1.6152
13,C,A,A,0,0,0,1.5,2.3516
14,A,A,A,1,1,0,2.2969,1.5234
15,A,A,A,1,1,0,1.6016,1.6562
16,C,A,A,0,0,0,3.0312,2.1484
17,B,A,A,0,0,0,1.3828,1.9844
18,B,A,A,0,0,0,2.2324,2.5859
19,C,A,A,0,0,0,0.9609,0.875
20,A,A,A,1,1,0,2.8281,4.4043
21,B,A,A,0,0,0,1.0234,1.8848
22,A,A,A,1,1,0,1.7422,1.4688
23,D,A,A,0,0,0,1.0156,1.0996
24,D,A,A,0,0,0,1.2266,1.3984
25,A,A,A,1,1,0,2.8906,2.084
26,C,A,A,0,0,0,1.2031,1.9785
27,B,A,B,0,1,1,0.5625,0.4609
28,B,A,A,0,0,0,1.2422,1.9375
29,C,A,A,0,0,0,2.2422,1.5312
30,C,A,A,0,0,0,0.9766,2.0
31,A,A,A,1,1,0,2.0547,1.8926
32,D,A,A,0,0,0,2.5781,1.5469
33,B,A,A,0,0,0,1.0234,1.8281
34,C,A,A,0,0,0,0.8438,1.3281
35,B,A,A,0,0,0,1.9609,2.7559
36,D,A,A,0,0,0,0.5,4.5156
37,B,A,A,0,0,0,2.3906,2.666
38,D,A,A,0,0,0,1.375,2.6719
39,C,A,A,0,0,0,1.2656,1.5527
40,D,A,D,0,1,1,1.1094,0.0469
41,C,A,A,0,0,0,2.8984,2.2891
42,C,A,A,0,0,0,1.1562,0.8203
43,C,A,A,0,0,0,0.6328,1.1504
44,B,A,A,0,0,0,1.2109,1.916
45,A,A,A,1,1,0,2.0234,1.5469
46,C,A,A,0,0,0,1.7891,2.1035
47,A,A,A,1,1,0,1.4609,1.6641
48,D,A,A,0,0,0,1.5547,0.5859
49,D,A,A,0,0,0,1.0,1.2578
50,B,A,A,0,0,0,1.4922,2.2266
51,D,A,A,0,0,0,1.5859,1.5781
52,A,A,A,1,1,0,2.5781,2.2441
53,A,A,A,1,1,0,1.7578,2.2637
54,A,A,A,1,1,0,1.7324,1.5312
55,B,A,A,0,0,0,2.1172,1.7285
56,C,A,A,0,0,0,1.9688,1.8496
57,B,A,A,0,0,0,1.9453,0.8008
58,B,A,A,0,0,0,1.6094,1.752
59,D,A,A,0,0,0,1.3516,1.8496
60,B,A,A,0,0,0,0.7578,1.4863
61,B,A,A,0,0,0,2.0391,1.3984
62,C,A,A,0,0,0,0.8281,1.9434
63,C,A,A,0,0,0,1.1953,1.3516
64,B,A,A,0,0,0,1.0469,1.6719
65,C,A,A,0,0,0,1.4922,1.8047
66,B,A,A,0,0,0,1.1172,2.0605
67,C,A,A,0,0,0,0.7344,0.6621
68,A,A,A,1,1,0,1.4688,2.4902
69,D,A,A,0,0,0,1.0859,1.7598
70,C,A,C,0,1,1,0.8594,0.0312
71,C,A,A,0,0,0,1.3359,0.8125
72,A,A,A,1,1,0,2.5312,2.4219
73,D,A,A,0,0,0,2.0938,2.6309
74,A,A,A,1,1,0,3.1562,2.1953
75,C,A,A,0,0,0,2.0703,1.9922
76,D,A,A,0,0,0,0.7188,0.7812
77,A,A,A,1,1,0,2.375,1.6191
78,B,A,A,0,0,0,0.9766,1.9766
79,D,A,A,0,0,0,1.375,0.5156
80,B,A,A,0,0,0,1.375,1.4434
81,A,A,A,1,1,0,1.9688,2.0
82,A,A,A,1,1,0,1.5234,1.2148
83,B,A,A,0,0,0,3.3438,2.5156
84,C,A,A,0,0,0,1.4141,2.1875
85,C,A,A,0,0,0,1.4531,1.3164
86,A,A,A,1,1,0,1.7188,1.8574
87,C,A,A,0,0,0,1.0156,0.9219
88,D,A,A,0,0,0,2.2578,2.9219
89,C,A,A,0,0,0,2.0859,1.9531
90,D,A,A,0,0,0,1.6016,1.6797
91,A,A,A,1,1,0,1.6641,2.5078
92,D,A,A,0,0,0,0.8281,2.5391
93,A,A,A,1,1,0,2.125,2.4453
94,A,A,A,1,1,0,2.8828,2.5312
95,D,A,A,0,0,0,1.5,1.6641
96,A,A,A,1,1,0,2.25,2.4531
97,A,A,A,1,1,0,1.3223,2.4297
98,B,A,A,0,0,0,2.2891,1.7031
99,C,A,A,0,0,0,1.4766,1.5547
100,A,A,A,1,1,0,1.7344,0.8594
101,D,A,A,0,0,0,0.5078,0.4531
102,B,A,A,0,0,0,1.375,0.9922
103,D,A,A,0,0,0,1.4219,0.9141
104,B,A,A,0,0,0,0.8516,1.1875
105,C,A,A,0,0,0,1.6328,2.998
106,B,A,A,0,0,0,1.1016,0.7656
107,A,A,A,1,1,0,1.7266,2.0
108,B,A,A,0,0,0,1.9219,1.7891
109,C,A,A,0,0,0,1.7266,1.0469
110,D,A,A,0,0,0,0.4531,2.6562
111,A,A,A,1,1,0,1.7578,1.6016
112,B,A,A,0,0,0,1.3047,3.6094
113,D,A,A,0,0,0,1.5312,1.5625
114,D,A,A,0,0,0,1.875,0.7949
115,D,A,A,0,0,0,1.4609,1.1875
116,B,A,A,0,0,0,0.9766,1.9551
117,A,A,A,1,1,0,1.8906,1.7344
118,C,A,A,0,0,0,0.7578,0.8359
119,A,A,A,1,1,0,1.5312,1.1328
120,A,A,A,1,1,0,1.7578,0.1797
121,B,A,A,0,0,0,2.5156,2.3379
122,C,A,A,0,0,0,1.3828,0.8047
123,A,A,A,1,1,0,1.5859,2.1328
124,B,A,A,0,0,0,1.1641,2.0605
125,C,A,A,0,0,0,1.4766,2.0645
126,A,A,A,1,1,0,2.0078,2.4316
127,C,A,A,0,0,0,1.4141,1.0098
128,B,A,A,0,0,0,1.4609,1.5332
129,D,A,A,0,0,0,1.3516,1.1797
130,D,A,A,0,0,0,0.9531,1.6328
131,A,A,A,1,1,0,2.6094,2.0469
132,D,A,A,0,0,0,2.9922,1.7559
133,C,A,A,0,0,0,1.1641,1.2402
134,C,A,A,0,0,0,0.7578,1.9453
