idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,1.9766
1,A,A,A,1,1,0,1.4453,0.6133
2,B,A,A,0,0,0,2.2422,2.0625
3,C,A,A,0,0,0,1.6328,1.6758
4,C,A,A,0,0,0,1.7773,1.9414
5,C,A,A,0,0,0,1.0703,0.7695
6,A,A,A,1,1,0,1.3398,1.3828
7,B,A,A,0,0,0,1.6289,1.7812
8,C,A,A,0,0,0,1.4766,1.4102
9,B,A,A,0,0,0,1.9648,1.582
10,B,A,A,0,0,0,1.6406,1.3555
11,C,A,A,0,0,0,1.7617,1.5469
12,C,A,A,0,0,0,1.7148,1.5977
13,B,A,A,0,0,0,1.6992,1.4258
14,B,A,A,0,0,0,1.5273,1.6289
15,C,A,A,0,0,0,1.5586,1.5352
16,B,A,A,0,0,0,1.8867,1.8945
17,C,A,A,0,0,0,1.8867,1.9141
18,A,A,A,1,1,0,1.5859,1.5234
19,A,A,A,1,1,0,1.6406,1.5195
20,C,A,A,0,0,0,2.0781,2.0078
21,B,A,A,0,0,0,1.1172,1.2852
22,C,A,A,0,0,0,1.5234,1.2539
23,C,A,A,0,0,0,2.2148,1.7227
24,C,A,A,0,0,0,1.2422,1.1445
25,B,A,A,0,0,0,1.5742,1.5391
26,C,A,A,0,0,0,1.8867,2.0508
27,C,A,A,0,0,0,2.1211,2.0195
28,C,A,A,0,0,0,1.2617,1.2773
29,B,A,A,0,0,0,1.8125,1.7227
30,B,A,A,0,0,0,1.4336,1.7539
31,B,A,A,0,0,0,1.7578,1.4375
32,B,A,A,0,0,0,1.9844,2.1953
33,B,A,A,0,0,0,1.7305,1.4707
34,A,A,A,1,1,0,1.6719,0.9375
35,C,A,A,0,0,0,1.1914,1.5703
36,A,A,A,1,1,0,1.4023,1.5039
37,B,A,A,0,0,0,1.1172,1.082
38,C,A,A,0,0,0,1.793,1.6641
39,C,A,A,0,0,0,1.8828,1.8164
40,A,A,A,1,1,0,1.6953,1.6562
41,B,A,A,0,0,0,1.5586,1.3711
42,B,A,A,0,0,0,2.2305,2.2852
43,A,A,A,1,1,0,1.793,0.707
44,A,A,A,1,1,0,1.2109,1.375
45,A,A,A,1,1,0,1.9922,2.0508
46,C,A,A,0,0,0,1.2891,0.8789
47,B,A,A,0,0,0,2.1367,2.2383
48,C,A,A,0,0,0,2.1562,2.1445
49,C,A,A,0,0,0,1.3672,1.3945
50,C,A,A,0,0,0,2.4609,2.4805
51,A,A,A,1,1,0,2.0352,2.0859
52,C,A,A,0,0,0,1.9258,1.7773
53,A,A,A,1,1,0,1.9961,1.6953
54,A,A,A,1,1,0,1.5625,1.7266
55,C,A,A,0,0,0,2.1133,2.082
56,A,A,A,1,1,0,1.8008,2.668
57,C,A,A,0,0,0,1.8555,1.7891
58,C,A,A,0,0,0,1.7305,1.6602
59,A,A,A,1,1,0,1.5547,1.7227
60,A,A,A,1,1,0,2.0273,2.1602
61,C,A,A,0,0,0,1.2891,1.1602
62,A,A,A,1,1,0,1.3672,1.4141
63,B,A,A,0,0,0,1.2461,1.1641
64,A,A,A,1,1,0,1.7305,1.3672
65,C,A,A,0,0,0,1.8672,1.6133
66,A,A,A,1,1,0,1.543,1.2969
67,C,A,A,0,0,0,2.168,2.4531
68,B,A,A,0,0,0,0.9375,0.8164
69,A,A,A,1,1,0,1.7031,1.6914
70,B,A,A,0,0,0,1.9258,1.9922
71,B,A,A,0,0,0,1.9062,2.0625
72,C,A,A,0,0,0,2.0742,2.1016
73,A,A,A,1,1,0,1.2891,1.2695
74,B,A,A,0,0,0,1.1719,0.8633
75,C,A,A,0,0,0,1.8164,1.8164
76,A,A,A,1,1,0,1.957,1.7891
77,A,A,A,1,1,0,1.7617,2.0039
78,B,A,A,0,0,0,1.1953,1.1445
79,A,A,A,1,1,0,1.6523,1.3281
80,C,A,A,0,0,0,1.9609,1.8789
81,B,A,A,0,0,0,1.7266,1.8438
82,B,A,A,0,0,0,2.1445,2.0234
83,A,A,A,1,1,0,1.8516,1.5898
84,A,A,A,1,1,0,2.0391,2.0234
85,A,A,A,1,1,0,1.4023,1.4727
