idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,5.6264
1,A,A,A,1,1,0,1.0303,0.0
2,B,A,A,0,0,0,0.6719,0.2188
3,E,E,E,1,1,0,0.5312,0.8604
4,B,B,B,1,1,0,0.937,0.5781
5,B,A,A,0,0,0,1.9688,0.999
6,A,A,D,1,0,1,0.4375,0.4219
7,B,C,C,0,0,0,2.9685,3.9057
8,D,D,D,1,1,0,4.186,6.3445
9,B,A,C,0,0,1,0.2656,0.1875
10,C,A,A,0,0,0,0.4844,1.2979
11,B,D,D,0,0,0,0.1094,0.1406
12,E,A,E,0,1,1,0.1562,0.1094
13,B,C,C,0,0,0,1.6553,1.4365
14,B,B,F,1,0,1,0.4219,1.3589
15,D,D,D,1,1,0,3.0488,3.7197
16,E,E,E,1,1,0,1.5464,2.1724
17,A,E,E,0,0,0,1.2969,1.7031
18,C,A,C,0,1,1,0.1562,0.0938
19,E,E,E,1,1,0,1.6406,3.8757
20,B,B,B,1,1,0,2.2949,1.1719
21,B,A,A,0,0,0,3.6709,3.0312
22,D,D,D,1,1,0,0.0625,0.5151
23,C,C,C,1,1,0,3.2817,2.0786
24,A,F,F,0,0,0,3.0938,4.7334
25,D,A,A,0,0,0,1.5933,1.1565
26,F,F,F,1,1,0,2.3604,2.1562
27,B,E,D,0,0,1,0.3896,0.2656
28,F,C,C,0,0,0,1.1562,1.8291
29,D,D,D,1,1,0,0.2344,0.6719
30,E,F,F,0,0,0,6.7656,7.0138
31,C,A,A,0,0,0,1.0938,0.4854
32,B,C,C,0,0,0,0.9062,1.9062
33,F,A,A,0,0,0,0.8584,0.0625
34,D,D,D,1,1,0,4.1099,3.0315
35,D,A,A,0,0,0,1.4375,1.4844
36,B,D,D,0,0,0,0.2344,0.625
37,B,A,A,0,0,0,1.1562,0.626
38,B,A,E,0,0,1,0.0781,0.3135
39,A,A,A,1,1,0,3.3906,0.9839
40,B,A,A,0,0,0,1.2959,1.188
41,E,B,F,0,0,1,0.1406,1.1255
42,E,E,E,1,1,0,1.0479,1.1411
