idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,8.487
1,A,B,B,0,0,0,6.781,6.1401
2,B,B,B,1,1,0,2.063,0.2656
3,E,E,E,1,1,0,7.6956,7.095
4,B,D,D,0,0,0,4.8762,6.468
5,B,B,B,1,1,0,1.3594,2.4846
6,A,D,D,0,0,0,0.5154,0.0625
7,B,B,B,1,1,0,9.8897,9.5209
8,D,D,D,1,1,0,9.1702,8.9565
9,B,A,A,0,0,0,0.5,1.3125
10,C,C,C,1,1,0,7.1098,6.5062
11,B,B,B,1,1,0,3.2965,4.4232
12,E,E,E,1,1,0,0.3906,2.0303
13,B,D,D,0,0,0,0.0469,3.1409
14,B,B,B,1,1,0,10.1319,9.4336
15,D,B,B,0,0,0,2.7809,1.1401
16,E,E,E,1,1,0,8.9429,7.2887
17,A,A,A,1,1,0,6.0784,6.93
18,C,C,C,1,1,0,8.9833,8.9358
19,E,E,E,1,1,0,3.421,2.7966
20,B,B,C,1,0,1,4.6888,0.1094
21,B,A,A,0,0,0,2.7656,4.2506
22,D,D,D,1,1,0,5.5931,6.1882
23,C,C,C,1,1,0,8.2311,8.3872
24,A,F,F,0,0,0,9.3662,7.7667
25,D,D,D,1,1,0,2.8435,5.3267
26,F,F,F,1,1,0,9.5145,6.6394
27,B,E,E,0,0,0,6.3122,5.3582
28,F,C,C,0,0,0,4.5458,6.2341
29,D,D,D,1,1,0,6.0322,6.6086
30,E,E,E,1,1,0,7.4705,7.1182
31,C,D,D,0,0,0,2.1095,5.0799
32,B,C,C,0,0,0,6.3599,6.8975
33,F,F,C,1,0,1,4.4216,2.7183
34,D,D,D,1,1,0,8.6702,8.1837
35,D,D,D,1,1,0,2.657,3.5163
36,B,A,A,0,0,0,2.6416,3.7975
37,B,B,B,1,1,0,1.4841,4.8455
38,B,B,B,1,1,0,4.2482,3.2815
39,A,A,A,1,1,0,8.3185,7.0077
40,B,A,A,0,0,0,6.9209,5.1725
41,E,D,D,0,0,0,5.344,5.4394
42,E,E,E,1,1,0,7.6417,6.9542
43,A,A,A,1,1,0,6.1425,7.1022
44,D,D,D,1,1,0,7.9984,7.665
45,F,A,A,0,0,0,0.7812,1.7966
46,C,C,C,1,1,0,6.4463,5.7189
47,E,E,E,1,1,0,0.2344,0.5776
48,F,F,F,1,1,0,8.7172,6.4845
49,B,D,D,0,0,0,6.045,5.3606
50,E,E,E,1,1,0,8.1037,6.2109
51,D,D,D,1,1,0,9.2015,8.1455
52,D,D,D,1,1,0,3.4695,3.6723
53,B,D,D,0,0,0,2.3909,4.9213
54,A,A,A,1,1,0,11.7881,10.7306
55,C,B,D,0,0,1,6.2509,1.7346
56,A,A,A,1,1,0,11.3043,9.8819
57,A,C,C,0,0,0,2.7029,3.4531
58,F,F,F,1,1,0,7.086,6.7577
59,D,D,D,1,1,0,9.6628,9.3214
60,E,E,E,1,1,0,10.0384,9.2794
61,B,A,A,0,0,0,7.1699,6.4055
62,D,D,D,1,1,0,4.7655,5.6735
63,E,C,C,0,0,0,10.6863,10.207
64,D,D,D,1,1,0,5.3431,5.4048
65,B,C,C,0,0,0,6.8361,7.4367
66,A,C,A,0,1,1,3.3278,1.1719
67,C,C,C,1,1,0,1.1877,3.8907
68,E,E,C,1,0,1,5.9841,1.0159
69,F,F,F,1,1,0,5.0486,3.7656
70,A,A,A,1,1,0,11.6634,10.4124
71,F,F,F,1,1,0,8.4427,6.8052
72,F,F,F,1,1,0,6.2489,5.545
73,D,F,F,0,0,0,8.7804,8.0848
74,C,C,C,1,1,0,6.2511,6.8605
75,E,E,E,1,1,0,7.344,5.9691
76,A,F,B,0,0,1,2.7976,2.2662
77,E,A,A,0,0,0,7.0846,6.3925
78,F,F,F,1,1,0,9.1396,8.858
79,A,B,B,0,0,0,8.1701,7.8897
80,E,E,E,1,1,0,4.8123,3.3748
81,E,E,E,1,1,0,10.2807,9.9518
82,B,B,B,1,1,0,7.0371,5.9853
83,B,F,F,0,0,0,6.5934,6.0849
84,A,A,A,1,1,0,0.7505,3.0618
85,C,A,A,0,0,0,0.4531,3.0478
86,E,E,A,1,0,1,6.1269,0.906
87,A,A,A,1,1,0,10.0694,9.0689
88,B,E,E,0,0,0,2.3445,0.9998
89,A,D,D,0,0,0,3.7656,3.0627
90,C,C,C,1,1,0,8.4747,8.0057
91,D,D,D,1,1,0,7.5859,7.2123
92,E,E,E,1,1,0,2.5477,5.7328
93,C,C,C,1,1,0,7.6033,6.6711
94,F,A,A,0,0,0,1.9225,3.7183
95,E,F,F,0,0,0,4.656,1.4222
96,E,E,E,1,1,0,2.9067,4.1102
97,E,E,E,1,1,0,10.0852,8.9118
98,B,E,D,0,0,1,0.6562,2.0156
99,F,A,E,0,0,1,0.2183,0.5464
100,C,C,C,1,1,0,6.0486,5.1423
101,D,A,D,0,1,1,4.0005,1.9846
102,C,C,C,1,1,0,3.5303,3.5787
103,A,A,A,1,1,0,6.4514,2.3741
104,F,F,F,1,1,0,2.2504,2.1711
105,C,C,C,1,1,0,4.3756,4.9238
106,D,A,A,0,0,0,2.8127,3.7029
107,B,B,B,1,1,0,9.0534,7.5323
108,F,C,C,0,0,0,1.2344,4.453
109,C,C,C,1,1,0,3.9539,5.2651
110,B,A,A,0,0,0,0.1875,3.4067
111,D,E,E,0,0,0,7.6423,7.8831
112,D,D,D,1,1,0,9.013,9.6447
113,F,F,F,1,1,0,8.1619,8.6626
114,E,D,D,0,0,0,1.1248,2.579
115,B,B,B,1,1,0,5.0643,3.7504
116,C,C,C,1,1,0,5.6097,5.8289
117,C,C,C,1,1,0,6.1241,6.4852
118,F,F,F,1,1,0,5.8121,2.7657
119,E,B,E,0,1,1,1.656,6.9043
120,A,C,C,0,0,0,9.8269,9.276
121,B,C,C,0,0,0,1.2812,0.8589
122,E,C,A,0,0,1,2.7181,2.2024
123,E,C,C,0,0,0,3.6251,1.4686
124,B,B,B,1,1,0,10.2417,10.186
125,B,F,F,0,0,0,8.7641,7.7589
126,C,C,C,1,1,0,8.8957,7.3902
127,C,B,B,0,0,0,5.7331,2.2964
128,C,C,C,1,1,0,8.0989,7.564
129,F,B,B,0,0,0,7.3221,5.5947
130,B,B,D,1,0,1,3.9693,2.9849
131,E,E,E,1,1,0,5.8418,6.2798
132,B,C,C,0,0,0,8.9816,8.4648
133,F,F,F,1,1,0,3.6559,3.4218
134,C,C,C,1,1,0,6.1571,5.7177
135,B,A,A,0,0,0,0.7505,2.704
136,F,F,F,1,1,0,8.4045,5.625
137,A,C,C,0,0,0,5.9861,5.6396
138,F,E,C,0,0,1,0.0312,2.2646
139,E,E,E,1,1,0,5.1231,5.4676
140,D,C,C,0,0,0,7.7801,7.3668
141,A,A,A,1,1,0,9.1393,8.381
