idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,1.8125,0.8906
1,C,C,C,1,1,0,1.7344,1.4922
2,D,A,A,0,0,0,0.3594,2.4688
3,B,D,D,0,0,0,0.8418,0.0703
4,B,B,B,1,1,0,1.127,0.3438
5,B,B,A,1,0,1,2.3281,0.2578
6,C,C,C,1,1,0,1.2188,0.0625
7,A,A,A,1,1,0,4.2051,1.9062
8,C,C,C,1,1,0,2.5488,1.1475
9,C,C,C,1,1,0,3.3438,2.2725
10,C,C,C,1,1,0,2.3037,2.0928
11,B,B,B,1,1,0,4.1729,0.7188
12,C,C,C,1,1,0,1.6406,1.8672
13,C,C,C,1,1,0,2.5859,0.5938
14,A,A,A,1,1,0,0.375,0.4531
15,A,A,A,1,1,0,1.8594,0.3438
16,C,C,A,1,0,1,2.4688,1.875
17,B,B,B,1,1,0,1.6074,0.3594
18,B,B,B,1,1,0,2.5312,0.7656
19,C,C,A,1,0,1,1.25,2.4766
20,A,A,A,1,1,0,2.5859,1.25
21,B,B,A,1,0,1,1.7422,0.5078
22,A,A,A,1,1,0,3.0391,1.6094
23,D,D,D,1,1,0,2.8281,2.1816
24,D,D,A,1,0,1,1.8438,0.7891
25,A,A,A,1,1,0,3.7363,1.5166
26,C,C,C,1,1,0,2.3135,2.2031
27,B,B,C,1,0,1,0.1641,0.6172
28,B,B,C,1,0,1,1.4355,0.0547
29,C,C,C,1,1,0,2.5996,0.6094
30,C,C,A,1,0,1,2.6387,0.1016
31,A,A,A,1,1,0,2.3906,0.7891
32,D,C,A,0,0,1,0.3516,0.3906
33,B,B,A,1,0,1,1.3828,0.3047
34,C,C,C,1,1,0,2.6465,2.3428
35,B,C,C,0,0,0,1.8574,0.4844
36,D,D,A,1,0,1,1.2969,0.8906
37,B,B,A,1,0,1,0.5,0.8828
38,D,D,A,1,0,1,0.4238,0.2734
39,C,C,C,1,1,0,0.6875,0.5391
40,D,C,C,0,0,0,0.0625,0.6875
41,C,C,A,1,0,1,2.0762,0.0469
42,C,C,A,1,0,1,2.3613,0.4688
43,C,C,C,1,1,0,1.7969,1.0781
44,B,B,B,1,1,0,3.1543,1.0234
45,A,A,A,1,1,0,1.1875,1.2812
46,C,C,C,1,1,0,3.127,1.2344
47,A,A,A,1,1,0,1.5449,0.7422
48,D,D,D,1,1,0,1.2031,1.2021
49,D,A,A,0,0,0,0.1094,0.4609
50,B,A,A,0,0,0,1.0703,0.8672
51,D,D,D,1,1,0,1.5781,0.9453
52,A,A,A,1,1,0,3.0156,1.8359
53,A,A,A,1,1,0,0.5469,0.4844
54,A,A,C,1,0,1,0.1328,0.0547
55,B,B,B,1,1,0,2.1426,0.6025
56,C,D,C,0,1,1,1.6406,0.4922
57,B,B,B,1,1,0,2.4443,0.6016
58,B,B,B,1,1,0,2.5234,0.1562
59,D,D,D,1,1,0,1.4297,0.2734
60,B,B,B,1,1,0,1.8848,0.1719
61,B,B,A,1,0,1,0.7109,0.5625
62,C,C,C,1,1,0,3.9531,1.5391
63,C,C,C,1,1,0,1.9082,1.2891
64,B,B,B,1,1,0,2.248,0.9062
65,C,C,C,1,1,0,3.0293,2.7036
66,B,B,A,1,0,1,0.2422,1.1562
67,C,C,C,1,1,0,1.1406,0.6719
68,A,A,A,1,1,0,2.6348,1.9688
69,D,D,D,1,1,0,1.6699,1.9775
70,C,C,C,1,1,0,3.6875,1.9219
71,C,C,C,1,1,0,2.4355,1.8662
72,A,A,A,1,1,0,1.5645,1.1182
73,D,D,D,1,1,0,2.6738,2.4707
74,A,A,A,1,1,0,0.5156,0.7812
75,C,C,A,1,0,1,0.0312,0.4688
76,D,D,A,1,0,1,1.6484,0.2266
77,A,A,A,1,1,0,0.7031,0.4609
78,B,B,B,1,1,0,2.2422,0.2422
79,D,D,C,1,0,1,0.7344,0.1562
80,B,C,A,0,0,1,0.498,0.5312
81,A,A,A,1,1,0,3.0938,1.75
82,A,A,A,1,1,0,1.9453,0.4922
83,B,B,A,1,0,1,0.375,0.7969
84,C,C,C,1,1,0,2.0488,1.875
85,C,C,C,1,1,0,2.8438,2.4229
86,A,A,A,1,1,0,2.1074,0.9297
87,C,C,A,1,0,1,1.9766,0.1641
88,D,D,C,1,0,1,0.0938,0.7344
89,C,C,C,1,1,0,2.2812,0.3047
90,D,D,C,1,0,1,0.8438,0.5625
91,A,A,C,1,0,1,1.3906,0.3594
92,D,D,A,1,0,1,0.2344,2.3438
93,A,A,A,1,1,0,2.0176,1.1562
94,A,A,A,1,1,0,1.0156,0.8818
95,D,D,C,1,0,1,1.1406,0.1719
96,A,A,A,1,1,0,1.1074,0.3672
97,A,A,A,1,1,0,2.4238,2.0078
98,B,A,A,0,0,0,0.1328,1.8125
99,C,C,A,1,0,1,0.7324,0.0469
100,A,A,A,1,1,0,0.7734,0.1797
101,D,C,A,0,0,1,1.0312,0.1641
102,B,B,B,1,1,0,1.4199,1.7832
103,D,D,C,1,0,1,2.8027,0.2188
104,B,B,A,1,0,1,1.2578,1.3281
105,C,C,C,1,1,0,2.7441,1.4209
106,B,B,B,1,1,0,2.2344,1.4453
107,A,A,A,1,1,0,1.6895,0.874
108,B,C,B,0,1,1,0.3887,0.3672
109,C,C,C,1,1,0,2.6582,1.7109
110,D,D,A,1,0,1,1.5332,0.3984
111,A,A,A,1,1,0,1.5938,1.2656
112,B,A,A,0,0,0,0.1094,2.1719
113,D,D,A,1,0,1,1.041,0.2109
114,D,D,A,1,0,1,2.7324,1.0312
115,D,D,C,1,0,1,1.1582,0.0234
116,B,B,B,1,1,0,2.3203,2.1006
117,A,A,A,1,1,0,2.9375,1.374
118,C,C,C,1,1,0,2.6562,0.2969
119,A,A,A,1,1,0,2.5488,0.8203
120,A,A,C,1,0,1,1.0625,0.8115
121,B,A,A,0,0,0,0.3125,1.8125
122,C,C,C,1,1,0,3.123,2.2041
123,A,A,A,1,1,0,3.791,1.9844
124,B,C,A,0,0,1,0.0781,0.1094
125,C,C,C,1,1,0,2.9688,2.4297
126,A,A,C,1,0,1,0.1719,0.4062
127,C,C,C,1,1,0,2.3613,1.335
128,B,B,B,1,1,0,2.5957,1.4297
129,D,C,C,0,0,0,1.2812,1.5088
130,D,D,D,1,1,0,0.2734,1.1875
131,A,A,A,1,1,0,3.1543,1.2656
132,D,D,A,1,0,1,1.3906,1.9922
133,C,C,A,1,0,1,1.0312,0.3516
134,C,C,C,1,1,0,2.1406,0.7881
135,C,C,C,1,1,0,1.9941,0.6875
136,C,C,C,1,1,0,2.8613,2.2188
137,D,D,D,1,1,0,2.5469,1.7812
138,A,A,A,1,1,0,2.1855,0.5146
139,C,A,A,0,0,0,1.1387,0.5547
140,A,A,A,1,1,0,1.9922,0.9756
141,A,A,A,1,1,0,2.4844,0.6016
142,D,D,D,1,1,0,0.7969,0.5938
143,D,D,D,1,1,0,1.5938,1.415
144,A,A,A,1,1,0,3.1426,0.9297
145,D,D,A,1,0,1,0.3672,0.125
146,D,D,A,1,0,1,2.9668,0.6172
147,D,D,A,1,0,1,1.1719,0.9609
148,B,B,B,1,1,0,1.5488,0.4688
149,A,A,A,1,1,0,2.4062,1.1641
150,A,A,A,1,1,0,0.8574,1.0391
151,A,C,A,0,1,1,0.1094,0.2266
152,D,D,D,1,1,0,1.5137,1.6963
153,B,D,B,0,1,1,0.0781,0.5078
154,B,B,B,1,1,0,2.4219,2.0166
155,B,A,A,0,0,0,2.1641,0.6875
156,D,D,C,1,0,1,0.1719,1.0547
157,D,D,A,1,0,1,0.2656,0.0938
158,B,B,B,1,1,0,2.0625,1.5703
159,A,A,A,1,1,0,2.3203,1.9395
160,A,A,A,1,1,0,2.6406,1.1172
161,B,B,A,1,0,1,1.1406,1.7188
162,D,D,A,1,0,1,1.0312,0.9141
163,C,C,C,1,1,0,1.7812,1.415
164,B,B,A,1,0,1,0.7188,0.1797
165,C,D,C,0,1,1,0.8125,0.4219
