idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,2.6484
1,C,A,A,0,0,0,2.3203,2.5859
2,D,A,A,0,0,0,2.5469,2.6055
3,B,A,A,0,0,0,2.3984,2.6914
4,B,A,A,0,0,0,2.1641,2.5859
5,B,A,A,0,0,0,1.6016,1.9414
6,C,A,A,0,0,0,1.9414,2.1875
7,A,A,A,1,1,0,2.6289,3.0
8,C,A,A,0,0,0,2.2109,2.3516
9,C,A,A,0,0,0,2.1445,2.4219
10,C,A,A,0,0,0,2.2188,2.3047
11,B,A,A,0,0,0,2.332,2.625
12,C,A,A,0,0,0,2.4844,2.7109
13,C,A,A,0,0,0,1.6836,2.1641
14,A,A,A,1,1,0,2.1836,2.1992
15,A,A,A,1,1,0,2.6016,3.0273
16,C,A,A,0,0,0,2.8203,2.9844
17,B,A,A,0,0,0,2.1094,2.6797
18,B,A,A,0,0,0,2.5195,2.5977
19,C,A,A,0,0,0,2.0117,2.1172
20,A,A,A,1,1,0,2.7695,3.1875
21,B,A,A,0,0,0,2.3828,2.8711
22,A,A,A,1,1,0,2.5156,2.6797
23,D,A,A,0,0,0,1.2852,1.4062
24,D,A,A,0,0,0,1.6445,1.7852
25,A,A,A,1,1,0,2.2031,2.4375
26,C,A,A,0,0,0,2.3359,2.3477
27,B,A,A,0,0,0,1.582,1.875
28,B,A,A,0,0,0,2.2109,2.293
29,C,A,A,0,0,0,1.9375,2.1602
30,C,A,A,0,0,0,1.6992,2.0352
31,A,A,A,1,1,0,2.2383,2.3359
32,D,A,A,0,0,0,3.2578,3.2383
33,B,A,A,0,0,0,2.0469,2.2148
34,C,A,A,0,0,0,2.6406,2.8672
35,B,A,A,0,0,0,2.7305,2.6914
36,D,A,A,0,0,0,0.7422,0.8555
37,B,A,A,0,0,0,2.5078,2.7383
38,D,A,A,0,0,0,1.2383,1.5352
39,C,A,A,0,0,0,2.332,2.3242
40,D,A,A,0,0,0,2.2578,2.457
41,C,A,A,0,0,0,2.5234,2.8945
42,C,A,A,0,0,0,2.4375,2.6484
43,C,A,A,0,0,0,1.8203,2.0078
44,B,A,A,0,0,0,2.3984,2.957
45,A,A,A,1,1,0,1.7461,2.0117
46,C,A,A,0,0,0,2.0977,2.6172
47,A,A,A,1,1,0,2.3516,2.7773
48,D,A,A,0,0,0,1.8828,2.1172
49,D,A,A,0,0,0,1.7383,2.0273
50,B,A,A,0,0,0,1.7891,2.0
51,D,A,A,0,0,0,1.0859,1.25
52,A,A,A,1,1,0,2.3008,2.5352
53,A,A,A,1,1,0,2.6641,2.8672
54,A,A,A,1,1,0,2.2305,2.5586
