idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,0.8281
1,A,A,A,1,1,0,0.0391,1.0059
2,B,A,A,0,0,0,0.3281,1.2266
3,E,A,A,0,0,0,0.3438,1.0312
4,B,A,A,0,0,0,0.7344,0.8672
5,B,A,A,0,0,0,0.2656,0.8906
6,A,E,A,0,1,1,0.0391,1.0078
7,B,A,A,0,0,0,0.0703,1.9121
8,D,A,A,0,0,0,0.4688,0.9316
9,B,A,A,0,0,0,0.2734,1.0234
10,C,A,A,0,0,0,0.4766,0.9375
11,B,A,A,0,0,0,0.3125,0.9805
12,E,A,A,0,0,0,0.1172,0.2031
13,B,A,A,0,0,0,0.4922,0.7324
14,B,A,A,0,0,0,0.3438,0.3672
15,D,A,A,0,0,0,0.2344,0.8516
16,E,A,D,0,0,1,0.4844,0.1484
17,A,E,A,0,1,1,0.0312,0.2031
18,C,A,A,0,0,0,0.6172,1.1641
19,E,A,A,0,0,0,0.9004,1.9062
20,B,A,A,0,0,0,0.3984,0.8672
21,B,A,A,0,0,0,0.2266,0.875
22,D,A,A,0,0,0,0.2734,0.8672
23,C,A,E,0,0,1,0.5625,0.3906
24,A,E,A,0,1,1,0.0156,1.1484
25,D,A,A,0,0,0,0.3125,1.6641
26,F,A,A,0,0,0,0.2734,1.4375
27,B,A,A,0,0,0,0.1797,0.9609
28,F,A,A,0,0,0,0.1562,1.125
29,D,A,A,0,0,0,0.3438,1.8984
30,E,A,A,0,0,0,0.2109,1.1094
31,C,A,A,0,0,0,0.2969,1.4453
32,B,E,A,0,0,1,0.1797,0.9375
33,F,A,A,0,0,0,0.5312,1.3301
34,D,A,A,0,0,0,0.3281,0.6738
35,D,A,A,0,0,0,0.5156,1.3926
36,B,A,A,0,0,0,0.2969,1.6934
37,B,A,A,0,0,0,0.0078,1.0
38,B,A,A,0,0,0,0.5781,0.6875
39,A,A,A,1,1,0,0.6016,1.6484
40,B,A,A,0,0,0,0.2734,0.9141
41,E,A,A,0,0,0,0.5234,1.0156
42,E,A,A,0,0,0,0.7969,0.8281
43,A,A,A,1,1,0,0.2031,1.5547
44,D,A,A,0,0,0,0.7031,1.127
45,F,A,A,0,0,0,0.2891,1.375
46,C,A,A,0,0,0,0.4062,1.3379
47,E,A,A,0,0,0,0.2656,0.3359
48,F,A,A,0,0,0,0.4922,1.2656
