idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,0.2891,0.1016
1,A,A,A,1,1,0,0.0,0.4551
2,B,A,A,0,0,0,0.1484,0.6016
3,E,E,A,1,0,1,0.1641,0.2734
4,B,C,B,0,1,1,0.1484,0.2578
5,B,A,A,0,0,0,0.2656,0.7266
6,A,A,A,1,1,0,0.3516,0.8594
7,B,B,B,1,1,0,0.7188,0.7891
8,D,A,A,0,0,0,0.2891,0.125
9,B,A,A,0,0,0,0.0391,0.7969
10,C,D,D,0,0,0,0.1172,0.0312
11,B,B,B,1,1,0,1.2969,0.6875
12,E,A,A,0,0,0,0.3438,0.8574
13,B,A,A,0,0,0,0.2734,1.1738
14,B,E,A,0,0,1,0.0547,0.2578
15,D,D,D,1,1,0,0.1875,0.7422
16,E,E,A,1,0,1,0.3359,0.9922
17,A,B,A,0,1,1,0.0703,0.0391
18,C,A,A,0,0,0,0.3984,1.3047
19,E,B,B,0,0,0,0.375,0.2031
20,B,A,A,0,0,0,0.5469,1.2812
21,B,B,A,1,0,1,0.0078,0.5625
22,D,A,A,0,0,0,0.4375,0.2266
23,C,B,B,0,0,0,0.1484,0.1074
24,A,F,F,0,0,0,0.3359,0.4766
25,D,A,A,0,0,0,0.7031,1.4844
26,F,E,A,0,0,1,0.0391,1.0938
27,B,B,A,1,0,1,0.0938,0.1094
28,F,B,B,0,0,0,0.9297,0.873
29,D,E,B,0,0,1,0.3594,0.2715
30,E,B,B,0,0,0,0.0234,0.1328
31,C,A,A,0,0,0,0.5938,0.5938
32,B,B,B,1,1,0,0.3438,0.3574
33,F,F,F,1,1,0,0.5547,0.2031
34,D,A,A,0,0,0,0.0625,0.2891
35,D,A,A,0,0,0,0.1875,1.2949
36,B,A,A,0,0,0,0.1172,0.6406
37,B,B,A,1,0,1,0.1094,0.3281
38,B,A,A,0,0,0,0.1016,0.6738
39,A,F,F,0,0,0,0.0156,0.1562
40,B,B,B,1,1,0,0.3281,0.3359
41,E,A,F,0,0,1,0.0312,0.1328
42,E,A,A,0,0,0,0.5781,1.2168
43,A,A,A,1,1,0,0.3438,0.8203
44,D,D,A,1,0,1,0.3359,0.1484
45,F,A,A,0,0,0,0.2266,0.6875
46,C,A,A,0,0,0,0.0859,0.5156
47,E,B,A,0,0,1,0.1406,0.1797
48,F,F,F,1,1,0,1.1895,1.5156
49,B,A,A,0,0,0,0.5938,1.125
50,E,E,F,1,0,1,0.3438,0.1406
51,D,D,D,1,1,0,0.2891,0.041
52,D,F,F,0,0,0,1.0234,2.2012
53,B,B,A,1,0,1,0.1094,0.7832
54,A,A,A,1,1,0,1.3828,2.1465
55,C,B,B,0,0,0,0.2578,0.1719
56,A,A,A,1,1,0,1.5781,2.6035
57,A,A,A,1,1,0,0.4844,1.0703
58,F,F,F,1,1,0,0.0312,0.0781
59,D,D,D,1,1,0,0.6797,0.4375
60,E,E,A,1,0,1,0.2188,0.4219
61,B,A,F,0,0,1,0.125,0.2578
62,D,E,A,0,0,1,0.1484,0.1895
63,E,E,A,1,0,1,0.0859,0.2188
64,D,A,A,0,0,0,0.4219,0.5
65,B,A,A,0,0,0,0.3594,1.1484
66,A,A,A,1,1,0,0.2422,1.4141
67,C,A,A,0,0,0,0.1328,1.1074
68,E,A,A,0,0,0,0.4297,1.2832
69,F,B,F,0,1,1,0.0234,0.3965
70,A,A,A,1,1,0,0.8125,1.3262
71,F,B,A,0,0,1,0.1016,0.4199
72,F,F,F,1,1,0,0.5918,0.3438
73,D,F,F,0,0,0,0.6094,1.1719
74,C,A,A,0,0,0,0.0,0.5078
75,E,E,A,1,0,1,0.1016,0.2031
76,A,A,A,1,1,0,0.0703,0.791
77,E,A,A,0,0,0,0.0938,0.3672
78,F,E,F,0,1,1,0.2422,0.5312
79,A,A,A,1,1,0,0.7188,1.7051
80,E,B,A,0,0,1,0.1094,0.25
81,E,E,A,1,0,1,0.4043,0.5469
82,B,B,A,1,0,1,0.6172,0.0781
83,B,B,A,1,0,1,0.0391,0.0078
84,A,A,A,1,1,0,0.0938,0.6797
85,C,A,A,0,0,0,0.5938,0.6641
86,E,E,E,1,1,0,0.9688,0.4219
87,A,A,A,1,1,0,0.2344,1.1406
88,B,A,A,0,0,0,0.2188,0.875
89,A,A,A,1,1,0,0.25,0.25
90,C,B,B,0,0,0,0.2969,0.2207
91,D,F,F,0,0,0,0.1016,0.5469
92,E,E,F,1,0,1,0.3652,0.1484
93,C,C,A,1,0,1,0.0625,0.5
94,F,E,A,0,0,1,0.0938,0.6953
95,E,E,F,1,0,1,0.8125,0.1172
96,E,B,B,0,0,0,0.5469,0.6484
97,E,E,A,1,0,1,0.1172,0.5938
98,B,A,A,0,0,0,0.0938,0.3281
99,F,A,F,0,1,1,0.0391,0.3672
100,C,A,A,0,0,0,0.1484,0.4297
101,D,A,A,0,0,0,0.3984,0.3203
102,C,A,A,0,0,0,0.0234,0.8984
103,A,A,A,1,1,0,0.3281,1.0625
104,F,B,A,0,0,1,0.5156,0.2969
105,C,B,B,0,0,0,0.3359,0.0781
106,D,A,A,0,0,0,0.3125,0.5391
107,B,B,B,1,1,0,1.209,0.7266
108,F,A,A,0,0,0,0.0938,0.6465
109,C,B,B,0,0,0,0.3438,0.7598
110,B,A,A,0,0,0,0.5,0.9531
111,D,D,D,1,1,0,0.5781,0.5469
112,D,C,A,0,0,1,0.2812,0.2031
113,F,F,A,1,0,1,0.7168,0.8672
114,E,B,F,0,0,1,0.1328,0.3105
115,B,C,A,0,0,1,0.0625,0.1953
116,C,A,A,0,0,0,0.3047,0.9375
117,C,E,A,0,0,1,0.0156,0.2969
118,F,A,A,0,0,0,0.0625,0.3984
119,E,E,E,1,1,0,0.8984,0.4609
120,A,A,A,1,1,0,0.1953,0.3125
121,B,A,A,0,0,0,0.4297,0.4844
122,E,A,A,0,0,0,0.3418,0.8691
123,E,A,A,0,0,0,0.3906,0.6875
124,B,B,B,1,1,0,1.4766,1.1855
125,B,D,A,0,0,1,0.1094,0.5254
126,C,C,A,1,0,1,0.6016,0.0391
127,C,A,A,0,0,0,0.2656,0.6797
128,C,E,A,0,0,1,0.2344,0.5078
129,F,F,F,1,1,0,0.7363,0.8828
130,B,B,A,1,0,1,0.0547,0.7656
131,E,E,D,1,0,1,0.2422,0.1016
132,B,B,B,1,1,0,0.1172,0.1953
133,F,F,F,1,1,0,0.7578,1.6348
134,C,A,A,0,0,0,0.0469,0.7188
135,B,A,A,0,0,0,0.2031,0.4453
136,F,A,A,0,0,0,0.0,0.6797
137,A,A,A,1,1,0,1.1406,1.6797
138,F,B,B,0,0,0,0.0312,0.0078
139,E,A,A,0,0,0,0.2266,1.498
140,D,C,A,0,0,1,0.0781,0.2422
141,A,A,A,1,1,0,0.8438,0.6484
142,E,A,A,0,0,0,0.0625,0.2734
143,B,A,A,0,0,0,0.0625,0.4531
144,F,B,F,0,1,1,0.0312,0.0469
145,B,B,A,1,0,1,0.1875,0.0
146,E,F,F,0,0,0,0.2188,0.875
147,D,A,A,0,0,0,0.375,0.3438
148,D,A,A,0,0,0,0.8516,0.75
149,D,A,A,0,0,0,0.4609,0.8672
150,A,F,F,0,0,0,0.3047,1.0918
151,B,B,B,1,1,0,0.2734,0.2812
152,A,A,A,1,1,0,1.0156,1.7969
153,A,A,A,1,1,0,0.3418,1.291
154,C,A,A,0,0,0,0.3125,0.25
155,D,B,B,0,0,0,1.3691,1.0293
156,A,F,F,0,0,0,0.5,0.9355
157,D,F,F,0,0,0,0.873,1.7441
158,B,B,B,1,1,0,0.2969,0.2422
159,A,A,A,1,1,0,1.125,1.3184
160,D,D,D,1,1,0,0.2578,0.0078
161,A,A,A,1,1,0,0.2344,0.6406
162,A,F,F,0,0,0,0.0859,0.125
163,C,E,F,0,0,1,0.1562,0.0625
164,C,B,B,0,0,0,0.3359,0.4824
165,A,A,A,1,1,0,0.2891,1.2754
166,F,F,F,1,1,0,0.7344,0.9453
167,D,A,A,0,0,0,0.6875,1.4297
168,E,E,A,1,0,1,0.0234,0.5801
169,A,A,A,1,1,0,0.1562,1.0938
170,C,A,A,0,0,0,0.2344,0.4297
171,A,E,A,0,1,1,0.0938,0.9844
172,C,A,A,0,0,0,0.5703,1.1074
173,A,B,A,0,1,1,0.0781,0.0078
174,A,A,A,1,1,0,0.8672,1.3906
175,B,F,F,0,0,0,1.0293,1.375
176,B,A,A,0,0,0,0.3906,0.75
177,A,F,F,0,0,0,0.5625,0.7344
178,E,E,F,1,0,1,0.0703,1.1875
179,A,C,A,0,1,1,0.1172,0.6484
180,D,A,A,0,0,0,0.3262,0.2051
181,B,B,B,1,1,0,0.4609,0.0781
182,F,F,F,1,1,0,1.125,1.959
183,F,B,A,0,0,1,0.0938,0.7031
184,D,A,A,0,0,0,0.0703,0.7891
185,D,B,B,0,0,0,0.5391,0.3281
186,D,A,A,0,0,0,0.5781,1.3418
187,E,E,E,1,1,0,0.375,0.1484
188,F,B,A,0,0,1,0.4688,0.4062
189,E,A,A,0,0,0,0.4062,0.4922
190,B,A,A,0,0,0,0.2656,0.7188
191,C,E,D,0,0,1,0.0938,0.6016
192,B,F,F,0,0,0,0.0391,0.1406
193,C,E,A,0,0,1,0.0078,0.6797
194,C,B,A,0,0,1,0.1406,0.0469
195,D,A,A,0,0,0,0.1016,0.5078
196,F,F,F,1,1,0,0.6562,0.8984
197,B,B,B,1,1,0,1.0,0.6641
198,A,A,A,1,1,0,0.375,1.7031
199,D,F,F,0,0,0,0.6855,0.5781
200,E,B,B,0,0,0,1.0469,0.7578
201,A,A,A,1,1,0,0.6094,1.0684
202,A,A,A,1,1,0,0.1016,0.6797
203,C,A,A,0,0,0,0.6699,0.3047
204,A,A,A,1,1,0,1.4219,1.959
205,A,A,A,1,1,0,0.1172,0.5
206,C,A,A,0,0,0,0.6094,1.0859
207,E,E,E,1,1,0,1.7324,0.0
208,A,A,A,1,1,0,0.1406,0.7168
209,D,B,B,0,0,0,0.1641,0.5449
210,B,A,A,0,0,0,0.0547,1.3125
211,E,A,A,0,0,0,0.0703,1.0625
212,F,A,A,0,0,0,0.4844,0.6641
213,C,A,A,0,0,0,0.4062,1.0137
214,B,A,A,0,0,0,0.1406,0.125
215,F,F,F,1,1,0,0.9043,0.2031
216,D,E,A,0,0,1,0.5781,0.3125
217,D,B,B,0,0,0,0.6953,1.1328
218,D,E,D,0,1,1,0.2734,0.0078
219,D,F,F,0,0,0,1.0469,1.3418
220,E,E,A,1,0,1,0.2969,0.7207
221,A,A,A,1,1,0,0.9219,1.1328
222,A,A,A,1,1,0,0.5391,0.4609
223,F,E,F,0,1,1,0.4512,0.1562
224,F,F,F,1,1,0,1.0293,2.1953
225,E,F,F,0,0,0,0.2578,0.2891
226,B,B,D,1,0,1,0.0234,0.1875
227,F,F,F,1,1,0,0.998,1.3809
228,D,F,F,0,0,0,0.7969,1.166
229,A,A,A,1,1,0,0.1406,0.4844
230,D,B,A,0,0,1,0.0312,0.5645
231,A,A,A,1,1,0,0.1094,0.0
232,B,B,A,1,0,1,0.1562,0.3906
233,F,F,A,1,0,1,0.375,0.0703
234,E,E,E,1,1,0,1.4453,0.625
235,C,F,F,0,0,0,1.1641,1.8672
236,E,E,A,1,0,1,0.4375,0.8594
237,A,A,F,1,0,1,0.2734,0.7188
238,C,E,E,0,0,0,0.7578,0.4004
239,A,A,A,1,1,0,0.4141,0.6406
240,C,C,C,1,1,0,0.3594,0.0078
241,A,A,A,1,1,0,1.3594,2.3281
242,A,A,A,1,1,0,0.1641,0.6152
243,D,B,B,0,0,0,0.8594,0.5234
244,B,E,A,0,0,1,0.0938,0.4453
245,D,A,A,0,0,0,0.0547,0.0312
246,D,E,F,0,0,1,0.0234,0.0879
247,B,A,A,0,0,0,0.7656,1.2891
248,F,A,A,0,0,0,0.2109,1.0488
249,F,A,A,0,0,0,0.0391,0.1797
