idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,2.0
1,A,A,A,1,1,0,1.3281,2.2021
2,B,A,A,0,0,0,0.5469,1.1406
3,C,B,B,0,0,0,0.5781,0.1396
4,C,B,B,0,0,0,0.6094,0.2812
5,C,B,B,0,0,0,0.5781,0.4229
6,A,A,A,1,1,0,1.4072,1.7979
7,B,A,A,0,0,0,0.6406,0.9375
8,C,B,A,0,0,1,0.3584,0.3994
9,B,B,A,1,0,1,0.2812,0.0312
10,B,A,A,0,0,0,1.0166,1.6172
11,C,A,A,0,0,0,0.6396,1.0
12,C,B,A,0,0,1,0.1719,0.4453
13,B,A,A,0,0,0,0.5781,1.1797
14,B,A,A,0,0,0,0.624,1.0791
15,C,B,B,0,0,0,0.1562,0.6562
16,B,B,B,1,1,0,0.5459,0.0781
17,C,B,A,0,0,1,0.1719,0.2656
18,A,A,A,1,1,0,2.0332,2.5693
19,A,A,A,1,1,0,1.4697,2.0
20,C,B,A,0,0,1,0.5166,0.625
21,B,A,A,0,0,0,0.4072,0.751
22,C,B,B,0,0,0,0.4062,0.0781
23,C,A,A,0,0,0,2.3438,2.7734
24,C,C,B,1,0,1,0.1562,0.2666
25,B,B,A,1,0,1,0.1875,0.3516
26,C,B,A,0,0,1,0.5781,0.0469
27,C,B,A,0,0,1,0.2188,0.5625
28,C,B,A,0,0,1,0.5312,0.0938
29,B,B,A,1,0,1,0.0469,0.6553
30,B,A,A,0,0,0,0.0469,0.6875
31,B,A,A,0,0,0,0.5156,0.8447
32,B,A,A,0,0,0,0.3594,0.9375
33,B,A,A,0,0,0,0.5,1.0459
34,A,A,A,1,1,0,2.2988,2.8516
35,C,B,A,0,0,1,0.3594,0.1719
36,A,A,A,1,1,0,1.2656,2.2266
37,B,A,A,0,0,0,1.0469,1.3271
38,C,B,B,0,0,0,0.5479,0.2969
39,C,A,A,0,0,0,0.7344,1.4219
40,A,A,A,1,1,0,1.7812,2.0312
41,B,A,A,0,0,0,0.9531,1.5166
42,B,A,A,0,0,0,1.5781,2.3428
43,A,A,A,1,1,0,1.9053,2.2744
44,A,A,A,1,1,0,2.4854,2.9072
45,A,A,A,1,1,0,1.9531,2.4219
46,C,A,A,0,0,0,0.0625,0.3604
47,B,A,A,0,0,0,0.7969,1.499
48,C,A,A,0,0,0,0.3896,1.125
49,C,B,A,0,0,1,0.3906,0.2734
50,C,B,A,0,0,1,0.2969,0.25
51,A,A,A,1,1,0,1.4375,2.0391
52,C,B,A,0,0,1,0.0625,0.6562
53,A,A,A,1,1,0,1.7197,2.3438
54,A,A,A,1,1,0,2.1719,2.7354
55,C,B,A,0,0,1,0.375,0.3271
56,A,A,A,1,1,0,2.0459,2.4531
57,C,B,A,0,0,1,0.1719,0.3906
58,C,B,A,0,0,1,0.1875,0.5625
59,A,A,A,1,1,0,1.5459,2.1943
60,A,A,A,1,1,0,2.376,2.751
61,C,A,A,0,0,0,0.125,0.4688
62,A,A,A,1,1,0,1.9375,2.5078
63,B,A,A,0,0,0,0.3438,0.8906
64,A,A,A,1,1,0,2.375,2.6484
65,C,B,A,0,0,1,0.4062,0.3047
66,A,A,A,1,1,0,1.5469,1.9209
67,C,B,A,0,0,1,0.2031,0.0
68,B,A,A,0,0,0,0.2969,0.875
69,A,A,A,1,1,0,1.7334,2.4375
70,B,A,A,0,0,0,0.3281,1.1406
71,B,A,A,0,0,0,0.1094,0.6328
72,C,B,B,0,0,0,0.2812,0.2656
73,A,A,A,1,1,0,2.1406,2.7646
74,B,A,A,0,0,0,0.9697,1.6729
75,C,A,A,0,0,0,0.2031,0.8291
76,A,A,A,1,1,0,2.3438,2.6953
77,A,A,A,1,1,0,1.2666,1.79
78,B,B,A,1,0,1,0.0156,0.8271
79,A,A,A,1,1,0,2.0771,2.6484
80,C,B,B,0,0,0,0.0781,0.249
81,B,A,A,0,0,0,0.75,1.5234
82,B,A,A,0,0,0,0.4072,1.0166
83,A,A,A,1,1,0,1.9385,2.3838
84,A,A,A,1,1,0,1.7959,2.3604
85,A,A,A,1,1,0,1.9072,2.6396
86,C,B,A,0,0,1,0.2969,1.0303
87,C,B,A,0,0,1,0.1562,1.2178
88,C,B,B,0,0,0,0.3438,0.2656
89,A,A,A,1,1,0,2.0166,2.3271
90,C,A,A,0,0,0,0.1719,0.5146
91,C,B,A,0,0,1,0.6553,0.5625
92,A,A,A,1,1,0,1.4385,2.0088
93,A,A,A,1,1,0,1.7979,2.2959
